bioguide,candidate_id,cycle,totals_source,active_through,address_city,address_state,address_street_1,address_street_2,address_zip,all_other_loans,candidate_contribution,candidate_election_year,candidate_inactive,candidate_status,cash_on_hand_end_period,contribution_refunds,contributions,coverage_end_date,coverage_start_date,cycles,debts_owed_by_committee,disbursements,district,district_number,election_districts,election_full,election_year,election_years,exempt_legal_accounting_disbursement,federal_funds,federal_funds_flag,first_file_date,fundraising_disbursements,has_raised_funds,incumbent_challenge,incumbent_challenge_full,individual_contributions,individual_itemized_contributions,individual_unitemized_contributions,is_election,last_beginning_image_number,last_cash_on_hand_end_period,last_debts_owed_by_committee,last_debts_owed_to_committee,last_f2_date,last_file_date,last_net_contributions,last_net_operating_expenditures,last_report_type_full,last_report_year,load_date,loan_repayments,loan_repayments_candidate_loans,loan_repayments_other_loans,loans,loans_made_by_candidate,name,net_contributions,net_operating_expenditures,office,office_full,offsets_to_fundraising_expenditures,offsets_to_legal_accounting,offsets_to_operating_expenditures,operating_expenditures,other_disbursements,other_political_committee_contributions,other_receipts,party,party_full,political_party_committee_contributions,receipts,refunded_individual_contributions,refunded_other_political_committee_contributions,refunded_political_party_committee_contributions,state,state_full,total_offsets_to_operating_expenditures,transaction_coverage_date,transfers_from_other_authorized_committee,transfers_to_other_authorized_committee,two_year_period
C001113,S6NV00200,2026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C001117,H8IL06139,2026,candidate,,,,,,,0.0,0.0,2026,,,,427.0,727983.96,2025-06-30T00:00:00,2025-01-01T00:00:00,,,380112.27,,,,True,,,0.0,0.0,,,0.0,,,,506901.29,395254.24,111647.05,,202507159762971786,1058626.73,75694.37,0.0,,,348986.72,240514.67,JULY QUARTERLY,2025,,0.0,0.0,0.0,0.0,0.0,,727556.96,365386.68,,,0.0,0.0,2798.59,368185.27,11500.0,221050.0,13813.95,,,32.67,744596.5,427.0,0.0,0.0,,,0.0,2025-06-30T00:00:00,0.0,0.0,
C001121,H8CO06229,2026,candidate,,,,,,,0.0,0.0,2026,,,,624.41,549048.76,2025-06-30T00:00:00,2025-01-01T00:00:00,,,373880.84,,,,True,,,0.0,0.0,,,0.0,,,,487048.76,358168.13,128880.63,,202507159763480247,1927555.49,0.0,0.0,,,239189.01,219957.61,JULY QUARTERLY,2025,,0.0,0.0,0.0,0.0,0.0,,548424.35,367756.43,,,0.0,0.0,0.0,367756.43,5000.0,62000.0,4093.7,,,0.0,553142.46,624.41,0.0,0.0,,,0.0,2025-06-30T00:00:00,0.0,500.0,
C001127,H8FL20032,2026,candidate,,,,,,,0.0,0.0,2026,,,,0.0,156629.88,2025-06-30T00:00:00,2025-01-01T00:00:00,,,52529.84,,,,True,,,0.0,0.0,,,0.0,,,,107129.88,105800.0,1329.88,,202507159763446037,113506.37,4327382.27,0.0,,,141755.26,26386.12,JULY QUARTERLY,2025,,6300.0,6300.0,0.0,1254.0,1254.0,,156629.88,42693.78,,,0.0,0.0,636.06,43329.84,2900.0,49500.0,0.0,,,0.0,158519.94,0.0,0.0,0.0,,,0.0,2025-06-30T00:00:00,0.0,0.0,
C001132,H2AZ01354,2026,candidate,,,,,,,0.0,0.0,2026,,,,6138.36,2040435.57,2025-06-30T00:00:00,2025-01-01T00:00:00,,,1527726.04,,,,True,,,0.0,0.0,,,0.0,,,,2016435.57,970114.53,1046321.04,,202507159762929604,1200020.78,0.0,0.0,,,1017522.39,825442.71,JULY QUARTERLY,2025,,0.0,0.0,0.0,0.0,0.0,,2034297.21,1521147.5,,,0.0,0.0,440.18,1521587.68,0.0,24000.0,0.0,,,0.0,2410376.75,6138.36,0.0,0.0,,,0.0,2025-06-30T00:00:00,369501.0,0.0,
D000032,H2FL14186,2026,candidate,,,,,,,0.0,0.0,2026,,,,1700.0,530355.75,2025-06-30T00:00:00,2025-01-01T00:00:00,,,1883332.05,,,,True,,,0.0,0.0,,,0.0,,,,478555.75,170021.87,308533.88,,202507159763283381,456091.28,9518.25,0.0,,,73193.49,141396.58,JULY QUARTERLY,2025,,0.0,0.0,0.0,0.0,0.0,,528655.75,621421.25,,,0.0,0.0,60210.8,681632.05,1200000.0,51800.0,8846.32,,,0.0,599412.87,200.0,1500.0,0.0,,,0.0,2025-06-30T00:00:00,0.0,0.0,
D000230,H2NC02287,2026,candidate,,,,,,,0.0,0.0,2026,,,,9369.14,977261.68,2025-06-30T00:00:00,2025-01-01T00:00:00,,,175606.87,,,,True,,,0.0,0.0,,,0.0,,,,457136.77,425102.84,32033.93,,202507149762832111,1112396.71,0.0,0.0,,,657617.33,104363.42,JULY QUARTERLY,2025,,0.0,0.0,0.0,0.0,0.0,,967892.54,164037.57,,,0.0,0.0,2200.16,166237.73,0.0,519250.0,0.0,,,874.91,1017161.84,6369.14,3000.0,0.0,,,0.0,2025-06-30T00:00:00,37700.0,0.0,
D000594,H0TX15124,2026,candidate,,,,,,,0.0,0.0,2026,,,,3464.33,1229899.28,2025-06-30T00:00:00,2025-01-01T00:00:00,,,957401.51,,,,True,,,0.0,0.0,,,0.0,,,,1016899.28,546078.5,470820.78,,202507159763059177,1301962.43,0.0,0.0,,,676107.06,415933.15,JULY QUARTERLY,2025,,0.0,0.0,0.0,0.0,0.0,,1226434.95,918856.99,,,0.0,0.0,80.19,918937.18,35000.0,213000.0,0.0,,,0.0,1645394.05,3464.33,0.0,0.0,,,0.0,2025-06-30T00:00:00,415414.58,0.0,
D000618,S2MT00096,2026,candidate,,,,,,,0.0,0.0,2026,,,,164269.44,3929164.13,2025-06-30T00:00:00,2021-01-01T00:00:00,,,2543092.5,,,,True,,,0.0,0.0,,,0.0,,,,2117539.13,1596917.47,520621.66,,202301319575664182,3251293.0,44813.08,0.0,,,678947.72,280514.83,YEAR-END,2025,,0.0,0.0,0.0,0.0,0.0,,3764894.69,1733679.48,,,0.0,0.0,505373.2,2239052.68,139770.38,1811625.0,231213.82,,,0.0,5686602.53,147269.44,17000.0,0.0,,,0.0,2025-06-30T00:00:00,1020851.38,0.0,
D000626,H6OH08315,2026,candidate,,,,,,,0.0,0.0,2026,,,,1003.13,147326.23,2025-06-30T00:00:00,2025-01-01T00:00:00,,,213026.21,,,,True,,,0.0,0.0,,,0.0,,,,64826.23,63150.0,1676.23,,202508069789389946,415492.96,0.0,0.0,,,108318.08,79069.08,JULY QUARTERLY,2025,,0.0,0.0,0.0,0.0,0.0,,146323.1,139639.87,,,0.0,0.0,9686.21,149326.08,62697.0,82500.0,0.0,,,0.0,233818.06,3.13,1000.0,0.0,,,0.0,2025-06-30T00:00:00,76805.62,0.0,
