county,precinct,office,district,candidate,party,votes,election_day,absentee
Iron,"City of Crystal Falls, Precinct 1",President,,Joseph R Biden,DEM,364,,
Iron,"City of Crystal Falls, Precinct 1",President,,Donald J Trump,REP,476,,
Iron,"City of Crystal Falls, Precinct 1",President,,Jo Jorgensen,LIB,9,,
Iron,"City of Crystal Falls, Precinct 1",President,,Don Blankenship,UST,0,,
Iron,"City of Crystal Falls, Precinct 1",President,,Howie Hawkins,GRN,3,,
Iron,"City of Crystal Falls, Precinct 1",President,,Rocky De La Fuente,NLP,1,,
Iron,"City of Crystal Falls, Precinct 1",President,,Write-In,,1,,
Iron,"City of Crystal Falls, Precinct 1",U.S. Senate,,Gary Peters,DEM,366,,
Iron,"City of Crystal Falls, Precinct 1",U.S. Senate,,John James,REP,460,,
Iron,"City of Crystal Falls, Precinct 1",U.S. Senate,,Valerie L Willis,UST,6,,
Iron,"City of Crystal Falls, Precinct 1",U.S. Senate,,Marcia Squier,GRN,6,,
Iron,"City of Crystal Falls, Precinct 1",U.S. Senate,,Doug Dern,NLP,2,,
Iron,"City of Crystal Falls, Precinct 1",U.S. Senate,,Write-In,,1,,
Iron,"City of Crystal Falls, Precinct 1",U.S. House,1,Dana Ferguson,DEM,334,,
Iron,"City of Crystal Falls, Precinct 1",U.S. House,1,Jack Bergman,REP,489,,
Iron,"City of Crystal Falls, Precinct 1",U.S. House,1,Ben Boren,LIB,9,,
Iron,"City of Crystal Falls, Precinct 1",U.S. House,1,Write-In,,1,,
Iron,"City of Crystal Falls, Precinct 1",State House,110,Janet Metsa,DEM,354,,
Iron,"City of Crystal Falls, Precinct 1",State House,110,Gregory Markkanen,REP,459,,
Iron,"City of Crystal Falls, Precinct 1",State House,110,Rick Sauermilch,GRN,13,,
Iron,"City of Crystal Falls, Precinct 1",State House,110,Write-In,,1,,
Iron,"City of Gaastra, Precinct 1",Straight Party,,,DEM,31,,
Iron,"City of Gaastra, Precinct 1",Straight Party,,,REP,72,,
Iron,"City of Gaastra, Precinct 1",Straight Party,,,LIB,0,,
Iron,"City of Gaastra, Precinct 1",Straight Party,,,UST,1,,
Iron,"City of Gaastra, Precinct 1",Straight Party,,,WCP,0,,
Iron,"City of Gaastra, Precinct 1",Straight Party,,,GRN,0,,
Iron,"City of Gaastra, Precinct 1",Straight Party,,,NLP,0,,
Iron,"City of Gaastra, Precinct 1",President,,Joseph R Biden,DEM,65,,
Iron,"City of Gaastra, Precinct 1",President,,Donald J Trump,REP,132,,
Iron,"City of Gaastra, Precinct 1",President,,Jo Jorgensen,LIB,1,,
Iron,"City of Gaastra, Precinct 1",President,,Don Blankenship,UST,1,,
Iron,"City of Gaastra, Precinct 1",President,,Howie Hawkins,GRN,0,,
Iron,"City of Gaastra, Precinct 1",President,,Rocky De La Fuente,NLP,0,,
Iron,"City of Gaastra, Precinct 1",President,,Write-In,,0,,
Iron,"City of Gaastra, Precinct 1",U.S. Senate,,Gary Peters,DEM,73,,
Iron,"City of Gaastra, Precinct 1",U.S. Senate,,John James,REP,119,,
Iron,"City of Gaastra, Precinct 1",U.S. Senate,,Valerie L Willis,UST,2,,
Iron,"City of Gaastra, Precinct 1",U.S. Senate,,Marcia Squier,GRN,1,,
Iron,"City of Gaastra, Precinct 1",U.S. Senate,,Doug Dern,NLP,1,,
Iron,"City of Gaastra, Precinct 1",U.S. Senate,,Write-In,,0,,
Iron,"City of Gaastra, Precinct 1",U.S. House,1,Dana Ferguson,DEM,61,,
Iron,"City of Gaastra, Precinct 1",U.S. House,1,Jack Bergman,REP,131,,
Iron,"City of Gaastra, Precinct 1",U.S. House,1,Ben Boren,LIB,1,,
Iron,"City of Gaastra, Precinct 1",U.S. House,1,Write-In,,0,,
Iron,"City of Gaastra, Precinct 1",State House,110,Janet Metsa,DEM,68,,
Iron,"City of Gaastra, Precinct 1",State House,110,Gregory Markkanen,REP,122,,
Iron,"City of Gaastra, Precinct 1",State House,110,Rick Sauermilch,GRN,1,,
Iron,"City of Gaastra, Precinct 1",State House,110,Write-In,,0,,
Iron,"City of Iron River, Precinct 1",Straight Party,,,DEM,162,,
Iron,"City of Iron River, Precinct 1",Straight Party,,,REP,281,,
Iron,"City of Iron River, Precinct 1",Straight Party,,,LIB,3,,
Iron,"City of Iron River, Precinct 1",Straight Party,,,UST,2,,
Iron,"City of Iron River, Precinct 1",Straight Party,,,WCP,2,,
Iron,"City of Iron River, Precinct 1",Straight Party,,,GRN,2,,
Iron,"City of Iron River, Precinct 1",Straight Party,,,NLP,0,,
Iron,"City of Iron River, Precinct 1",President,,Joseph R Biden,DEM,261,,
Iron,"City of Iron River, Precinct 1",President,,Donald J Trump,REP,469,,
Iron,"City of Iron River, Precinct 1",President,,Jo Jorgensen,LIB,11,,
Iron,"City of Iron River, Precinct 1",President,,Don Blankenship,UST,1,,
Iron,"City of Iron River, Precinct 1",President,,Howie Hawkins,GRN,1,,
Iron,"City of Iron River, Precinct 1",President,,Rocky De La Fuente,NLP,1,,
Iron,"City of Iron River, Precinct 1",President,,Write-In,,1,,
Iron,"City of Iron River, Precinct 1",U.S. Senate,,Gary Peters,DEM,259,,
Iron,"City of Iron River, Precinct 1",U.S. Senate,,John James,REP,466,,
Iron,"City of Iron River, Precinct 1",U.S. Senate,,Valerie L Willis,UST,4,,
Iron,"City of Iron River, Precinct 1",U.S. Senate,,Marcia Squier,GRN,4,,
Iron,"City of Iron River, Precinct 1",U.S. Senate,,Doug Dern,NLP,4,,
Iron,"City of Iron River, Precinct 1",U.S. Senate,,Write-In,,3,,
Iron,"City of Iron River, Precinct 1",U.S. House,1,Dana Ferguson,DEM,238,,
Iron,"City of Iron River, Precinct 1",U.S. House,1,Jack Bergman,REP,486,,
Iron,"City of Iron River, Precinct 1",U.S. House,1,Ben Boren,LIB,15,,
Iron,"City of Iron River, Precinct 1",U.S. House,1,Write-In,,1,,
Iron,"City of Iron River, Precinct 1",State House,110,Janet Metsa,DEM,263,,
Iron,"City of Iron River, Precinct 1",State House,110,Gregory Markkanen,REP,450,,
Iron,"City of Iron River, Precinct 1",State House,110,Rick Sauermilch,GRN,16,,
Iron,"City of Iron River, Precinct 1",State House,110,Write-In,,4,,
Iron,"City of Iron River, Precinct 2",Straight Party,,,DEM,132,,
Iron,"City of Iron River, Precinct 2",Straight Party,,,REP,220,,
Iron,"City of Iron River, Precinct 2",Straight Party,,,LIB,4,,
Iron,"City of Iron River, Precinct 2",Straight Party,,,UST,1,,
Iron,"City of Iron River, Precinct 2",Straight Party,,,WCP,1,,
Iron,"City of Iron River, Precinct 2",Straight Party,,,GRN,0,,
Iron,"City of Iron River, Precinct 2",Straight Party,,,NLP,0,,
Iron,"City of Iron River, Precinct 2",President,,Joseph R Biden,DEM,246,,
Iron,"City of Iron River, Precinct 2",President,,Donald J Trump,REP,405,,
Iron,"City of Iron River, Precinct 2",President,,Jo Jorgensen,LIB,11,,
Iron,"City of Iron River, Precinct 2",President,,Don Blankenship,UST,1,,
Iron,"City of Iron River, Precinct 2",President,,Howie Hawkins,GRN,0,,
Iron,"City of Iron River, Precinct 2",President,,Rocky De La Fuente,NLP,0,,
Iron,"City of Iron River, Precinct 2",President,,Write-In,,2,,
Iron,"City of Iron River, Precinct 2",U.S. Senate,,Gary Peters,DEM,248,,
Iron,"City of Iron River, Precinct 2",U.S. Senate,,John James,REP,401,,
Iron,"City of Iron River, Precinct 2",U.S. Senate,,Valerie L Willis,UST,7,,
Iron,"City of Iron River, Precinct 2",U.S. Senate,,Marcia Squier,GRN,5,,
Iron,"City of Iron River, Precinct 2",U.S. Senate,,Doug Dern,NLP,0,,
Iron,"City of Iron River, Precinct 2",U.S. Senate,,Write-In,,0,,
Iron,"City of Iron River, Precinct 2",U.S. House,1,Dana Ferguson,DEM,228,,
Iron,"City of Iron River, Precinct 2",U.S. House,1,Jack Bergman,REP,420,,
Iron,"City of Iron River, Precinct 2",U.S. House,1,Ben Boren,LIB,10,,
Iron,"City of Iron River, Precinct 2",U.S. House,1,Write-In,,0,,
Iron,"City of Iron River, Precinct 2",State House,110,Janet Metsa,DEM,259,,
Iron,"City of Iron River, Precinct 2",State House,110,Gregory Markkanen,REP,390,,
Iron,"City of Iron River, Precinct 2",State House,110,Rick Sauermilch,GRN,7,,
Iron,"City of Iron River, Precinct 2",State House,110,Write-In,,0,,
Iron,"Bates Township, Precinct 1",Straight Party,,,DEM,88,,
Iron,"Bates Township, Precinct 1",Straight Party,,,REP,231,,
Iron,"Bates Township, Precinct 1",Straight Party,,,LIB,0,,
Iron,"Bates Township, Precinct 1",Straight Party,,,UST,1,,
Iron,"Bates Township, Precinct 1",Straight Party,,,WCP,2,,
Iron,"Bates Township, Precinct 1",Straight Party,,,GRN,1,,
Iron,"Bates Township, Precinct 1",Straight Party,,,NLP,2,,
Iron,"Bates Township, Precinct 1",President,,Joseph R Biden,DEM,198,,
Iron,"Bates Township, Precinct 1",President,,Donald J Trump,REP,444,,
Iron,"Bates Township, Precinct 1",President,,Jo Jorgensen,LIB,4,,
Iron,"Bates Township, Precinct 1",President,,Don Blankenship,UST,0,,
Iron,"Bates Township, Precinct 1",President,,Howie Hawkins,GRN,0,,
Iron,"Bates Township, Precinct 1",President,,Rocky De La Fuente,NLP,0,,
Iron,"Bates Township, Precinct 1",President,,Write-In,,0,,
Iron,"Bates Township, Precinct 1",U.S. Senate,,Gary Peters,DEM,211,,
Iron,"Bates Township, Precinct 1",U.S. Senate,,John James,REP,422,,
Iron,"Bates Township, Precinct 1",U.S. Senate,,Valerie L Willis,UST,5,,
Iron,"Bates Township, Precinct 1",U.S. Senate,,Marcia Squier,GRN,3,,
Iron,"Bates Township, Precinct 1",U.S. Senate,,Doug Dern,NLP,1,,
Iron,"Bates Township, Precinct 1",U.S. Senate,,Write-In,,0,,
Iron,"Bates Township, Precinct 1",U.S. House,1,Dana Ferguson,DEM,180,,
Iron,"Bates Township, Precinct 1",U.S. House,1,Jack Bergman,REP,457,,
Iron,"Bates Township, Precinct 1",U.S. House,1,Ben Boren,LIB,4,,
Iron,"Bates Township, Precinct 1",U.S. House,1,Write-In,,0,,
Iron,"Bates Township, Precinct 1",State House,110,Janet Metsa,DEM,189,,
Iron,"Bates Township, Precinct 1",State House,110,Gregory Markkanen,REP,441,,
Iron,"Bates Township, Precinct 1",State House,110,Rick Sauermilch,GRN,9,,
Iron,"Bates Township, Precinct 1",State House,110,Write-In,,0,,
Iron,"Crystal Falls Township, Precinct 1",Straight Party,,,DEM,206,,
Iron,"Crystal Falls Township, Precinct 1",Straight Party,,,REP,273,,
Iron,"Crystal Falls Township, Precinct 1",Straight Party,,,LIB,2,,
Iron,"Crystal Falls Township, Precinct 1",Straight Party,,,UST,1,,
Iron,"Crystal Falls Township, Precinct 1",Straight Party,,,WCP,0,,
Iron,"Crystal Falls Township, Precinct 1",Straight Party,,,GRN,3,,
Iron,"Crystal Falls Township, Precinct 1",Straight Party,,,NLP,1,,
Iron,"Crystal Falls Township, Precinct 1",President,,Joseph R Biden,DEM,392,,
Iron,"Crystal Falls Township, Precinct 1",President,,Donald J Trump,REP,566,,
Iron,"Crystal Falls Township, Precinct 1",President,,Jo Jorgensen,LIB,2,,
Iron,"Crystal Falls Township, Precinct 1",President,,Don Blankenship,UST,1,,
Iron,"Crystal Falls Township, Precinct 1",President,,Howie Hawkins,GRN,5,,
Iron,"Crystal Falls Township, Precinct 1",President,,Rocky De La Fuente,NLP,0,,
Iron,"Crystal Falls Township, Precinct 1",President,,Write-In,,1,,
Iron,"Crystal Falls Township, Precinct 1",U.S. Senate,,Gary Peters,DEM,399,,
Iron,"Crystal Falls Township, Precinct 1",U.S. Senate,,John James,REP,538,,
Iron,"Crystal Falls Township, Precinct 1",U.S. Senate,,Valerie L Willis,UST,6,,
Iron,"Crystal Falls Township, Precinct 1",U.S. Senate,,Marcia Squier,GRN,8,,
Iron,"Crystal Falls Township, Precinct 1",U.S. Senate,,Doug Dern,NLP,0,,
Iron,"Crystal Falls Township, Precinct 1",U.S. Senate,,Write-In,,0,,
Iron,"Crystal Falls Township, Precinct 1",U.S. House,1,Dana Ferguson,DEM,366,,
Iron,"Crystal Falls Township, Precinct 1",U.S. House,1,Jack Bergman,REP,571,,
Iron,"Crystal Falls Township, Precinct 1",U.S. House,1,Ben Boren,LIB,11,,
Iron,"Crystal Falls Township, Precinct 1",U.S. House,1,Write-In,,0,,
Iron,"Crystal Falls Township, Precinct 1",State House,110,Janet Metsa,DEM,387,,
Iron,"Crystal Falls Township, Precinct 1",State House,110,Gregory Markkanen,REP,542,,
Iron,"Crystal Falls Township, Precinct 1",State House,110,Rick Sauermilch,GRN,12,,
Iron,"Crystal Falls Township, Precinct 1",State House,110,Write-In,,0,,
Iron,"Hematite Township, Precinct 1",Straight Party,,,DEM,27,,
Iron,"Hematite Township, Precinct 1",Straight Party,,,REP,47,,
Iron,"Hematite Township, Precinct 1",Straight Party,,,LIB,0,,
Iron,"Hematite Township, Precinct 1",Straight Party,,,UST,0,,
Iron,"Hematite Township, Precinct 1",Straight Party,,,WCP,2,,
Iron,"Hematite Township, Precinct 1",Straight Party,,,GRN,0,,
Iron,"Hematite Township, Precinct 1",Straight Party,,,NLP,0,,
Iron,"Hematite Township, Precinct 1",President,,Joseph R Biden,DEM,71,,
Iron,"Hematite Township, Precinct 1",President,,Donald J Trump,REP,80,,
Iron,"Hematite Township, Precinct 1",President,,Jo Jorgensen,LIB,0,,
Iron,"Hematite Township, Precinct 1",President,,Don Blankenship,UST,0,,
Iron,"Hematite Township, Precinct 1",President,,Howie Hawkins,GRN,0,,
Iron,"Hematite Township, Precinct 1",President,,Rocky De La Fuente,NLP,0,,
Iron,"Hematite Township, Precinct 1",President,,Write-In,,0,,
Iron,"Hematite Township, Precinct 1",U.S. Senate,,Gary Peters,DEM,80,,
Iron,"Hematite Township, Precinct 1",U.S. Senate,,John James,REP,70,,
Iron,"Hematite Township, Precinct 1",U.S. Senate,,Valerie L Willis,UST,0,,
Iron,"Hematite Township, Precinct 1",U.S. Senate,,Marcia Squier,GRN,0,,
Iron,"Hematite Township, Precinct 1",U.S. Senate,,Doug Dern,NLP,1,,
Iron,"Hematite Township, Precinct 1",U.S. Senate,,Write-In,,1,,
Iron,"Hematite Township, Precinct 1",U.S. House,1,Dana Ferguson,DEM,68,,
Iron,"Hematite Township, Precinct 1",U.S. House,1,Jack Bergman,REP,83,,
Iron,"Hematite Township, Precinct 1",U.S. House,1,Ben Boren,LIB,1,,
Iron,"Hematite Township, Precinct 1",U.S. House,1,Write-In,,1,,
Iron,"Hematite Township, Precinct 1",State House,110,Janet Metsa,DEM,71,,
Iron,"Hematite Township, Precinct 1",State House,110,Gregory Markkanen,REP,79,,
Iron,"Hematite Township, Precinct 1",State House,110,Rick Sauermilch,GRN,2,,
Iron,"Hematite Township, Precinct 1",State House,110,Write-In,,1,,
Iron,"Iron River Township, Precinct 1",Straight Party,,,DEM,114,,
Iron,"Iron River Township, Precinct 1",Straight Party,,,REP,289,,
Iron,"Iron River Township, Precinct 1",Straight Party,,,LIB,2,,
Iron,"Iron River Township, Precinct 1",Straight Party,,,UST,1,,
Iron,"Iron River Township, Precinct 1",Straight Party,,,WCP,1,,
Iron,"Iron River Township, Precinct 1",Straight Party,,,GRN,1,,
Iron,"Iron River Township, Precinct 1",Straight Party,,,NLP,1,,
Iron,"Iron River Township, Precinct 1",President,,Joseph R Biden,DEM,208,,
Iron,"Iron River Township, Precinct 1",President,,Donald J Trump,REP,485,,
Iron,"Iron River Township, Precinct 1",President,,Jo Jorgensen,LIB,5,,
Iron,"Iron River Township, Precinct 1",President,,Don Blankenship,UST,0,,
Iron,"Iron River Township, Precinct 1",President,,Howie Hawkins,GRN,2,,
Iron,"Iron River Township, Precinct 1",President,,Rocky De La Fuente,NLP,1,,
Iron,"Iron River Township, Precinct 1",President,,Write-In,,1,,
Iron,"Iron River Township, Precinct 1",U.S. Senate,,Gary Peters,DEM,215,,
Iron,"Iron River Township, Precinct 1",U.S. Senate,,John James,REP,464,,
Iron,"Iron River Township, Precinct 1",U.S. Senate,,Valerie L Willis,UST,8,,
Iron,"Iron River Township, Precinct 1",U.S. Senate,,Marcia Squier,GRN,5,,
Iron,"Iron River Township, Precinct 1",U.S. Senate,,Doug Dern,NLP,1,,
Iron,"Iron River Township, Precinct 1",U.S. Senate,,Write-In,,0,,
Iron,"Iron River Township, Precinct 1",U.S. House,1,Dana Ferguson,DEM,197,,
Iron,"Iron River Township, Precinct 1",U.S. House,1,Jack Bergman,REP,488,,
Iron,"Iron River Township, Precinct 1",U.S. House,1,Ben Boren,LIB,5,,
Iron,"Iron River Township, Precinct 1",U.S. House,1,Write-In,,0,,
Iron,"Iron River Township, Precinct 1",State House,110,Janet Metsa,DEM,210,,
Iron,"Iron River Township, Precinct 1",State House,110,Gregory Markkanen,REP,465,,
Iron,"Iron River Township, Precinct 1",State House,110,Rick Sauermilch,GRN,10,,
Iron,"Iron River Township, Precinct 1",State House,110,Write-In,,0,,
Iron,"Mansfield Township, Precinct 1",Straight Party,,,DEM,29,,
Iron,"Mansfield Township, Precinct 1",Straight Party,,,REP,51,,
Iron,"Mansfield Township, Precinct 1",Straight Party,,,LIB,0,,
Iron,"Mansfield Township, Precinct 1",Straight Party,,,UST,0,,
Iron,"Mansfield Township, Precinct 1",Straight Party,,,WCP,1,,
Iron,"Mansfield Township, Precinct 1",Straight Party,,,GRN,0,,
Iron,"Mansfield Township, Precinct 1",Straight Party,,,NLP,0,,
Iron,"Mansfield Township, Precinct 1",President,,Joseph R Biden,DEM,64,,
Iron,"Mansfield Township, Precinct 1",President,,Donald J Trump,REP,132,,
Iron,"Mansfield Township, Precinct 1",President,,Jo Jorgensen,LIB,0,,
Iron,"Mansfield Township, Precinct 1",President,,Don Blankenship,UST,2,,
Iron,"Mansfield Township, Precinct 1",President,,Howie Hawkins,GRN,0,,
Iron,"Mansfield Township, Precinct 1",President,,Rocky De La Fuente,NLP,1,,
Iron,"Mansfield Township, Precinct 1",President,,Write-In,,0,,
Iron,"Mansfield Township, Precinct 1",U.S. Senate,,Gary Peters,DEM,69,,
Iron,"Mansfield Township, Precinct 1",U.S. Senate,,John James,REP,122,,
Iron,"Mansfield Township, Precinct 1",U.S. Senate,,Valerie L Willis,UST,4,,
Iron,"Mansfield Township, Precinct 1",U.S. Senate,,Marcia Squier,GRN,0,,
Iron,"Mansfield Township, Precinct 1",U.S. Senate,,Doug Dern,NLP,1,,
Iron,"Mansfield Township, Precinct 1",U.S. Senate,,Write-In,,0,,
Iron,"Mansfield Township, Precinct 1",U.S. House,1,Dana Ferguson,DEM,60,,
Iron,"Mansfield Township, Precinct 1",U.S. House,1,Jack Bergman,REP,130,,
Iron,"Mansfield Township, Precinct 1",U.S. House,1,Ben Boren,LIB,2,,
Iron,"Mansfield Township, Precinct 1",U.S. House,1,Write-In,,2,,
Iron,"Mansfield Township, Precinct 1",State House,110,Janet Metsa,DEM,60,,
Iron,"Mansfield Township, Precinct 1",State House,110,Gregory Markkanen,REP,124,,
Iron,"Mansfield Township, Precinct 1",State House,110,Rick Sauermilch,GRN,3,,
Iron,"Mansfield Township, Precinct 1",State House,110,Write-In,,2,,
Iron,"Mastodon Township, Precinct 1",Straight Party,,,DEM,55,,
Iron,"Mastodon Township, Precinct 1",Straight Party,,,REP,99,,
Iron,"Mastodon Township, Precinct 1",Straight Party,,,LIB,0,,
Iron,"Mastodon Township, Precinct 1",Straight Party,,,UST,0,,
Iron,"Mastodon Township, Precinct 1",Straight Party,,,WCP,2,,
Iron,"Mastodon Township, Precinct 1",Straight Party,,,GRN,0,,
Iron,"Mastodon Township, Precinct 1",Straight Party,,,NLP,0,,
Iron,"Mastodon Township, Precinct 1",President,,Joseph R Biden,DEM,148,,
Iron,"Mastodon Township, Precinct 1",President,,Donald J Trump,REP,226,,
Iron,"Mastodon Township, Precinct 1",President,,Jo Jorgensen,LIB,2,,
Iron,"Mastodon Township, Precinct 1",President,,Don Blankenship,UST,1,,
Iron,"Mastodon Township, Precinct 1",President,,Howie Hawkins,GRN,0,,
Iron,"Mastodon Township, Precinct 1",President,,Rocky De La Fuente,NLP,0,,
Iron,"Mastodon Township, Precinct 1",President,,Write-In,,0,,
Iron,"Mastodon Township, Precinct 1",U.S. Senate,,Gary Peters,DEM,155,,
Iron,"Mastodon Township, Precinct 1",U.S. Senate,,John James,REP,211,,
Iron,"Mastodon Township, Precinct 1",U.S. Senate,,Valerie L Willis,UST,3,,
Iron,"Mastodon Township, Precinct 1",U.S. Senate,,Marcia Squier,GRN,0,,
Iron,"Mastodon Township, Precinct 1",U.S. Senate,,Doug Dern,NLP,0,,
Iron,"Mastodon Township, Precinct 1",U.S. Senate,,Write-In,,1,,
Iron,"Mastodon Township, Precinct 1",U.S. House,1,Dana Ferguson,DEM,135,,
Iron,"Mastodon Township, Precinct 1",U.S. House,1,Jack Bergman,REP,234,,
Iron,"Mastodon Township, Precinct 1",U.S. House,1,Ben Boren,LIB,1,,
Iron,"Mastodon Township, Precinct 1",U.S. House,1,Write-In,,1,,
Iron,"Mastodon Township, Precinct 1",State House,110,Janet Metsa,DEM,146,,
Iron,"Mastodon Township, Precinct 1",State House,110,Gregory Markkanen,REP,216,,
Iron,"Mastodon Township, Precinct 1",State House,110,Rick Sauermilch,GRN,4,,
Iron,"Mastodon Township, Precinct 1",State House,110,Write-In,,1,,
Iron,"Mastodon Township, Precinct 2",Straight Party,,,DEM,17,,
Iron,"Mastodon Township, Precinct 2",Straight Party,,,REP,23,,
Iron,"Mastodon Township, Precinct 2",Straight Party,,,LIB,1,,
Iron,"Mastodon Township, Precinct 2",Straight Party,,,UST,0,,
Iron,"Mastodon Township, Precinct 2",Straight Party,,,WCP,1,,
Iron,"Mastodon Township, Precinct 2",Straight Party,,,GRN,0,,
Iron,"Mastodon Township, Precinct 2",Straight Party,,,NLP,0,,
Iron,"Mastodon Township, Precinct 2",President,,Joseph R Biden,DEM,30,,
Iron,"Mastodon Township, Precinct 2",President,,Donald J Trump,REP,44,,
Iron,"Mastodon Township, Precinct 2",President,,Jo Jorgensen,LIB,1,,
Iron,"Mastodon Township, Precinct 2",President,,Don Blankenship,UST,0,,
Iron,"Mastodon Township, Precinct 2",President,,Howie Hawkins,GRN,0,,
Iron,"Mastodon Township, Precinct 2",President,,Rocky De La Fuente,NLP,0,,
Iron,"Mastodon Township, Precinct 2",President,,Write-In,,0,,
Iron,"Mastodon Township, Precinct 2",U.S. Senate,,Gary Peters,DEM,26,,
Iron,"Mastodon Township, Precinct 2",U.S. Senate,,John James,REP,48,,
Iron,"Mastodon Township, Precinct 2",U.S. Senate,,Valerie L Willis,UST,1,,
Iron,"Mastodon Township, Precinct 2",U.S. Senate,,Marcia Squier,GRN,0,,
Iron,"Mastodon Township, Precinct 2",U.S. Senate,,Doug Dern,NLP,0,,
Iron,"Mastodon Township, Precinct 2",U.S. Senate,,Write-In,,0,,
Iron,"Mastodon Township, Precinct 2",U.S. House,1,Dana Ferguson,DEM,29,,
Iron,"Mastodon Township, Precinct 2",U.S. House,1,Jack Bergman,REP,45,,
Iron,"Mastodon Township, Precinct 2",U.S. House,1,Ben Boren,LIB,1,,
Iron,"Mastodon Township, Precinct 2",U.S. House,1,Write-In,,0,,
Iron,"Mastodon Township, Precinct 2",State House,110,Janet Metsa,DEM,32,,
Iron,"Mastodon Township, Precinct 2",State House,110,Gregory Markkanen,REP,43,,
Iron,"Mastodon Township, Precinct 2",State House,110,Rick Sauermilch,GRN,0,,
Iron,"Mastodon Township, Precinct 2",State House,110,Write-In,,0,,
Iron,"Stambaugh Township, Precinct 1",Straight Party,,,DEM,124,,
Iron,"Stambaugh Township, Precinct 1",Straight Party,,,REP,257,,
Iron,"Stambaugh Township, Precinct 1",Straight Party,,,LIB,1,,
Iron,"Stambaugh Township, Precinct 1",Straight Party,,,UST,0,,
Iron,"Stambaugh Township, Precinct 1",Straight Party,,,WCP,4,,
Iron,"Stambaugh Township, Precinct 1",Straight Party,,,GRN,1,,
Iron,"Stambaugh Township, Precinct 1",Straight Party,,,NLP,0,,
Iron,"Stambaugh Township, Precinct 1",President,,Joseph R Biden,DEM,283,,
Iron,"Stambaugh Township, Precinct 1",President,,Donald J Trump,REP,513,,
Iron,"Stambaugh Township, Precinct 1",President,,Jo Jorgensen,LIB,4,,
Iron,"Stambaugh Township, Precinct 1",President,,Don Blankenship,UST,1,,
Iron,"Stambaugh Township, Precinct 1",President,,Howie Hawkins,GRN,2,,
Iron,"Stambaugh Township, Precinct 1",President,,Rocky De La Fuente,NLP,0,,
Iron,"Stambaugh Township, Precinct 1",President,,Write-In,,0,,
Iron,"Stambaugh Township, Precinct 1",U.S. Senate,,Gary Peters,DEM,284,,
Iron,"Stambaugh Township, Precinct 1",U.S. Senate,,John James,REP,506,,
Iron,"Stambaugh Township, Precinct 1",U.S. Senate,,Valerie L Willis,UST,4,,
Iron,"Stambaugh Township, Precinct 1",U.S. Senate,,Marcia Squier,GRN,3,,
