county,precinct,office,district,candidate,party,votes
Mercer,PRECINCT 88,BALLOTS CAST,,BALLOTS CAST - DEMOCRATIC,DEM,206
Mercer,PRECINCT 89,BALLOTS CAST,,BALLOTS CAST - DEMOCRATIC,DEM,44
Mercer,PRECINCT 95,BALLOTS CAST,,BALLOTS CAST - DEMOCRATIC,DEM,63
Mercer,PRECINCT 96,BALLOTS CAST,,BALLOTS CAST - DEMOCRATIC,DEM,46
Mercer,PRECINCT 98,BALLOTS CAST,,BALLOTS CAST - DEMOCRATIC,DEM,142
Mercer,PRECINCT 1,BALLOTS CAST,,BALLOTS CAST - NONPARTISAN,,0
Mercer,PRECINCT 2,BALLOTS CAST,,BALLOTS CAST - NONPARTISAN,,1
Mercer,PRECINCT 3,BALLOTS CAST,,BALLOTS CAST - NONPARTISAN,,1
Mercer,PRECINCT 4,BALLOTS CAST,,BALLOTS CAST - NONPARTISAN,,0
Mercer,PRECINCT 14,BALLOTS CAST,,BALLOTS CAST - NONPARTISAN,,1
Mercer,PRECINCT 15,BALLOTS CAST,,BALLOTS CAST - NONPARTISAN,,2
Mercer,PRECINCT 20,BALLOTS CAST,,BALLOTS CAST - NONPARTISAN,,3
Mercer,PRECINCT 27,BALLOTS CAST,,BALLOTS CAST - NONPARTISAN,,6
Mercer,PRECINCT 28,BALLOTS CAST,,BALLOTS CAST - NONPARTISAN,,1
Mercer,PRECINCT 31,BALLOTS CAST,,BALLOTS CAST - NONPARTISAN,,2
Mercer,PRECINCT 32,BALLOTS CAST,,BALLOTS CAST - NONPARTISAN,,2
Mercer,PRECINCT 36,BALLOTS CAST,,BALLOTS CAST - NONPARTISAN,,12
Mercer,PRECINCT 44,BALLOTS CAST,,BALLOTS CAST - NONPARTISAN,,5
Mercer,PRECINCT 47,BALLOTS CAST,,BALLOTS CAST - NONPARTISAN,,0
Mercer,PRECINCT 48,BALLOTS CAST,,BALLOTS CAST - NONPARTISAN,,0
Mercer,PRECINCT 49,BALLOTS CAST,,BALLOTS CAST - NONPARTISAN,,0
Mercer,PRECINCT 52,BALLOTS CAST,,BALLOTS CAST - NONPARTISAN,,1
Mercer,PRECINCT 53,BALLOTS CAST,,BALLOTS CAST - NONPARTISAN,,6
