bioguide_id	icpsr	chamber	state_abbrev	district	party_code	party_name	dw_nominate	dw_nominate2
D000399	29571	house	TX	37	100		-0.403	-0.331
M001228	22376	house	UT	2	200		0.426	0.073
B001318	22301	house	VT	1	100		-0.46	-0.465
K000399	22335	house	VA	2	200		0.261	0.439
M001227	22374	house	VA	4	100		-0.551	0.053
G000600	22358	house	WA	3	100		-0.09	0.338
M001205	21946	house	WV	1	200		0.526	0.112
V000135	22370	house	WI	3	200		0.378	-0.017
W000829	22383	house	WI	8	200		0.456	-0.38
H001096	22325	house	WY	1	200		0.651	-0.376
B001319	42300	senate	AL	0	200		0.585	0.585
S001191	91300	senate	AZ	0	328		-0.186	0.387
S001150	20104	senate	CA	0	100		-0.353	-0.114
B001320	42305	senate	CA	0	100		-0.447	-0.073
S001227	42303	senate	MO	0	200		0.92	0.046
R000618	42302	senate	NE	0	200		0.437	0.524
K000394	21937	senate	NJ	0	100		-0.399	0.241
H001097	42306	senate	NJ	0	100		-0.347	-0.308
B001305	21708	senate	NC	0	200		0.633	-0.076
V000137	42304	senate	OH	0	200		0.85	-0.527
M001190	21355	senate	OK	0	200		0.533	0.252
F000479	42301	senate	PA	0	100		-0.192	0.039
W000800	20750	senate	VT	0	100		-0.407	-0.383
M001183	90915	senate	WV	0	328		-0.06	-0.805
M001212	22140	house	AL	1	200		0.645	-0.249
F000481	22515	house	AL	2	100		-0.369	0.498
B001323	22503	house	AK	1	200		0.612	-0.032
A000381	22500	house	AZ	3	100		-0.643	0.447
H001098	22522	house	AZ	8	200		0.674	-0.084
C001123	21907	house	CA	31	100		-0.481	0.717
F000483	22516	house	CA	30	100		-0.385	-0.12
G000605	22521	house	CA	13	100		-0.247	0.844
L000607	22532	house	CA	16	100		-0.379	-0.101
M001241	22541	house	CA	47	100		-0.234	0.114
R000620	22550	house	CA	29	100		-0.667	-0.072
S001231	22553	house	CA	12	100		-0.94	0.341
T000491	22556	house	CA	45	100		-0.253	0.204
W000830	22559	house	CA	27	100		-0.189	0.225
B000825	22103	house	CO	4	200		0.736	-0.492
C001137	22509	house	CO	5	200		0.745	-0.138
E000300	22513	house	CO	8	200		0.373	0.531
H001100	22526	house	CO	3	200		0.375	0.532
M001238	22535	house	DE	1	100		-0.245	-0.296
H001099	22523	house	FL	8	200		0.478	-0.129
F000484	22562	house	FL	6	200		0.814	0.198
P000622	22563	house	FL	1	200		0.805	0.262
M001218	22346	house	GA	7	200		0.891	0.454
J000311	22527	house	GA	3	200		0.522	-0.209
S001188	21100	house	IN	3	200		0.723	-0.109
M001233	22540	house	IN	8	200		0.468	0.007
S001229	22552	house	IN	6	200		0.425	0.01
S001228	22551	house	KS	2	200		0.896	0.444
F000110	29354	house	LA	6	100		-0.454	0.096
E000301	22512	house	MD	3	100		-0.308	-0.155
M001232	22536	house	MD	6	100		-0.279	0.265
O000176	22545	house	MD	2	100		-0.296	-0.289
B001321	22501	house	MI	7	200		0.514	-0.176
M001237	22537	house	MI	8	100		-0.238	0.457
M001234	22544	house	MN	3	100		-0.273	-0.452
B001324	22504	house	MO	1	100		-0.571	0.688
O000177	22546	house	MO	3	200		0.769	-0.018
D000634	22511	house	MT	2	200		0.88	0.475
G000604	22520	house	NH	2	100		-0.261	0.244
C001136	22508	house	NJ	3	100		-0.236	-0.057
P000621	22547	house	NJ	9	100		-0.345	0.129
G000602	22518	house	NY	4	100		-0.16	0.308
L000606	22531	house	NY	16	100		-0.419	0.34
M001231	22534	house	NY	22	100		-0.197	-0.003
R000622	22549	house	NY	19	100		-0.201	0.158
H001101	22524	house	NC	10	200		0.983	0.182
H001102	22525	house	NC	8	200		0.804	-0.096
K000405	22530	house	NC	13	200		0.755	-0.051
M001240	22538	house	NC	6	200		0.529	-0.223
M001236	22542	house	NC	14	200		0.505	-0.159
F000482	22514	house	ND	1	200		0.64	0.32
K000404	22561	house	MP	0	200			
T000490	22555	house	OH	2	200		0.679	0.561
B001326	22507	house	OR	5	100		-0.265	0.177
D000635	22510	house	OR	3	100		-0.487	-0.616
B001327	22506	house	PA	8	200		0.373	0.531
M001230	22533	house	PA	7	200		0.338	-0.223
H001103	22560	house	PR	0	100			
B001325	22505	house	SC	3	200		0.765	-0.27
G000603	22517	house	TX	26	200		0.981	0.194
G000601	22519	house	TX	12	200		0.856	0.517
J000310	22528	house	TX	32	100		-0.398	0.475
T000489	22557	house	TX	18	100		-0.746	0.666
K000403	22529	house	UT	3	200		0.862	0.161
M001239	22539	house	VA	5	200		0.713	-0.332
S001230	22554	house	VA	10	100		-0.29	0.139
V000138	22558	house	VA	7	100		-0.177	0.062
B001322	22502	house	WA	5	200		0.424	0.01
R000621	22548	house	WA	6	100		-0.684	-0.009
M001235	22543	house	WV	2	200		0.801	0.167
G000574	21502	senate	AZ	0	100		-0.359	0.142
B001303	21706	senate	DE	0	100		-0.38	-0.137
M001244	42506	senate	FL	0	200		0.733	0.177
B001299	21702	senate	IN	0	200		0.647	0.011
A000382	42500	senate	MD	0	100		-0.433	-0.002
S001208	21965	senate	MI	0	100		-0.346	0.752
S001232	42503	senate	MT	0	200		0.666	0.746
M001242	42502	senate	OH	0	200		0.767	0.142
H001104	42505	senate	OH	0	200		0.717	0.643
M001243	42501	senate	PA	0	200		0.557	0.606
C001114	21755	senate	UT	0	200		0.449	0.115
J000312	42504	senate	WV	0	200		0.664	0.616
