organization,pacs,honoree,date,amount_usd
AMERICAN OPTOMETRIC ASSOCIATION,AOA-PAC,Congresswoman Julie Fedorchak,2025-05-19,2500.00
CHEVRON U.S.A. INC.,Chevron Employees Political Action Committee - Chevron Corporation,Rep. Julie Fedorchak,2025-04-21,2000.00
NATIONAL ASSOCIATION OF REALTORS,National Association of Realtors Political Action Committee,Julie Fedorchak,2025-02-19,2000.00
ELECTRIC POWER SUPPLY ASSOCIATION,,Representative Julie Fedorchak,2025-05-07,1000.00
CTIA-THE WIRELESS ASSOCIATION,CTIA- The Wireless Association Political Action Committee,Rep. Julie Fedorchak,2025-03-26,1000.00
CHS INC.,,Julie Fedorchak,2025-05-08,2500.00
AUTO CARE ASSOCIATION,Auto Care Association PAC,Rep. Julie Fedorchak,2025-04-22,1000.00
LKQ CORPORATION,LKQ Corporation Employee Good Government Fund,U.S. Representative Julie Fedorchak,2025-02-06,2000.00
INVARIANT LLC,VIEW PAC,Congresswoman Julie Fedorchak,2025-06-02,5000.00
ONEOK INC.,ONEOK Inc. Employee Political Action Committee,Julie Fedorchak,2025-05-14,5000.00
CASE NEW HOLLAND INDUSTRIAL INC.,Case New Holland Industrial Excellence in Government Fund,Julie Fedorchak,2025-06-27,5000.00
U.S. TRAVEL ASSOCIATION,US Travel Association PAC,Rep Julie Fedorchak,2025-03-20,1000.00
DUKE ENERGY CORPORATION,DUKEPAC,"Fedorchak, Julie",2025-04-18,1000.00
COMCAST CORPORATION,Comcast Corporation & NBCUniversal Political Action Committee - Federal,Rep. Julie Fedorchak,2025-03-27,5000.00
FGS GLOBAL (US) LLC (FKA FGH HOLDINGS LLC),FGS GLOBAL (US) LLC POLITICAL ACTION COMMITTEE,Fedorchak For ND,2025-03-26,1000.00
"DOMINION ENERGY, INC.",Dominion Energy Inc Political Action Committee Dominion PAC,Rep Julie Fedorchak,2025-03-18,1000.00
"DOMINION ENERGY, INC.",Dominion Energy Inc Political Action Committee Dominion PAC,Rep Julie Fedorchak,2025-05-05,1000.00
NATIONAL MINING ASSOCIATION,COALPAC; MINEPAC,Julie Fedorchak,2025-03-31,1000.00
GOOGLE CLIENT SERVICES LLC,Google LLC NetPAC,Rep. Julie Fedorchak,2025-06-06,2000.00
FULCRUM PUBLIC AFFAIRS LLC,,Rep. Julie Fedorchak,2025-05-06,250.00
