organization,pacs,honoree,date,amount_usd
CREDIT UNION NATIONAL ASSOCIATION. INC. DBA AMERICA'S CREDIT UNIONS,America's Credit Unions PAC,Rep. Joyce Beatty,2025-06-10,2500.00
CREDIT UNION NATIONAL ASSOCIATION. INC. DBA AMERICA'S CREDIT UNIONS,America's Credit Unions PAC,Rep. Dave Joyce,2025-02-28,1500.00
AMERICAN COLLEGE OF SURGEONS PROFESSIONAL ASSOCIATION,American College of Surgeons Professional Association PAC,Rep. John Joyce,2025-06-30,2500.00
AMERICAN COLLEGE OF SURGEONS PROFESSIONAL ASSOCIATION,American College of Surgeons Professional Association PAC,Rep. John Joyce,2025-01-21,2500.00
AMERICAN GASTROENTEROLOGICAL ASSOCIATION,AGA PAC,Representative John Joyce,2025-04-29,1000.00
AMERICAN GASTROENTEROLOGICAL ASSOCIATION,AGA PAC,Representative John Joyce,2025-06-26,1500.00
THE GOODYEAR TIRE & RUBBER COMPANY,Goodyear Good Government Fund,Representative Dave Joyce,2025-05-22,1000.00
"ALKERMES, INC.","Alkermes, Inc. Political Action Committee",John Joyce,2025-03-12,1000.00
"ALPINE GROUP PARTNERS, LLC.",,Rep. John Joyce,2025-01-31,1000.00
"ALPINE GROUP PARTNERS, LLC.",,Rep. John Joyce,2025-03-31,1000.00
"KOCH GOVERNMENT AFFAIRS, LLC","Koch, Inc. Political Action Committee (KOCHPAC)",Rep. Dave Joyce,2025-06-12,1000.00
"KOCH GOVERNMENT AFFAIRS, LLC","Koch, Inc. Political Action Committee (KOCHPAC)",Rep. Dave Joyce,2025-05-19,1000.00
"KOCH GOVERNMENT AFFAIRS, LLC","Koch, Inc. Political Action Committee (KOCHPAC)",Rep. John Joyce,2025-04-14,5000.00
NEW YORK LIFE INSURANCE COMPANY,New York Life Insurance Company Political Action Committee; New York Life Insurance Company State & Federal PAC,"Beatty, Joyce",2025-02-10,2500.00
NEW YORK LIFE INSURANCE COMPANY,New York Life Insurance Company Political Action Committee; New York Life Insurance Company State & Federal PAC,"Beatty, Joyce",2025-04-29,2500.00
WESTERN ALLIANCE BANCORPORATION,WESTERN ALLIANCE BANCORPORATION POLITICAL ACTION COMMITTEE (WABPAC),Rep. Joyce Beatty,2025-06-20,2500.00
"BL PARTNERS GROUP, LLC",,Friends of Dave Joyce,2025-04-01,500.00
"TOYOTA MOTOR NORTH AMERICA, INC. (TMA)","Toyota Motor North America, Inc Political Action Committee (Toyota/Lexus PAC)",Rep. Dave Joyce,2025-05-08,2500.00
"TOYOTA MOTOR NORTH AMERICA, INC. (TMA)","Toyota Motor North America, Inc Political Action Committee (Toyota/Lexus PAC)",Rep. John Joyce,2025-04-21,2500.00
"TOYOTA MOTOR NORTH AMERICA, INC. (TMA)","Toyota Motor North America, Inc Political Action Committee (Toyota/Lexus PAC)","Reps. Mike Johnson, Hakeem Jeffries, Sam Graves, Rick Larsen, Julia Letlow, Mike McCaul, and Joyce Beatty. Sens. Thune, Schumer, Whitehouse, Capito, Warner, Van Hollen and Collins",2025-06-28,100000.00
"TOYOTA MOTOR NORTH AMERICA, INC. (TMA)","Toyota Motor North America, Inc Political Action Committee (Toyota/Lexus PAC)","Reps. Terri Sewell, Joyce Beatty, Troy Carter, Steven Horsford, Glenn Ivey, Robin Kelly, Lucy McBath, Stacey Plaskett, and Frederica Wilson",2025-03-06,40000.00
INTERNATIONAL BROTHERHOOD OF TEAMSTERS,D.R.I.V.E.,DAVE JOYCE,2025-05-20,1000.00
STATE FARM MUTUAL AUTOMOBILE INSURANCE COMPANY,State Farm Mutual Automobile Insurance Company Federal Political Action Committee (State Farm Federal PAC),Rep. Joyce Beatty,2025-05-06,2500.00
"THE PICARD GROUP, LLC",,Congressman John Joyce,2025-03-31,1000.00
"BECTON, DICKINSON AND COMPANY",BD PAC,Rep. John Joyce (R),2025-06-23,1000.00
"CENCORA, INC.","Cencora, Inc. PAC",Rep. John Joyce,2025-03-04,2500.00
"W STRATEGIES, LLC",,U.S. Representative John Joyce,2025-02-07,3500.00
AMERICAN HOSPITAL ASSOCIATION,American Hospital Association Political Action Committee,Joyce Beatty,2025-05-27,1000.00
AMERICAN HOSPITAL ASSOCIATION,American Hospital Association Political Action Committee,John Joyce,2025-02-03,5000.00
AMERICAN HOSPITAL ASSOCIATION,American Hospital Association Political Action Committee,Dave Joyce,2025-05-19,1000.00
AMERICAN HOSPITAL ASSOCIATION,American Hospital Association Political Action Committee,John Joyce,2025-05-15,2000.00
AMERICAN HOSPITAL ASSOCIATION,American Hospital Association Political Action Committee,John Joyce,2025-05-19,1000.00
AMERICAN HOSPITAL ASSOCIATION,American Hospital Association Political Action Committee,John Joyce,2025-06-16,2000.00
AMERICAN ACADEMY OF PHYSICIAN ASSOCIATES,American Academy of Physician Associates PAC,Rep. Dave Joyce,2025-03-18,2500.00
"MINDSET ADVOCACY, LLC",,Rep. Joyce Beatty,2025-02-26,2000.00
A1.9 STRATEGIES LLC,,Rep. Dave Joyce of Ohio,2025-06-17,1000.00
INFORMATION TECHNOLOGY INDUSTRY COUNCIL,INFORMATION TECHNOLOGY INDUSTRY COUNCIL PAC (ITI PAC),REP. JOHN JOYCE,2025-03-31,1000.00
"TAI GINSBERG & ASSOCIATES, LLC",,Hon. Dave Joyce,2025-02-24,500.00
ALSTON & BIRD LLP,,John Joyce,2025-06-24,1000.00
FMR LLC,FMR LLC Political Action Committee - Federal (Fidelity PAC),Rep. Dave Joyce,2025-05-21,2500.00
FMR LLC,FMR LLC Political Action Committee - Federal (Fidelity PAC),Rep. Joyce Beatty,2025-03-03,1000.00
"TD BANK, NA",TD Bank N.A. Political Action Committee,Joyce Beatty,2025-05-28,2500.00
BRODY GROUP L.L.C. PUBLIC AFFAIRS,,Congressman John Joyce,2025-05-06,1000.00
NATIONAL FOOTBALL LEAGUE,GridironPAC,Rep John Joyce,2025-03-07,2500.00
"AMERICAN COLLEGE OF PHYSICIAN SERVICES, INC.",ACP Services PAC,John Joyce,2025-03-19,5000.00
EDISON ELECTRIC INSTITUTE,PowerPAC of the Edison Electric Institute,Rep. John Joyce,2025-06-30,2500.00
EDISON ELECTRIC INSTITUTE,PowerPAC of the Edison Electric Institute,Rep. Joyce Beatty,2025-03-31,2000.00
QUEST DIAGNOSTICS INCORPORATED,QUEST DIAGNOSTICS INCORPORATED PAC (QuestPAC) C00329185,John Joyce PA-13 US House,2025-03-18,2500.00
LUNDBECK LLC,Lundbeck LLC Employee Political Action Committee,John Joyce,2025-01-24,1000.00
DISCOVER FINANCIAL SERVICES,Discover Financial Services Political Action Committee,Rep. Joyce Beatty Leadership PAC,2025-04-01,5000.00
"ARDELYX, INC.","Ardelyx, Inc. Political Action Committee (ARDX PAC)",Rep. John Joyce,2025-05-15,1000.00
MARATHON PETROLEUM COMPANY LP,Marathon Petroleum Corporation Employees Political Action Committee MPAC,Rep John Joyce,2025-03-27,5000.00
MARATHON PETROLEUM COMPANY LP,Marathon Petroleum Corporation Employees Political Action Committee MPAC,Rep Dave Joyce,2025-06-06,2500.00
THE AES CORPORATION,The AES Corporation Political Action Committee,John Joyce,2025-06-18,1000.00
"GENENTECH, INC",Genentech Inc. Political Action Committee (GenenPAC),Rep. John Joyce,2025-05-27,1500.00
"GENENTECH, INC",Genentech Inc. Political Action Committee (GenenPAC),Rep. Joyce Beatty,2025-03-10,2500.00
NOVOCURE INC.,NOVOCURE INC. PAC (A.K.A. NOVOCURE PAC),U.S. Representative John Joyce,2025-03-21,5000.00
BIOMARIN PHARMACEUTICAL INC.,BIOMARIN PHARMACEUTICAL INC. POLITICAL ACTION COMMITTEE AKA BIOMARIN PAC,REP. JOHN JOYCE,2025-06-03,2000.00
STANTON PARK GROUP,,Rep. John Joyce,2025-06-30,500.00
"K2 STRATEGIES, LLC",,Representative Dave Joyce,2025-06-25,500.00
AMERICAN MEDICAL ASSOCIATION,American Medical Association Political Action Committee,John Joyce,2025-04-30,1000.00
HF SINCLAIR CORPORATION,HF Sinclair Political Action Committee (DINO PAC),John Joyce,2025-06-17,2500.00
"AMERIPRISE FINANCIAL, INC.",Ameriprise Financial Political Action Committee,Congresswoman Joyce Beatty,2025-05-27,2500.00
"TAKEDA PHARMACEUTICALS AMERICA, INC.",TAKEDA PHARMACEUTICALS AMERICA INC. PAC (C00441733),John Joyce PA-13 US House,2025-03-13,1000.00
SOCIETY FOR VASCULAR SURGERY,SVS PAC,Rep. John Joyce (R-PA-13),2025-03-19,1000.00
"SIEMENS MEDICAL SOLUTIONS USA, INC",SIEMENS HEALTHINEERS PAC THE EMPLOYEE FUNDED POLITICAL ACTION COMMITTEE OF SIEMENS MEDICAL SOLUTION,Rep John Joyce,2025-03-27,2500.00
