organization,pacs,honoree,date,amount_usd
RETAIL INDUSTRY LEADERS ASSOCIATION,Retail Leaders PAC,Tim Walberg,2025-06-02,2500.00
"POTOMAC STRATEGIC DEVELOPMENT COMPANY, LLC",,Walberg for Congress,2025-06-08,2500.00
FAEGRE DRINKER BIDDLE & REATH LLP,Faegre Drinker PAC,Timothy Walberg,2025-03-04,1000.00
NATIONAL ASSOCIATION OF HOME BUILDERS,Build Political Action Committee of the National Association of Home Builders (BUILDPAC),Rep. Tim Walberg,2025-03-24,5000.00
"UNIVERSITY OF PHOENIX, INC.",,Tim Walberg,2025-05-19,2500.00
"BROWNSTEIN HYATT FARBER SCHRECK, LLP",Road to Freedom,Tim Walberg,2025-03-04,2500.00
AMERICAN TRUCKING ASSOCIATIONS,TRUCKING POLITICAL ACTION COMMITTEE OF THE AMERICAN TRUCKING ASSOCIATIONS INC,Rep Tim Walberg,2025-06-24,2500.00
NATIONAL RIFLE ASSOCIATION OF AMERICA,National Rifle Association of America Political Victory Fund,"Walberg, Timothy",2025-05-16,1000.00
PRINCIPAL FINANCIAL GROUP,Principal Financial Group,Representative Time Walberg,2025-03-03,2500.00
SQUIRE PATTON BOGGS,Squire Patton Boggs Political Action Committee,Tim Walberg,2025-01-09,1000.00
"NAVIGATORS GLOBAL LLC (FORMERLY DC NAVIGATORS, LLC)",,Rep. Mike Walberg,2025-03-17,500.00
