organization,pacs,honoree,date,amount_usd
"HIMS & HERS HEALTH, INC.","Hims & Hers Health, Inc. PAC",Rep. Bob Latta,2025-06-09,1000.00
ERICSSON INC.,Ericsson Inc US Employees Political Action Committee Ericsson PAC,Rep Bob Latta,2025-05-09,1000.00
AMERICAN BANKERS ASSOCIATION,American Bankers Association PAC BANKPAC,Rep Bob Latta,2025-05-21,2500.00
"BROWNSTEIN HYATT FARBER SCHRECK, LLP",BHFS-E PC PAC (Brownstein Hyatt Farber Schreck PAC),Rep. Bob Latta,2025-04-29,1000.00
BLANK ROME LLP,BLANK ROME PAC,Bob Latta,2025-06-24,2500.00
VALERO ENERGY CORPORATION,Valero Energy Corporation Political Action Committee,Rep. Bob Latta,2025-05-29,5000.00
OGR,,Bob Latta,2025-04-30,500.00
EDISON INTERNATIONAL,EDISON INTERNATIONAL PAC,ROBERT EDWARD LATTA,2025-04-22,1000.00
ENERGY MARKETERS OF AMERICA,ENERGY MARKETERS OF AMERICA SMALL BUSINESS COMMITTEE PAC (EMA SBC PAC); Energy Marketers of America SBC PAC,Rep. Robert Latta,2025-03-28,1000.00
PACIFIC GAS AND ELECTRIC COMPANY,PG&E Corporation Employees EnergyPAC,Rep. Robert Latta,2025-04-17,1500.00
INVARIANT LLC,,Bob Latta,2025-03-29,2000.00
NATIONAL ASSOCIATION OF CONVENIENCE STORES,National Association of Convenience Stores PAC,Rep. Bob Latta (R),2025-06-05,2500.00
"SWISHER INTERNATIONAL, INC., F/K/A SI GROUP CLIENT SERVICES",,Congressman Bob Latta,2025-06-18,1000.00
THE COUNCIL OF INSURANCE AGENTS AND BROKERS,Council Of Insurance Agents & Brokers PAC,Latta for Congress,2025-06-18,2500.00
NETJETS INC.,NetJets Inc PAC,Bob Latta,2025-03-31,1000.00
CAPITOL COUNSEL LLC,,Rep. Bob Latta (R-OH-05),2025-06-23,500.00
AICPA ASSOCIATION OF INTERNATIONAL CERTIFIED PROFESSIONAL ACCOUNTANTS,American Institute of Certified Public Accountants Political Action Committee,Mr. Robert Latta,2025-05-27,2500.00
AICPA ASSOCIATION OF INTERNATIONAL CERTIFIED PROFESSIONAL ACCOUNTANTS,American Institute of Certified Public Accountants Political Action Committee,Rep. Bob Latta,2025-06-24,5000.00
AICPA ASSOCIATION OF INTERNATIONAL CERTIFIED PROFESSIONAL ACCOUNTANTS,American Institute of Certified Public Accountants Political Action Committee,Mr. Robert Latta,2025-03-25,2500.00
EATON CORPORATION,National Electrical Manufacturers Association PAC (NEMAPAC),Rep. Robert Latta,2025-03-17,1000.00
AMERICAN FINANCIAL SERVICES ASSOCIATION,American Financial Services Association PAC,Bob Latta,2025-06-04,1000.00
"AT&T SERVICES, INC. AND ITS AFFILIATES",AT&T Inc. Federal Political Action Committee; AT&T Inc. Ohio Employee Federal Political Action Committee,"Latta, Bob",2025-03-24,3000.00
ALSTON & BIRD LLP,Alston & Bird PAC,Congressman Bob Latta,2025-06-16,1000.00
"ENTERGY SERVICES, LLC",Entergy Corporation PAC (ENPAC),Rep. Bob Latta,2025-03-28,2500.00
NATIONWIDE MUTUAL INSURANCE COMPANY,Nationwide Mutual Insurance Company Financial & Investments Political Action Committee,Rep. Bob Latta,2025-04-22,1000.00
"EXELON BUSINESS SERVICES, LLC",EXELON CORPORATION POLITICAL ACTION COMMITTEE,Rep. Bob Latta,2025-03-03,1000.00
VSP,VSP HOLDING COMPANY INC POLITICAL ACTION COMMITTEE,Rep. Bob Latta,2025-06-18,1000.00
"XCEL ENERGY, INC",XCEL ENERGY EMPLOYEE POLITICAL ACTION COMMITTEE (XPAC),Bob Latta,2025-03-21,1000.00
FIFTH THIRD BANCORP,Fifth Third Bancorp Federal Political Action Committee; Fifth Third Bancorp Political Action Committee,Bob Latta,2025-06-17,1000.00
SECOND CURVE STRATEGIES LLC,,Rep. Bob Latta,2025-05-09,2000.00
DTE ENERGY,DTE ENERGY COMPANY POLITICAL ACTION COMMITTEE,Rep Bob Latta,2025-06-16,2500.00
DTE ENERGY,DTE ENERGY COMPANY POLITICAL ACTION COMMITTEE,Rep Bob Latta,2025-05-20,1000.00
AMERICAN GAS ASSOCIATION,American Gas Association Political Action Committee,Rep. Bob Latta (R),2025-03-22,2500.00
AMERICAN OPTOMETRIC ASSOCIATION,AOA-PAC,Congressman Bob Latta,2025-06-03,5000.00
UPS (UNITED PARCEL SERVICE),"United Parcel Service, Inc. PAC (UPSPAC)",Rep. Bob Latta,2025-06-23,2500.00
CTIA-THE WIRELESS ASSOCIATION,CTIA- The Wireless Association Political Action Committee,Rep. Bob Latta,2025-03-26,3000.00
NATIONAL GROCERS ASSOCIATION,National Grocers Association Grocers PAC,Bob Latta,2025-06-06,1000.00
HUNTON ANDREWS KURTH LLP,,Rep. Bob Latta,2025-05-28,1000.00
ICE MILLER STRATEGIES LLC,Ice Miller PAC,Congressman Bob Latta,2025-03-27,2000.00
ICE MILLER LLP,Ice Miller PAC,Congressman Bob Latta,2025-03-27,2000.00
EHRLICH & ASSOCIATES,,Rep. Bob Latta,2025-03-24,500.00
SIEMENS CORPORATION,Siemens Corporation PAC,"Rep. Bob Latta, Rep. Rick Allen, Rep. Steven Horsford, Rep. Adrian Smith, Rep. Bobby Scott, Rep. Laura Gillen, Sen. Katie Britt, Sen. Chris Coons, Rep. Madeleine Dean, Rep. August Pfluger",2025-05-14,20000.00
HUNTINGTON BANCSHARES INCORPORATED,Huntington BancShares Inc. Political Action Committee (HBI-PAC),Rep. Bob Latta,2025-02-13,2500.00
ALTRIA CLIENT SERVICES LLC,Altria Group Inc Political Action Committee AltriaPAC,Rep Bob Latta,2025-06-18,2500.00
DUKE ENERGY CORPORATION,DUKEPAC,"Latta, Bob",2025-03-25,1000.00
COMCAST CORPORATION,Comcast Corporation & NBCUniversal Political Action Committee - Federal,Rep. Bob Latta,2025-06-26,5000.00
BOUNDARY STONE PARTNERS,,Bob Latta,2025-05-30,1000.00
GENERAL DYNAMICS CORP,General Dynamics Corporation Political Action Committee,Rep. Bob Latta,2025-03-26,1000.00
FARM CREDIT COUNCIL,The Farm Credit Council Political Action Committee,Rep Bob Latta,2025-06-25,1000.00
