organization,pacs,honoree,date,amount_usd
NATIONAL READY MIXED CONCRETE ASSOCIATION,National Ready Mixed Concrete Assn. PAC (CONCRETEPAC),Rep. Mike Collins,2025-03-26,5000.00
NATIONAL READY MIXED CONCRETE ASSOCIATION,National Ready Mixed Concrete Assn. PAC (CONCRETEPAC),Rep. Mike Collins,2025-06-25,2500.00
LUNDBECK LLC,Lundbeck LLC Employee Political Action Committee,Susan Collins,2025-02-20,2500.00
LUNDBECK LLC,Lundbeck LLC Employee Political Action Committee,Susan Collins,2025-06-25,1000.00
"ROCKET LAB USA, INC.","Rocket Lab USA, Inc. Political Action Committee (Rocket Lab PAC)",Mike Collins,2025-05-27,1000.00
"RWE CLEAN ENERGY SERVICES, LLC","RWE Clean Energy Services, LLC PAC",Susan Collins,2025-06-18,1000.00
RED+BLUE STRATEGIES( FORMERLY KNOWN AS NATHANSON+HAUCK),,Senator Susan Collins,2025-06-19,1000.00
"GENENTECH, INC",Genentech Inc. Political Action Committee (GenenPAC),Collins Victory Committee,2025-03-05,2500.00
DIROMA ECK & CO. LLP,,Sen. Susan M. Collins,2025-03-03,1000.00
DIROMA ECK & CO. LLP,,Sen. Susan M. Collins,2025-06-18,500.00
ALZHEIMER'S ASSOCIATION,Alzheimer's Impact Movement PAC(AIM Exec Director position),Sen Susan Collins,2025-04-10,5000.00
TIBER CREEK GROUP,Republican Italian American Committee,Senator Susan M Collins,2025-05-27,3500.00
"AMERIPRISE FINANCIAL, INC.",Ameriprise Financial Political Action Committee,Senator Susan Collins,2025-03-17,1000.00
"BAE SYSTEMS, INC.",BAE Systems Inc. Political Action Committee (BAE SYSTEMS USA PAC),Sen. Susan Collins,2025-05-06,1500.00
CORNING INCORPORATED,Corning Incorporated Employees Political Action Committee (COREPAC),Sen. Susan Collins,2025-05-02,2500.00
NATIONAL MARINE MANUFACTURERS ASSOCIATION,National Marine Manufacturers Association and Marine Retailers Association Boat PAC,Rep Mike Collins,2025-06-11,1000.00
NATIONAL MARINE MANUFACTURERS ASSOCIATION,National Marine Manufacturers Association and Marine Retailers Association Boat PAC,Rep Mike Collins,2025-02-25,1000.00
NATIONAL MARINE MANUFACTURERS ASSOCIATION,National Marine Manufacturers Association and Marine Retailers Association Boat PAC,Sen Susan Collins,2025-06-11,2000.00
NATIONAL MARINE MANUFACTURERS ASSOCIATION,National Marine Manufacturers Association and Marine Retailers Association Boat PAC,Sen Susan Collins,2025-06-25,3000.00
AMERICAN COUNCIL OF LIFE INSURERS,American Council of Life Insurers PAC,"Collins, Susan",2025-03-10,2500.00
"DCI GROUP, L.L.C.",,Susan Collins,2025-06-30,3500.00
AMERICAN SPEECH-LANGUAGE-HEARING ASSOCIATION,ASHA-PAC,"Collins, Susan",2025-06-12,2500.00
S-3 GROUP,,Susan Collins,2025-02-20,500.00
TEXTRON INC.,Textron Inc. Political Action Committee,"Collins, Susan",2025-02-25,1000.00
TEXTRON INC.,Textron Inc. Political Action Committee,"Collins, Susan",2025-06-25,3000.00
"TYSON FOODS, INC",Tyson Foods Inc Political Action Committee (TYPAC),Susan Collins,2025-05-30,1000.00
JOHN HANCOCK LIFE INSURANCE COMPANY (U.S.A),John Hancock Life Insurance Company (USA) Federal PAC,Representative Susan Collins,2025-03-08,1000.00
"MEDTRONIC, INC.",Medtronic Inc. PAC,Susan Collins,2025-06-25,1000.00
"CITIGROUP WASHINGTON, INC.",Citigroup Inc. PAC - Federal (Citi PAC - Federal),"U.S. senators Joni Ernst, Todd Young, Roger Marshall, Susan Collins, Tim Sheehy, John Curtis, Jim Justice and Shelley Moore Capito.",2025-01-14,50000.00
"MOLINA HEALTHCARE, INC.",Molina PAC,Susan Collins,2025-02-20,2500.00
TIBER CREEK GROUP,,Senator Susan Collins,2025-05-14,500.00
ARGENTUM,Argentums Silver PAC,Sen Susan Collins,2025-03-21,5000.00
HARVEY RUN STRATEGIES LLC,Leadership for Enterprise and Opportunity PAC,Susan Collins,2025-02-13,1000.00
"SAMSUNG ELECTRONICS AMERICA, INC.",Collins Victory Committee,Susan Collins,2025-06-27,1000.00
PITNEY BOWES INC.,Pitney Bowes Inc. Political Action Committee,Susan Collins,2025-03-04,1000.00
"KOUNTOUPES DENHAM CARR & REID, LLC",,Senator Susan Collins,2025-03-24,250.00
"CASSIDY & ASSOCIATES, INC.",,Collins for Congress,2025-06-05,1000.00
AMERICAN BAKERS ASSOCIATION,American Bakers Association PAC,Susan Collins,2025-05-21,1500.00
AMERICAN CHEMISTRY COUNCIL,American Chemistry Council PAC,Sen. Susan Collins,2025-03-19,1000.00
"ABBVIE, INC.",AbbVie Political Action Committee,Sen. Susan Collins,2025-03-24,2500.00
NORFOLK SOUTHERN CORPORATION,Norfolk Southern Corporation Good Government Fund,Susan Collins,2025-05-06,5000.00
DLA PIPER LLP (US),DLA Piper PAC,"Joint Fundraising Committee of Collins for Senator, Dirigo PAC (Sen. Susan Collins Leadership PAC), NRSC and Pine Tree Results PAC (Super PAC)",2025-06-24,1000.00
NATIONAL AIR TRAFFIC CONTROLLERS ASSOCIATION,National Air Traffic Controllers Association PAC,Hon. Mike Collins,2025-04-07,5000.00
NATIONAL AIR TRAFFIC CONTROLLERS ASSOCIATION,National Air Traffic Controllers Association PAC,Hon. Susan Collins,2025-04-24,1000.00
NATIONAL AIR TRAFFIC CONTROLLERS ASSOCIATION,National Air Traffic Controllers Association PAC,Hon. Susan Collins,2025-06-11,1000.00
NATIONAL AIR TRAFFIC CONTROLLERS ASSOCIATION,National Air Traffic Controllers Association PAC,Hon. Susan Collins,2025-02-26,2500.00
NATIONAL AIR TRAFFIC CONTROLLERS ASSOCIATION,National Air Traffic Controllers Association PAC,Hon. Susan Collins,2025-04-07,2500.00
AMERICAN COLLEGE OF RADIOLOGY ASSOCIATION,RADPAC,SEN. SUSAN COLLINS,2025-03-27,2000.00
FORD MOTOR COMPANY,Ford Motor Company Civic Action Fund,Sen. Susan Collins,2025-05-17,2500.00
INVARIANT LLC,,Senator Susan Collins,2025-06-29,500.00
SOUTHWEST AIRLINES,Southwest Airlines Co. Political Action Committee,Sen. Susan Collins (R-ME),2025-06-25,5000.00
SOUTHWEST AIRLINES,Southwest Airlines Co. Political Action Committee,Rep. Mike Collins (R-GA),2025-06-25,1000.00
SOUTHWEST AIRLINES,Southwest Airlines Co. Political Action Committee,"Sen. Susan Collins (R-ME), Co-Chair",2025-03-28,5000.00
HONEYWELL INTERNATIONAL,Honeywell International Political Action Committee,Susan Collins,2025-06-18,2500.00
WINNING STRATEGIES WASHINGTON,,Senator Susan Collins,2025-03-03,1000.00
NATIONAL ASSOCIATION OF INSURANCE AND FINANCIAL ADVISORS,NAIFAPAC,"Collins, Susan",2025-03-25,1000.00
NATIONAL CORN GROWERS ASSN,National Corn Growers Association PAC (CornPAC),Sen. Susan Collins,2025-05-07,1000.00
AMERICAN ACADEMY OF NEUROLOGY,American Academy of Neurology BrainPAC,Collins Victory Committee,2025-03-28,2500.00
ASSOCIATION OF AMERICAN RAILROADS,RAILPAC,Sen. Susan Collins,2025-05-27,1000.00
BNSF RAILWAY COMPANY,BNSF Railway Company RAILPAC (BNSF RAILPAC),Susan Collins,2025-02-05,5000.00
BNSF RAILWAY COMPANY,BNSF Railway Company RAILPAC (BNSF RAILPAC),Michael Collins,2025-03-26,2000.00
AMERICAN MARITIME OFFICERS,American Maritime Officers Retirees Association; American Maritime Officers Voluntary Political Action Fund; District 2A TTWISEU Voluntary Political Action Fund,Rep. Michael Collins,2025-01-16,1000.00
AMERICAN MARITIME OFFICERS,American Maritime Officers Retirees Association; American Maritime Officers Voluntary Political Action Fund; District 2A TTWISEU Voluntary Political Action Fund,Rep. Michael Collins,2025-06-02,1000.00
AMERICAN MARITIME OFFICERS,American Maritime Officers Retirees Association; American Maritime Officers Voluntary Political Action Fund; District 2A TTWISEU Voluntary Political Action Fund,Sen. Susan Collins,2025-06-26,2000.00
INTERNATIONAL FRANCHISE ASSOCIATION,International Franchise Association Franchising Political Action Committee Inc,Susan Collins,2025-06-26,1000.00
MCKESSON CORPORATION & AFFILIATES U.S. ONCOLOGY AND RX SAVINGS SOLUTIONS (FORMERLY MCKESSON CORP),McKesson Corporation Employees Political Fund; US Oncology Inc. Network Political Action Committee,Sen. Susan Collins,2025-06-12,5000.00
S-3 GROUP,,Susan Collins,2025-03-27,1000.00
"MEHLMAN CONSULTING, INC.",,SENATOR SUSAN COLLINS,2025-06-02,2000.00
AMERICAN HEALTH CARE ASSOCIATION,American Health Care Association PAC,"Collins, Susan",2025-04-03,5000.00
340B HEALTH,340B HEALTH POLITICAL ACTION COMMITTEE (340B HEALTH PAC),SEN. SUSAN COLLINS,2025-03-03,1000.00
AMERICAN BANKERS ASSOCIATION,American Bankers Association PAC BANKPAC,Sen Susan Collins,2025-06-11,2500.00
AMERICAN BANKERS ASSOCIATION,American Bankers Association PAC BANKPAC,Sen Susan Collins,2025-02-14,2500.00
"BROWNSTEIN HYATT FARBER SCHRECK, LLP",BHFS-E PC PAC (Brownstein Hyatt Farber Schreck PAC),Sen. Susan Collins,2025-06-12,1500.00
TIBER CREEK GROUP,,Sen. Susan Collins,2025-05-27,1000.00
RELATIVITY SPACE,Relativity Space Political Action Committee (Relativity PAC),Sen. Susan Collins,2025-04-23,1000.00
FIERCE GOVERNMENT RELATIONS,,Honorable Susan Collins,2025-03-31,3500.00
DIAGEO NORTH AMERICA,Diageo North America Inc. Employees Political Participation Committee,Susan Collins,2025-06-04,1000.00
HERMEUS CORP.,Hermeus Corp; Hermeus Corp,Mike Collins for Congress,2025-02-11,1000.00
HERMEUS CORP.,Hermeus Corp; Hermeus Corp,Mike Collins for Congress,2025-06-06,1000.00
ENERGY MARKETERS OF AMERICA,ENERGY MARKETERS OF AMERICA SMALL BUSINESS COMMITTEE PAC (EMA SBC PAC); Energy Marketers of America SBC PAC,Sen. Susan M. Collins,2025-02-14,2500.00
ENERGY MARKETERS OF AMERICA,ENERGY MARKETERS OF AMERICA SMALL BUSINESS COMMITTEE PAC (EMA SBC PAC); Energy Marketers of America SBC PAC,Sen. Susan M. Collins,2025-05-29,1500.00
ENERGY MARKETERS OF AMERICA,ENERGY MARKETERS OF AMERICA SMALL BUSINESS COMMITTEE PAC (EMA SBC PAC); Energy Marketers of America SBC PAC,Sen. Susan M. Collins,2025-05-29,3500.00
TIBER CREEK GROUP,,Senator Collins,2025-05-17,1000.00
AECOM,AECOM PAC,Susan Collins,2025-01-15,1500.00
AECOM,AECOM PAC,Michael Collins,2025-06-12,1000.00
"AMERICAN CABLE ASSOCIATION, INC. DBA ACACONNECTS",American Cable Association Inc PAC (ACA PAC),Susan Collins,2025-01-13,5000.00
