organization,pacs,honoree,date,amount_usd
CHEVRON U.S.A. INC.,Chevron Employees Political Action Committee - Chevron Corporation,"Sen. Chuck Grassley, Sen. Mike Crapo, Rep. Ted Lieu and Rep. Jay Obernolte",2025-04-01,5000.00
CTIA-THE WIRELESS ASSOCIATION,CTIA- The Wireless Association Political Action Committee,Rep. Jay Obernolte,2025-06-18,1000.00
SQUIRE PATTON BOGGS,,Congressman Jay Obernolte,2025-04-07,500.00
AMERICAN CEMENT ASSOCIATION (FORMERLY PORTLAND CEMENT ASSOCIATION),American Cement Association (CEMENT PAC),The Honorable Jay Obernolte,2025-04-08,2500.00
"EDWARDS LIFESCIENCES, LLC",EDWARDS LIFESCIENCES POLITICAL ACTION COMMITTEE aka EDWARDS PAC,Rep Jay Obernolte,2025-03-19,2000.00
AUTO CARE ASSOCIATION,Auto Care Association PAC,Rep. Jay Obernolte,2025-02-12,2500.00
UNIVERSAL MUSIC GROUP,Universal Music Group Employee Action Fund,Jay Obernolte,2025-03-26,1000.00
LOCKHEED MARTIN CORPORATION,Lockheed Martin Employees' Political Action Committee,"Obernolte, Jay",2025-05-14,1000.00
"HUMANA, INC.",Humana Inc. Political Action Committee,Rep. Jay Obernolte,2025-03-17,2500.00
BUSINESS SOFTWARE ALLIANCE,BSA PAC,Rep. Jay Obernolte,2025-06-18,1000.00
AMERICAN COLLEGE OF OBSTETRICIANS AND GYNECOLOGISTS,American College of Ob-Gyns PAC (Ob-GynPAC),Jay Obernolte,2025-05-30,1000.00
GENERAL ATOMICS,General Atomics Political Action Committee,Jay Obernolte,2025-03-21,2500.00
SIEMENS CORPORATION,Siemens Corporation PAC,Rep Jay Obernolte,2025-04-21,1000.00
SIEMENS CORPORATION,Siemens Corporation PAC,"Sen. Todd Young, Rep. Jay Obernolte, Rep. Ted Lieu",2025-06-03,1000.00
COMCAST CORPORATION,Comcast Corporation & NBCUniversal Political Action Committee - Federal,Rep. Jay Obernolte,2025-05-07,5000.00
CONSUMER TECHNOLOGY ASSOCIATION,Consumer Technology Association PAC,Rep. Jay Obernolte,2025-06-30,2500.00
GENERAL DYNAMICS CORP,General Dynamics Corporation Political Action Committee,Rep. Jay Obernolte,2025-02-07,1000.00
SPECIALTY EQUIPMENT MARKET ASSOCIATION,SEMA & PRI PAC,REP. JAY OBERNOLTE,2025-06-25,1000.00
"CISCO SYSTEMS, INC","Cisco Systems Inc. Federal PAC, AKA Cisco Systems ePAC",Rep. Jay Obernolte,2025-06-19,1000.00
FARM CREDIT COUNCIL,The Farm Credit Council Political Action Committee,Rep Jay Obernolte,2025-05-21,1000.00
"L3HARRIS TECHNOLOGIES, INC.","L3Harris Technologies, Inc. PAC",Rep. Jay Obernolte,2025-06-30,2500.00
"JOHNSON & JOHNSON SERVICES, INC.",Johnson & Johnson Political Action Committee,Rep. Jay Obernolte,2025-03-20,2500.00
GOOGLE CLIENT SERVICES LLC,Google LLC NetPAC,Rep. Jay Obernolte,2025-06-06,5000.00
"JEFFREY J. KIMBELL & ASSOCIATES, INC.",SCI PAC,Jay Obernolte,2025-05-30,1500.00
"ELEVANCE HEALTH, INC.","Elevance Health, Inc. Political Action Committee (Elevance Health PAC)",Rep. Jay Obernolte,2025-03-06,2500.00
"ELEVANCE HEALTH, INC.","Elevance Health, Inc. Political Action Committee (Elevance Health PAC)",Rep. Jay Obernolte,2025-01-23,1000.00
"AMGEN, INC.",Amgen PAC,"Obernolte, Jay",2025-06-23,1000.00
NCTA - THE INTERNET & TELEVISION ASSOCIATION,NCTA - The Internet & Television Association Political Action Committee (NCTAPAC),Rep. Jay Obernolte (CA-23),2025-06-04,2500.00
NATIONAL ASSOCIATION OF BROADCASTERS,National Association of Broadcasters Political Action Committee NABPAC,Rep Jay Obernolte,2025-06-18,5000.00
APPLE INC.,,Rep. Jay Obernolte,2025-02-15,1000.00
FORBES-TATE,,Campaign to re-elect Rep. Jay Obernolte,2025-03-10,500.00
AMERICANS FOR RESPONSIBLE INNOVATION,Americans for Responsible Innovation Ltd. Political Action Committee (ARI PAC),Jay Obernolte for Congress,2025-06-23,3500.00
STANTON PARK GROUP,,Rep. Jay Obernolte,2025-04-09,1000.00
MONUMENT ADVOCACY,,Rep. Jay Obernolte (R-CA),2025-06-30,500.00
"ACCENTURE, LLP",,Jay Obernolte for Congress,2025-06-25,1000.00
"META PLATFORMS, INC. AND VARIOUS SUBSIDIARIES","Meta Platforms, Inc. PAC",Rep. Jay Obernolte,2025-06-26,1000.00
"INNOVATIVE FEDERAL STRATEGIES, LLC",,Rep. Jay Obernolte,2025-02-13,1000.00
"KOUNTOUPES DENHAM CARR & REID, LLC",,Jay Obernolte,2025-03-19,1000.00
"ASSOCIATED BUILDERS AND CONTRACTORS, INC.",,Rep. Jay Obernolte,2025-06-20,2500.00
MONUMENT ADVOCACY,,Jay Obernolte,2025-06-27,1000.00
AMAZON.COM SERVICES LLC,Amazon.com Services LLC Separate Segregated Fund (Amazon PAC),Rep. Jay Obernolte,2025-06-04,1000.00
VISA INC.,Visa Inc Political Action Committee,Rep Jay Obernolte,2025-04-29,1000.00
BOOZ ALLEN HAMILTON INC.,Booz Allen Hamilton Inc PAC Booz Allen PAC,Rep Jay Obernolte,2025-03-24,1000.00
"INTUIT, INC. AND AFFILIATES (FORMERLY INTUIT, INC.)",Intuit Inc. 21st Century Leadership Fund,Rep. Jay Obernolte,2025-04-23,2500.00
"LIVE NATION ENTERTAINMENT, INC.","Live Nation Entertainment, Inc., Political Action Committee",Rep. Jay Obernolte,2025-04-18,1000.00
"CHARTER COMMUNICATIONS, INC.",Charter Communications Inc. Political Action Committee,Rep. Jay Obernolte,2025-06-20,5000.00
EXXON MOBIL CORP,EXXON MOBIL CORPORATION POLITICAL ACTION COMMITTEE (EXXONMOBIL PAC),Rep. Jay Obernolte,2025-02-10,2000.00
EXXON MOBIL CORP,EXXON MOBIL CORPORATION POLITICAL ACTION COMMITTEE (EXXONMOBIL PAC),"Sen. Mike Crapo, Sen. Chuck Grassley, Rep. Jay Obernolte and Rep. Ted Lieu",2025-02-19,5000.00
NATIONAL APARTMENT ASSOCIATION,NATIONAL APARTMENT ASSOCIATION POLITICAL ACTION COMMITTEE,Rep. Jay Obernolte,2025-03-20,1000.00
STANTON PARK GROUP,,Representative Jay Obernolte,2025-06-30,250.00
NATIONAL ASSOCIATION OF MUTUAL INSURANCE COMPANIES,National Association of Mutual Insurance Companies PAC,Rep Jay Obernolte,2025-03-24,1000.00
FLUOR CORPORATION,Fluor Corporation Political Action Committee (Fluor PAC),Jay Obernolte for Congress,2025-06-20,1000.00
ARNOLD & PORTER KAYE SCHOLER LLP,Arnold & Porter Kaye Scholer LLP Partners PAC,Rep. Jay Obernolte,2025-03-20,1000.00
SPACE EXPLORATION TECHNOLOGIES,Space Exploration Technologies Corp PAC,Rep Jay Obernolte,2025-03-28,5000.00
STUMPTOWN STRATEGIES,,Rep. Jay Obernolte,2025-03-10,1000.00
PBF HOLDING COMPANY LLC,,Rep. Jay Obernolte (CA-23),2025-05-21,1000.00
"NATIONAL STONE, SAND AND GRAVEL ASSOCIATION","National Stone, Sand & Gravel Association ROCKPAC",Rep. Jay Obernolte,2025-06-25,2500.00
GENERAL ATOMICS,Defend the dream,Jay obernolte,2025-03-10,500.00
"TWINLOGIC STRATEGIES, LLP",,Rep. Jay Obernolte (R-CA),2025-06-23,500.00
"C6 STRATEGIES, LLC (FKA MS. DANA W. HUDSON)",Juntos PAC; Team Ronny,Jay Obernolte,2025-02-06,500.00
FORBES-TATE,,Jay Obernolte,2025-03-10,500.00
"T-MOBILE USA, INC.",T-MOBILE US INC. POLITICAL ACTION COMMITTEE (T-PAC),Jay Obernolte,2025-04-14,4500.00
"T-MOBILE USA, INC.",T-MOBILE US INC. POLITICAL ACTION COMMITTEE (T-PAC),Jay Obernolte,2025-04-14,500.00
RETAIL INDUSTRY LEADERS ASSOCIATION,Retail Leaders PAC,Jay Obernolte,2025-06-11,1000.00
"THE GEO GROUP, INC.","THE GEO GROUP, INC. POLITICAL ACTION COMMITTEE",Hon. Jay Obernolte,2025-06-26,1000.00
AMERICAN FUEL & PETROCHEMICAL MANUFACTURERS,American Fuels & Petrochemical Manufacturers Association PAC; American Fuels & Petrochemical Manufacturers Association PAC,Jay Obernolte,2025-06-23,1000.00
AMERICAN FUEL & PETROCHEMICAL MANUFACTURERS,American Fuels & Petrochemical Manufacturers Association PAC,Jay Obernolte,2025-06-23,1000.00
SALT POINT STRATEGIES,,U.S. Representative Jay Obernolte,2025-02-04,1000.00
FORBES-TATE,,JAY OBERNOLTE,2025-03-10,500.00
"GOODLATTE GROUP, LLC F.K.A. ROBERT GOODLATTE",The Good Fund,Rep. Jay Obernolte,2025-04-10,500.00
BURTON STRATEGY GROUP,,Congressman Jay Obernolte,2025-03-21,500.00
"MOTOROLA SOLUTIONS, INC","Motorola Solutions, Inc. Political Action Committee",Rep. Jay Obernolte,2025-03-20,1000.00
"NATIONAL BUSINESS AVIATION ASSOCIATION, INC.",NBAA PAC,Jay Obernolte,2025-06-17,1000.00
BLUE SHIELD OF CALIFORNIA,Blue Shield of California PAC (Shield PAC),Rep. Jay Obernolte,2025-01-24,5000.00
THE MADISON GROUP,,Jay Obernolte for Congress,2025-03-05,500.00
UNION PACIFIC CORPORATION,Union Pacific Corp. Fund for Effective Government,Jay Obernolte,2025-04-14,1000.00
UNION PACIFIC CORPORATION,Union Pacific Corp. Fund for Effective Government,Jay Obernolte,2025-06-23,1000.00
ALLIED PILOTS ASSOCIATION,ALLIED PILOTS ASSOCIATION POLITICAL ACTION COMMITTEE,Rep Jay Obernolte,2025-06-24,1000.00
"HIGHMARK, INC.",Highmark PAC of Highmark Inc.,Representative Jay Obernolte,2025-01-30,1000.00
"ARRAY DIGITAL INFRASTRUCTURE, INC. (FKA U.S. CELLULAR CORP)",United States Cellular Corporation Political Action Committee,Jay Obernolte,2025-02-27,5000.00
NOVARTIS,Novartis Corporation Political Action Committee,Jay Obernolte,2025-03-11,500.00
SQUIRE PATTON BOGGS,Squire Patton Boggs Political Action Committee,Jay Obernolte,2025-01-09,1000.00
RELX INC.,RELX Inc. Political Action Committee,Rep. Jay Obernolte,2025-04-22,1000.00
BRISTOL-MYERS SQUIBB COMPANY,BRISTOL-MYERS SQUIBB COMPANY POLITICAL ACTION COMMITTEE,Rep. Jay Obernolte,2025-03-11,1000.00
