county,precinct,office,district,party,candidate,election_day_votes,advanced_votes,absentee_by_mail_votes,provisional_votes
Brooks,not available,President,,Republican,Ryan L. Binkley,0,0,0,0
Brooks,not available,President,,Republican,Tim Scott,0,1,0,0
Brooks,not available,President,,Republican,Vivek Ramaswamy,0,0,0,0
Bryan,not available,President,,Democrat,Dean Phillips,7,11,1,0
Bryan,not available,President,,Democrat,"Joseph R. Biden, Jr.",211,272,28,0
Bryan,not available,President,,Democrat,Marianne Williamson,12,8,1,0
Bryan,not available,President,,Republican,Asa Hutchinson,0,0,0,0
Bryan,not available,President,,Republican,Chris Christie,3,1,1,0
Bryan,not available,President,,Republican,David Stuckenberg,0,0,0,0
Bryan,not available,President,,Republican,Donald J. Trump,1029,1333,36,1
Bryan,not available,President,,Republican,Doug Burgum,0,0,0,0
Bryan,not available,President,,Republican,Nikki Haley,64,364,28,1
Bryan,not available,President,,Republican,Perry Johnson,0,1,0,0
Bryan,not available,President,,Republican,Ron DeSantis,13,11,0,0
Bryan,not available,President,,Republican,Ryan L. Binkley,0,0,0,0
Bryan,not available,President,,Republican,Tim Scott,3,1,0,0
Bryan,not available,President,,Republican,Vivek Ramaswamy,3,3,0,0
Bulloch,not available,President,,Democrat,Dean Phillips,8,6,0,0
Bulloch,not available,President,,Democrat,"Joseph R. Biden, Jr.",392,398,69,0
Bulloch,not available,President,,Democrat,Marianne Williamson,20,11,1,0
Bulloch,not available,President,,Republican,Asa Hutchinson,4,1,0,0
Bulloch,not available,President,,Republican,Chris Christie,9,0,2,0
Bulloch,not available,President,,Republican,David Stuckenberg,1,0,0,0
Bulloch,not available,President,,Republican,Donald J. Trump,2104,1160,58,3
Bulloch,not available,President,,Republican,Doug Burgum,0,0,0,0
Bulloch,not available,President,,Republican,Nikki Haley,126,344,34,0
Bulloch,not available,President,,Republican,Perry Johnson,0,0,0,0
Bulloch,not available,President,,Republican,Ron DeSantis,31,12,0,0
Bulloch,not available,President,,Republican,Ryan L. Binkley,1,1,0,0
Bulloch,not available,President,,Republican,Tim Scott,4,2,0,0
Bulloch,not available,President,,Republican,Vivek Ramaswamy,3,3,0,0
Burke,not available,President,,Democrat,Dean Phillips,7,4,1,0
Burke,not available,President,,Democrat,"Joseph R. Biden, Jr.",366,233,70,0
Burke,not available,President,,Democrat,Marianne Williamson,7,5,1,0
Burke,not available,President,,Republican,Asa Hutchinson,0,0,0,0
Burke,not available,President,,Republican,Chris Christie,0,0,0,0
Burke,not available,President,,Republican,David Stuckenberg,1,0,0,0
Burke,not available,President,,Republican,Donald J. Trump,774,360,27,0
Burke,not available,President,,Republican,Doug Burgum,0,0,0,0
Burke,not available,President,,Republican,Nikki Haley,33,65,3,0
Burke,not available,President,,Republican,Perry Johnson,0,0,0,0
Burke,not available,President,,Republican,Ron DeSantis,3,4,1,0
Burke,not available,President,,Republican,Ryan L. Binkley,0,1,0,0
Burke,not available,President,,Republican,Tim Scott,1,0,0,0
Burke,not available,President,,Republican,Vivek Ramaswamy,0,1,1,0
Butts,not available,President,,Democrat,Dean Phillips,2,14,0,0
Butts,not available,President,,Democrat,"Joseph R. Biden, Jr.",145,309,5,0
Butts,not available,President,,Democrat,Marianne Williamson,2,20,0,0
Butts,not available,President,,Republican,Asa Hutchinson,0,0,0,0
