county,precinct,office,district,party,candidate,votes
Carson City,103,U.S. Senate,,IAP,"RUBINSON, BARRY",6
Carson City,103,U.S. Senate,,LIB,"Scott, Neil",8
Carson City,103,State Senate,16,DEM,"Sims, Aaron",436
Carson City,103,Governor,,DEM,"SISOLAK, Steve",452
Carson City,103,State Controller,,DEM,"Spiegel, Ellen",448
Carson City,103,"School Trustee, District 1",,,"Stinson, Jason",382
Carson City,103,Lieutenant Governor,,LIB,"Tachiquin, Javi ""Trujillo""",8
Carson City,103,State Assembly,40,LIB,"Toll, Sam",24
Carson City,103,"School Trustee, District 6",,,"Walt, Molly",545
Carson City,103,"Board of Supervisors, Ward 3",,,"Wells, James R.",333
Carson City,103,"Court of Appeals Judge, Department 1",,,"Westbrook, Deborah",491
Carson City,103,Clerk-Recorder,,,"Wilke-McCulloch, Stacie",500
Carson City,105,Secretary of State,,DEM,"Aguilar, Francisco ""Cisco""",406
Carson City,105,U.S. House,2,REP,"Amodei, Mark E.",598
Carson City,105,Lieutenant Governor,,REP,"Anthony, Stavros",546
Carson City,105,U.S. House,2,LIB,"Baber, Darryl",0
Carson City,105,"Supreme Court Justice, Seat A",,,"Bell, Linda",672
Carson City,105,U.S. House,2,IAP,"Best, Russell",5
Carson City,105,"Board of Supervisors, Ward 1",,,"Bradshaw, Wade",351
Carson City,105,Governor,,IAP,"Bridges, Ed",5
Carson City,105,"Court of Appeals Judge, Department 3",,,"Bulla, Bonnie",649
Carson City,105,Lieutenant Governor,,DEM,"Cano Burkhead, Elizabeth ""Lisa""",361
Carson City,105,Attorney General,,REP,"Chattah, Sigal",442
Carson City,105,"School Trustee, District 6",,,"Cobb-Adams, Shanna",339
Carson City,105,State Treasurer,,DEM,"Conine, Zach",407
Carson City,105,U.S. Senate,,DEM,"Cortez Masto, Catherine",404
Carson City,105,Secretary of State,,LIB,"Crane, Ross",2
Carson City,105,Governor,,LIB,"Davis, Brandon",6
Carson City,105,Lieutenant Governor,,NPP,"Delap, John ""Trey""",4
Carson City,105,State Treasurer,,LIB,"Elliott, Bryan",13
Carson City,105,State Treasurer,,REP,"Fiore, Michele",481
Carson City,105,Attorney General,,DEM,"Ford, Aaron D.",431
Carson City,105,"Court of Appeals Judge, Department 1",,,"Forsberg, Rhonda K.",190
Carson City,105,"Court of Appeals Judge, Department 2",,,"Gibbons, Michael",700
Carson City,105,"Board of Supervisors, Ward 1",,,"Giomi, Stacey",517
Carson City,105,Secretary of State,,IAP,"Hansen, Janine",18
Carson City,105,State Treasurer,,IAP,"Hendrickson, Margaret",12
Carson City,105,Clerk-Recorder,,,"Hoen, William ""Scott""",455
Carson City,105,Lieutenant Governor,,IAP,"Hoge, William",3
Carson City,105,"Board of Supervisors, Ward 3",,,"Horton, Curtis",537
Carson City,105,State Senate,16,REP,"Krasner, Lisa",575
Carson City,105,U.S. House,2,DEM,"Krause, Elizabeth Mercedes",333
Carson City,105,U.S. Senate,,REP,"Laxalt, Adam Paul",523
Carson City,105,U.S. Senate,,NPP,"Lindemann, Barry",4
Carson City,105,Governor,,REP,"Lombardo, Joe",546
Carson City,105,Secretary of State,,REP,"Marchant, Jim",487
Carson City,105,State Controller,,REP,"Matthews, Andy",554
Carson City,105,State Assembly,40,DEM,"McDaniel, Shannon C.",331
Carson City,105,Attorney General,,,None Of These Candidates,33
Carson City,105,"Court of Appeals Judge, Department 1",,,None Of These Candidates,172
Carson City,105,"Supreme Court Justice, Seat A",,,None Of These Candidates,155
Carson City,105,"Supreme Court Justice, Seat E",,,None Of These Candidates,132
Carson City,105,State Controller,,,None Of These Candidates,17
Carson City,105,State Treasurer,,,None Of These Candidates,21
Carson City,105,Secretary of State,,,None Of These Candidates,18
Carson City,105,Lieutenant Governor,,,None Of These Candidates,16
Carson City,105,"Court of Appeals Judge, Department 2",,,None Of These Candidates,127
Carson City,105,"Court of Appeals Judge, Department 3",,,None Of These Candidates,168
Carson City,105,Governor,,,None Of These Candidates,2
Carson City,105,U.S. Senate,,,None Of These Candidates,6
Carson City,105,State Assembly,40,REP,"O'Neill, Philip ""PK""",574
Carson City,105,"Supreme Court Justice, Seat E",,,"Parraguirre, Ron D.",698
Carson City,105,State Controller,,LIB,"Profeta, Jed W.",7
Carson City,105,"School Trustee, District 1",,,"Ramirez, Maria ""Lupe""",467
Carson City,105,U.S. Senate,,IAP,"RUBINSON, BARRY",0
Carson City,105,U.S. Senate,,LIB,"Scott, Neil",4
Carson City,105,State Senate,16,DEM,"Sims, Aaron",341
Carson City,105,Governor,,DEM,"SISOLAK, Steve",381
Carson City,105,State Controller,,DEM,"Spiegel, Ellen",354
Carson City,105,"School Trustee, District 1",,,"Stinson, Jason",386
Carson City,105,Lieutenant Governor,,LIB,"Tachiquin, Javi ""Trujillo""",5
Carson City,105,State Assembly,40,LIB,"Toll, Sam",19
Carson City,105,"School Trustee, District 6",,,"Walt, Molly",496
Carson City,105,"Board of Supervisors, Ward 3",,,"Wells, James R.",287
Carson City,105,"Court of Appeals Judge, Department 1",,,"Westbrook, Deborah",472
Carson City,105,Clerk-Recorder,,,"Wilke-McCulloch, Stacie",410
Carson City,107,Secretary of State,,DEM,"Aguilar, Francisco ""Cisco""",519
Carson City,107,U.S. House,2,REP,"Amodei, Mark E.",762
Carson City,107,Lieutenant Governor,,REP,"Anthony, Stavros",670
Carson City,107,U.S. House,2,LIB,"Baber, Darryl",8
Carson City,107,"Supreme Court Justice, Seat A",,,"Bell, Linda",807
Carson City,107,U.S. House,2,IAP,"Best, Russell",11
Carson City,107,"Board of Supervisors, Ward 1",,,"Bradshaw, Wade",479
Carson City,107,Governor,,IAP,"Bridges, Ed",8
Carson City,107,"Court of Appeals Judge, Department 3",,,"Bulla, Bonnie",751
Carson City,107,Lieutenant Governor,,DEM,"Cano Burkhead, Elizabeth ""Lisa""",442
Carson City,107,Attorney General,,REP,"Chattah, Sigal",539
Carson City,107,"School Trustee, District 6",,,"Cobb-Adams, Shanna",414
Carson City,107,State Treasurer,,DEM,"Conine, Zach",515
Carson City,107,U.S. Senate,,DEM,"Cortez Masto, Catherine",482
Carson City,107,Secretary of State,,LIB,"Crane, Ross",9
Carson City,107,Governor,,LIB,"Davis, Brandon",16
Carson City,107,Lieutenant Governor,,NPP,"Delap, John ""Trey""",10
Carson City,107,State Treasurer,,LIB,"Elliott, Bryan",20
Carson City,107,State Treasurer,,REP,"Fiore, Michele",583
Carson City,107,Attorney General,,DEM,"Ford, Aaron D.",542
Carson City,107,"Court of Appeals Judge, Department 1",,,"Forsberg, Rhonda K.",292
Carson City,107,"Court of Appeals Judge, Department 2",,,"Gibbons, Michael",817
Carson City,107,"Board of Supervisors, Ward 1",,,"Giomi, Stacey",586
Carson City,107,Secretary of State,,IAP,"Hansen, Janine",15
Carson City,107,State Treasurer,,IAP,"Hendrickson, Margaret",18
Carson City,107,Clerk-Recorder,,,"Hoen, William ""Scott""",551
Carson City,107,Lieutenant Governor,,IAP,"Hoge, William",11
Carson City,107,"Board of Supervisors, Ward 3",,,"Horton, Curtis",601
Carson City,107,State Senate,16,REP,"Krasner, Lisa",728
Carson City,107,U.S. House,2,DEM,"Krause, Elizabeth Mercedes",382
Carson City,107,U.S. Senate,,REP,"Laxalt, Adam Paul",656
Carson City,107,U.S. Senate,,NPP,"Lindemann, Barry",3
Carson City,107,Governor,,REP,"Lombardo, Joe",663
Carson City,107,Secretary of State,,REP,"Marchant, Jim",600
Carson City,107,State Controller,,REP,"Matthews, Andy",679
Carson City,107,State Assembly,40,DEM,"McDaniel, Shannon C.",411
Carson City,107,"Court of Appeals Judge, Department 1",,,None Of These Candidates,239
Carson City,107,"Supreme Court Justice, Seat A",,,None Of These Candidates,241
Carson City,107,"Supreme Court Justice, Seat E",,,None Of These Candidates,201
Carson City,107,"Court of Appeals Judge, Department 2",,,None Of These Candidates,230
Carson City,107,"Court of Appeals Judge, Department 3",,,None Of These Candidates,281
Carson City,107,State Controller,,,None Of These Candidates,22
Carson City,107,State Treasurer,,,None Of These Candidates,27
Carson City,107,Attorney General,,,None Of These Candidates,44
Carson City,107,Governor,,,None Of These Candidates,20
Carson City,107,Lieutenant Governor,,,None Of These Candidates,20
Carson City,107,Secretary of State,,,None Of These Candidates,21
Carson City,107,U.S. Senate,,,None Of These Candidates,19
Carson City,107,State Assembly,40,REP,"O'Neill, Philip ""PK""",723
Carson City,107,"Supreme Court Justice, Seat E",,,"Parraguirre, Ron D.",853
Carson City,107,State Controller,,LIB,"Profeta, Jed W.",13
Carson City,107,"School Trustee, District 1",,,"Ramirez, Maria ""Lupe""",578
Carson City,107,U.S. Senate,,IAP,"RUBINSON, BARRY",7
Carson City,107,U.S. Senate,,LIB,"Scott, Neil",5
Carson City,107,State Senate,16,DEM,"Sims, Aaron",418
Carson City,107,Governor,,DEM,"SISOLAK, Steve",462
Carson City,107,State Controller,,DEM,"Spiegel, Ellen",446
Carson City,107,"School Trustee, District 1",,,"Stinson, Jason",494
Carson City,107,Lieutenant Governor,,LIB,"Tachiquin, Javi ""Trujillo""",11
Carson City,107,State Assembly,40,LIB,"Toll, Sam",25
Carson City,107,"School Trustee, District 6",,,"Walt, Molly",618
Carson City,107,"Board of Supervisors, Ward 3",,,"Wells, James R.",435
Carson City,107,"Court of Appeals Judge, Department 1",,,"Westbrook, Deborah",519
Carson City,107,Clerk-Recorder,,,"Wilke-McCulloch, Stacie",504
Carson City,109,Secretary of State,,DEM,"Aguilar, Francisco ""Cisco""",581
Carson City,109,U.S. House,2,REP,"Amodei, Mark E.",797
Carson City,109,Lieutenant Governor,,REP,"Anthony, Stavros",711
Carson City,109,U.S. House,2,LIB,"Baber, Darryl",6
Carson City,109,"Supreme Court Justice, Seat A",,,"Bell, Linda",919
Carson City,109,U.S. House,2,IAP,"Best, Russell",18
Carson City,109,"Board of Supervisors, Ward 1",,,"Bradshaw, Wade",540
Carson City,109,Governor,,IAP,"Bridges, Ed",14
Carson City,109,"Court of Appeals Judge, Department 3",,,"Bulla, Bonnie",861
Carson City,109,Lieutenant Governor,,DEM,"Cano Burkhead, Elizabeth ""Lisa""",525
Carson City,109,Attorney General,,REP,"Chattah, Sigal",555
Carson City,109,"School Trustee, District 6",,,"Cobb-Adams, Shanna",466
Carson City,109,State Treasurer,,DEM,"Conine, Zach",575
Carson City,109,U.S. Senate,,DEM,"Cortez Masto, Catherine",570
Carson City,109,Secretary of State,,LIB,"Crane, Ross",7
Carson City,109,Governor,,LIB,"Davis, Brandon",15
Carson City,109,Lieutenant Governor,,NPP,"Delap, John ""Trey""",9
Carson City,109,State Treasurer,,LIB,"Elliott, Bryan",25
Carson City,109,State Treasurer,,REP,"Fiore, Michele",630
Carson City,109,Attorney General,,DEM,"Ford, Aaron D.",625
Carson City,109,"Court of Appeals Judge, Department 1",,,"Forsberg, Rhonda K.",268
Carson City,109,"Court of Appeals Judge, Department 2",,,"Gibbons, Michael",925
Carson City,109,"Board of Supervisors, Ward 1",,,"Giomi, Stacey",662
Carson City,109,Secretary of State,,IAP,"Hansen, Janine",28
Carson City,109,State Treasurer,,IAP,"Hendrickson, Margaret",24
Carson City,109,Clerk-Recorder,,,"Hoen, William ""Scott""",582
Carson City,109,Lieutenant Governor,,IAP,"Hoge, William",14
Carson City,109,"Board of Supervisors, Ward 3",,,"Horton, Curtis",713
Carson City,109,State Senate,16,REP,"Krasner, Lisa",768
Carson City,109,U.S. House,2,DEM,"Krause, Elizabeth Mercedes",469
Carson City,109,U.S. Senate,,REP,"Laxalt, Adam Paul",683
Carson City,109,U.S. Senate,,NPP,"Lindemann, Barry",13
Carson City,109,Governor,,REP,"Lombardo, Joe",706
Carson City,109,Secretary of State,,REP,"Marchant, Jim",652
Carson City,109,State Controller,,REP,"Matthews, Andy",707
Carson City,109,State Assembly,40,DEM,"McDaniel, Shannon C.",504
Carson City,109,"Supreme Court Justice, Seat A",,,None Of These Candidates,264
Carson City,109,"Supreme Court Justice, Seat E",,,None Of These Candidates,235
Carson City,109,State Controller,,,None Of These Candidates,38
Carson City,109,Attorney General,,,None Of These Candidates,59
Carson City,109,"Court of Appeals Judge, Department 2",,,None Of These Candidates,264
Carson City,109,"Court of Appeals Judge, Department 1",,,None Of These Candidates,288
Carson City,109,"Court of Appeals Judge, Department 3",,,None Of These Candidates,320
Carson City,109,State Treasurer,,,None Of These Candidates,35
Carson City,109,Lieutenant Governor,,,None Of These Candidates,21
Carson City,109,Secretary of State,,,None Of These Candidates,21
Carson City,109,U.S. Senate,,,None Of These Candidates,16
Carson City,109,Governor,,,None Of These Candidates,22
Carson City,109,State Assembly,40,REP,"O'Neill, Philip ""PK""",757
Carson City,109,"Supreme Court Justice, Seat E",,,"Parraguirre, Ron D.",945
Carson City,109,State Controller,,LIB,"Profeta, Jed W.",18
Carson City,109,"School Trustee, District 1",,,"Ramirez, Maria ""Lupe""",655
Carson City,109,U.S. Senate,,IAP,"RUBINSON, BARRY",8
Carson City,109,U.S. Senate,,LIB,"Scott, Neil",6
Carson City,109,State Senate,16,DEM,"Sims, Aaron",503
Carson City,109,Governor,,DEM,"SISOLAK, Steve",539
Carson City,109,State Controller,,DEM,"Spiegel, Ellen",527
Carson City,109,"School Trustee, District 1",,,"Stinson, Jason",558
Carson City,109,Lieutenant Governor,,LIB,"Tachiquin, Javi ""Trujillo""",7
Carson City,109,State Assembly,40,LIB,"Toll, Sam",26
Carson City,109,"School Trustee, District 6",,,"Walt, Molly",702
Carson City,109,"Board of Supervisors, Ward 3",,,"Wells, James R.",436
Carson City,109,"Court of Appeals Judge, Department 1",,,"Westbrook, Deborah",644
Carson City,109,Clerk-Recorder,,,"Wilke-McCulloch, Stacie",614
Carson City,111,Secretary of State,,DEM,"Aguilar, Francisco ""Cisco""",426
Carson City,111,U.S. House,2,REP,"Amodei, Mark E.",523
Carson City,111,Lieutenant Governor,,REP,"Anthony, Stavros",478
Carson City,111,U.S. House,2,LIB,"Baber, Darryl",12
Carson City,111,"Supreme Court Justice, Seat A",,,"Bell, Linda",629
Carson City,111,U.S. House,2,IAP,"Best, Russell",15
Carson City,111,"Board of Supervisors, Ward 1",,,"Bradshaw, Wade",412
Carson City,111,Governor,,IAP,"Bridges, Ed",20
Carson City,111,"Court of Appeals Judge, Department 3",,,"Bulla, Bonnie",595
Carson City,111,Lieutenant Governor,,DEM,"Cano Burkhead, Elizabeth ""Lisa""",387
Carson City,111,Attorney General,,REP,"Chattah, Sigal",395
Carson City,111,"School Trustee, District 6",,,"Cobb-Adams, Shanna",357
Carson City,111,State Treasurer,,DEM,"Conine, Zach",397
Carson City,111,U.S. Senate,,DEM,"Cortez Masto, Catherine",448
Carson City,111,Secretary of State,,LIB,"Crane, Ross",17
Carson City,111,Governor,,LIB,"Davis, Brandon",19
Carson City,111,Lieutenant Governor,,NPP,"Delap, John ""Trey""",13
Carson City,111,State Treasurer,,LIB,"Elliott, Bryan",22
Carson City,111,State Treasurer,,REP,"Fiore, Michele",471
Carson City,111,Attorney General,,DEM,"Ford, Aaron D.",452
Carson City,111,"Court of Appeals Judge, Department 1",,,"Forsberg, Rhonda K.",226
Carson City,111,"Court of Appeals Judge, Department 2",,,"Gibbons, Michael",626
Carson City,111,"Board of Supervisors, Ward 1",,,"Giomi, Stacey",429
Carson City,111,Secretary of State,,IAP,"Hansen, Janine",31
Carson City,111,State Treasurer,,IAP,"Hendrickson, Margaret",26
Carson City,111,Clerk-Recorder,,,"Hoen, William ""Scott""",430
Carson City,111,Lieutenant Governor,,IAP,"Hoge, William",14
Carson City,111,"Board of Supervisors, Ward 3",,,"Horton, Curtis",487
Carson City,111,State Senate,16,REP,"Krasner, Lisa",537
Carson City,111,U.S. House,2,DEM,"Krause, Elizabeth Mercedes",396
Carson City,111,U.S. Senate,,REP,"Laxalt, Adam Paul",460
Carson City,111,U.S. Senate,,NPP,"Lindemann, Barry",10
Carson City,111,Governor,,REP,"Lombardo, Joe",467
Carson City,111,Secretary of State,,REP,"Marchant, Jim",442
Carson City,111,State Controller,,REP,"Matthews, Andy",490
Carson City,111,State Assembly,40,DEM,"McDaniel, Shannon C.",397
Carson City,111,"Supreme Court Justice, Seat A",,,None Of These Candidates,252
Carson City,111,"Supreme Court Justice, Seat E",,,None Of These Candidates,248
Carson City,111,"Court of Appeals Judge, Department 2",,,None Of These Candidates,247
Carson City,111,"Court of Appeals Judge, Department 1",,,None Of These Candidates,245
Carson City,111,"Court of Appeals Judge, Department 3",,,None Of These Candidates,276
Carson City,111,State Controller,,,None Of These Candidates,32
Carson City,111,Attorney General,,,None Of These Candidates,52
Carson City,111,Secretary of State,,,None Of These Candidates,25
Carson City,111,State Treasurer,,,None Of These Candidates,27
Carson City,111,Lieutenant Governor,,,None Of These Candidates,31
Carson City,111,Governor,,,None Of These Candidates,22
Carson City,111,U.S. Senate,,,None Of These Candidates,17
Carson City,111,State Assembly,40,REP,"O'Neill, Philip ""PK""",504
Carson City,111,"Supreme Court Justice, Seat E",,,"Parraguirre, Ron D.",632
Carson City,111,State Controller,,LIB,"Profeta, Jed W.",24
Carson City,111,"School Trustee, District 1",,,"Ramirez, Maria ""Lupe""",452
Carson City,111,U.S. Senate,,IAP,"RUBINSON, BARRY",16
Carson City,111,U.S. Senate,,LIB,"Scott, Neil",3
Carson City,111,State Senate,16,DEM,"Sims, Aaron",396
Carson City,111,Governor,,DEM,"SISOLAK, Steve",422
Carson City,111,State Controller,,DEM,"Spiegel, Ellen",394
Carson City,111,"School Trustee, District 1",,,"Stinson, Jason",394
Carson City,111,Lieutenant Governor,,LIB,"Tachiquin, Javi ""Trujillo""",21
Carson City,111,State Assembly,40,LIB,"Toll, Sam",36
Carson City,111,"School Trustee, District 6",,,"Walt, Molly",468
Carson City,111,"Board of Supervisors, Ward 3",,,"Wells, James R.",342
Carson City,111,"Court of Appeals Judge, Department 1",,,"Westbrook, Deborah",403
Carson City,111,Clerk-Recorder,,,"Wilke-McCulloch, Stacie",408
Carson City,113,Secretary of State,,DEM,"Aguilar, Francisco ""Cisco""",505
Carson City,113,U.S. House,2,REP,"Amodei, Mark E.",760
Carson City,113,Lieutenant Governor,,REP,"Anthony, Stavros",710
Carson City,113,U.S. House,2,LIB,"Baber, Darryl",16
Carson City,113,"Supreme Court Justice, Seat A",,,"Bell, Linda",888
Carson City,113,U.S. House,2,IAP,"Best, Russell",18
Carson City,113,"Board of Supervisors, Ward 1",,,"Bradshaw, Wade",484
Carson City,113,Governor,,IAP,"Bridges, Ed",8
Carson City,113,"Court of Appeals Judge, Department 3",,,"Bulla, Bonnie",850
Carson City,113,Lieutenant Governor,,DEM,"Cano Burkhead, Elizabeth ""Lisa""",449
Carson City,113,Attorney General,,REP,"Chattah, Sigal",596
Carson City,113,"School Trustee, District 6",,,"Cobb-Adams, Shanna",487
Carson City,113,State Treasurer,,DEM,"Conine, Zach",486
Carson City,113,U.S. Senate,,DEM,"Cortez Masto, Catherine",491
Carson City,113,Secretary of State,,LIB,"Crane, Ross",15
Carson City,113,Governor,,LIB,"Davis, Brandon",21
Carson City,113,Lieutenant Governor,,NPP,"Delap, John ""Trey""",14
Carson City,113,State Treasurer,,LIB,"Elliott, Bryan",24
Carson City,113,State Treasurer,,REP,"Fiore, Michele",664
Carson City,113,Attorney General,,DEM,"Ford, Aaron D.",533
