county,precinct,office,district,party,candidate,votes
Clark,7515,"District Court Judge, Family Division, Department A",,,"Parlade, Maria D.",246
Clark,7515,"Supreme Court Justice, Seat E",,,"Parraguirre, Ron D.",905
Clark,7515,State Controller,,LIB,"Profeta, Jed W.",21
Clark,7515,Public Administrator,,,"Reid, Rita Page",683
Clark,7515,U.S. House,1,REP,"Robertson, Mark",602
Clark,7515,"District Court Judge, Department 11",,,"ROOHANI, ELLIE",507
Clark,7515,U.S. Senate,,IAP,"RUBINSON, BARRY",6
Clark,7515,"Justice of the Peace Las Vegas Township, Department 13",,,"Saxe, Rebecca",622
Clark,7515,"District Court Judge, Department 17",,,"Schwartz, Jennifer",487
Clark,7515,U.S. Senate,,LIB,"Scott, Neil",7
Clark,7515,Governor,,DEM,"SISOLAK, Steve",747
Clark,7515,State Controller,,DEM,"Spiegel, Ellen",724
Clark,7515,Lieutenant Governor,,LIB,"Tachiquin, Javi ""Trujillo""",24
Clark,7515,U.S. House,1,DEM,"Titus, Dina",754
Clark,7515,County Treasurer,,,"Tracy, Mitchell T.",637
Clark,7515,District Attorney,,,"Treffinger, Timothy",572
Clark,7515,"County Commissioner, District G",,,"Welsh, Jesse James",25
Clark,7515,"Court of Appeals Judge, Department 1",,,"Westbrook, Deborah",654
Clark,7515,Trustee Clark County School District G,,,"Wieman, Greg",489
Clark,7515,"Justice of the Peace Las Vegas Township, Department 7",,,"Wilson, Amy",694
Clark,7515,District Attorney,,,"Wolfson, Steve",802
Clark,7515,County Clerk,,,"Young, Bill",623
Clark,7522,Secretary of State,,DEM,"Aguilar, Francisco ""Cisco""",878
Clark,7522,"District Court Judge, Department 11",,,"Albertson, Anna",643
Clark,7522,Public Administrator,,,"Aldabbagh, Tabatha",55
Clark,7522,Lieutenant Governor,,REP,"Anthony, Stavros",403
Clark,7522,"Justice of the Peace Las Vegas Township, Department 13",,,"Baucam, Suzan",547
Clark,7522,"Supreme Court Justice, Seat A",,,"Bell, Linda",943
Clark,7522,"Justice of the Peace Las Vegas Township, Department 7",,,"Berkley, Max",469
Clark,7522,"Justice of the Peace Las Vegas Township, Department 9",,,"Bonaventure, Joseph",633
Clark,7522,"District Court Judge, Family Division, Department A",,,"Brewer, Kristine",219
Clark,7522,Governor,,IAP,"Bridges, Ed",19
Clark,7522,Public Administrator,,,"Brown, Patsy",408
Clark,7522,"Court of Appeals Judge, Department 3",,,"Bulla, Bonnie",899
Clark,7522,Lieutenant Governor,,DEM,"Cano Burkhead, Elizabeth ""Lisa""",841
Clark,7522,U.S. House,1,LIB,"Cavanaugh, Ken",45
Clark,7522,Trustee Clark County School District G,,,"Cavazos, Linda P.",771
Clark,7522,Attorney General,,REP,"Chattah, Sigal",372
Clark,7522,"Justice of the Peace Las Vegas Township, Department 9",,,"Chio, Danielle ""Pieper""",535
Clark,7522,State Treasurer,,DEM,"Conine, Zach",851
Clark,7522,State Assembly,18,DEM,"Considine, Venicia",895
Clark,7522,County Recorder,,,"Conway, Debbie",905
Clark,7522,U.S. Senate,,DEM,"Cortez Masto, Catherine",883
Clark,7522,Secretary of State,,LIB,"Crane, Ross",12
Clark,7522,Governor,,LIB,"Davis, Brandon",34
Clark,7522,State Assembly,18,REP,"DeCorte, Christine",420
Clark,7522,Lieutenant Governor,,NPP,"Delap, John ""Trey""",12
Clark,7522,"Justice of the Peace Las Vegas Township, Department 10",,,"Demonte, Noreen",657
Clark,7522,County Treasurer,,,"Diaz, J. ""Ken""",892
Clark,7522,"Justice of the Peace Las Vegas Township, Department 10",,,"Dotson, Cybill",488
Clark,7522,State Treasurer,,LIB,"Elliott, Bryan",19
Clark,7522,County Recorder,,,"Evans, John",412
Clark,7522,State Treasurer,,REP,"Fiore, Michele",390
Clark,7522,Attorney General,,DEM,"Ford, Aaron D.",877
Clark,7522,"Court of Appeals Judge, Department 1",,,"Forsberg, Rhonda K.",364
Clark,7522,"District Court Judge, Department  9",,,"Gall, Maria",792
Clark,7522,"District Court Judge, Department 17",,,"Ganz, Adam",349
Clark,7522,"Court of Appeals Judge, Department 2",,,"Gibbons, Michael",896
Clark,7522,"County Commissioner, District G",,,"Gibson, Jim",902
Clark,7522,"Justice of the Peace Las Vegas Township, Department 6",,,"Gonzalez, Bill",485
Clark,7522,"Justice of the Peace Las Vegas Township, Department 6",,,"Goodey, Jessica",668
Clark,7522,County Clerk,,,"Goya, Lynn Marie",907
Clark,7522,Secretary of State,,IAP,"Hansen, Janine",26
Clark,7522,State Treasurer,,IAP,"Hendrickson, Margaret",32
Clark,7522,Lieutenant Governor,,IAP,"Hoge, William",15
Clark,7522,"District Court Judge, Family Division, Department A",,,"Hughes, Lynn",216
Clark,7522,"District Court Judge, Family Division, Department A",,,"Jacks, David",133
Clark,7522,County Assessor,,,"Johnson, Briana",885
Clark,7522,"District Court Judge, Family Division, Department A",,,"Keels, Stephanie M.",222
Clark,7522,"District Court Judge, Family Division, Department A",,,"Kurth, Robert",100
Clark,7522,U.S. Senate,,REP,"Laxalt, Adam Paul",399
Clark,7522,"District Court Judge, Department  9",,,"Leavitt, James Dean",402
Clark,7522,U.S. Senate,,NPP,"Lindemann, Barry",8
Clark,7522,Governor,,REP,"Lombardo, Joe",392
Clark,7522,Secretary of State,,REP,"Marchant, Jim",380
Clark,7522,State Controller,,REP,"Matthews, Andy",401
Clark,7522,County Assessor,,,"Menesini, Brandon",46
Clark,7522,"County Commissioner, District G",,,"Mitchell, Billy",388
Clark,7522,"District Court Judge, Department 17",,,"Moors, Lindsey D.",380
Clark,7522,"Supreme Court Justice, Seat E",,,None Of These Candidates,347
Clark,7522,Attorney General,,,None Of These Candidates,42
Clark,7522,State Treasurer,,,None Of These Candidates,40
Clark,7522,Governor,,,None Of These Candidates,34
Clark,7522,"Court of Appeals Judge, Department 3",,,None Of These Candidates,344
Clark,7522,State Controller,,,None Of These Candidates,47
Clark,7522,Lieutenant Governor,,,None Of These Candidates,43
Clark,7522,"Court of Appeals Judge, Department 2",,,None Of These Candidates,341
Clark,7522,"Court of Appeals Judge, Department 1",,,None Of These Candidates,282
Clark,7522,Secretary of State,,,None Of These Candidates,40
Clark,7522,U.S. Senate,,,None Of These Candidates,28
Clark,7522,"Supreme Court Justice, Seat A",,,None Of These Candidates,306
Clark,7522,County Assessor,,,"Oseguera, Helen ""Ms. OS""",400
Clark,7522,"District Court Judge, Family Division, Department A",,,"Parlade, Maria D.",272
Clark,7522,"Supreme Court Justice, Seat E",,,"Parraguirre, Ron D.",874
Clark,7522,State Controller,,LIB,"Profeta, Jed W.",31
Clark,7522,Public Administrator,,,"Reid, Rita Page",858
Clark,7522,U.S. House,1,REP,"Robertson, Mark",402
Clark,7522,"District Court Judge, Department 11",,,"ROOHANI, ELLIE",539
Clark,7522,U.S. Senate,,IAP,"RUBINSON, BARRY",14
Clark,7522,"Justice of the Peace Las Vegas Township, Department 13",,,"Saxe, Rebecca",601
Clark,7522,"District Court Judge, Department 17",,,"Schwartz, Jennifer",451
Clark,7522,U.S. Senate,,LIB,"Scott, Neil",15
Clark,7522,Governor,,DEM,"SISOLAK, Steve",860
Clark,7522,State Controller,,DEM,"Spiegel, Ellen",852
Clark,7522,Lieutenant Governor,,LIB,"Tachiquin, Javi ""Trujillo""",23
Clark,7522,U.S. House,1,DEM,"Titus, Dina",880
Clark,7522,County Treasurer,,,"Tracy, Mitchell T.",431
Clark,7522,District Attorney,,,"Treffinger, Timothy",413
Clark,7522,"County Commissioner, District G",,,"Welsh, Jesse James",35
Clark,7522,"Court of Appeals Judge, Department 1",,,"Westbrook, Deborah",601
Clark,7522,Trustee Clark County School District G,,,"Wieman, Greg",400
Clark,7522,"Justice of the Peace Las Vegas Township, Department 7",,,"Wilson, Amy",683
Clark,7522,District Attorney,,,"Wolfson, Steve",904
Clark,7522,County Clerk,,,"Young, Bill",415
Clark,7523,Secretary of State,,DEM,"Aguilar, Francisco ""Cisco""",119
Clark,7523,"District Court Judge, Department 11",,,"Albertson, Anna",95
Clark,7523,Public Administrator,,,"Aldabbagh, Tabatha",2
Clark,7523,Lieutenant Governor,,REP,"Anthony, Stavros",79
Clark,7523,"Justice of the Peace Las Vegas Township, Department 13",,,"Baucam, Suzan",80
Clark,7523,"Supreme Court Justice, Seat A",,,"Bell, Linda",123
Clark,7523,"Justice of the Peace Las Vegas Township, Department 7",,,"Berkley, Max",59
Clark,7523,"Justice of the Peace Las Vegas Township, Department 9",,,"Bonaventure, Joseph",94
Clark,7523,"District Court Judge, Family Division, Department A",,,"Brewer, Kristine",47
Clark,7523,Governor,,IAP,"Bridges, Ed",1
Clark,7523,"University Board of Regents, District  6",,,"Brown, Heather",103
Clark,7523,Public Administrator,,,"Brown, Patsy",78
Clark,7523,"Court of Appeals Judge, Department 3",,,"Bulla, Bonnie",117
Clark,7523,Lieutenant Governor,,DEM,"Cano Burkhead, Elizabeth ""Lisa""",112
Clark,7523,U.S. House,1,LIB,"Cavanaugh, Ken",6
Clark,7523,Trustee Clark County School District G,,,"Cavazos, Linda P.",90
Clark,7523,Attorney General,,REP,"Chattah, Sigal",71
Clark,7523,"Justice of the Peace Las Vegas Township, Department 9",,,"Chio, Danielle ""Pieper""",57
Clark,7523,State Treasurer,,DEM,"Conine, Zach",115
Clark,7523,State Assembly,18,DEM,"Considine, Venicia",115
Clark,7523,County Recorder,,,"Conway, Debbie",118
Clark,7523,U.S. Senate,,DEM,"Cortez Masto, Catherine",118
Clark,7523,Secretary of State,,LIB,"Crane, Ross",5
Clark,7523,"University Board of Regents, District  6",,,"Dakduk, Jeanine",48
Clark,7523,Governor,,LIB,"Davis, Brandon",3
Clark,7523,State Assembly,18,REP,"DeCorte, Christine",80
Clark,7523,Lieutenant Governor,,NPP,"Delap, John ""Trey""",2
Clark,7523,"Justice of the Peace Las Vegas Township, Department 10",,,"Demonte, Noreen",86
Clark,7523,County Treasurer,,,"Diaz, J. ""Ken""",117
Clark,7523,"Justice of the Peace Las Vegas Township, Department 10",,,"Dotson, Cybill",57
Clark,7523,State Treasurer,,LIB,"Elliott, Bryan",1
Clark,7523,County Recorder,,,"Evans, John",79
Clark,7523,State Treasurer,,REP,"Fiore, Michele",81
Clark,7523,Attorney General,,DEM,"Ford, Aaron D.",119
Clark,7523,"Court of Appeals Judge, Department 1",,,"Forsberg, Rhonda K.",49
Clark,7523,"District Court Judge, Department  9",,,"Gall, Maria",102
Clark,7523,"District Court Judge, Department 17",,,"Ganz, Adam",57
Clark,7523,"Court of Appeals Judge, Department 2",,,"Gibbons, Michael",123
Clark,7523,"County Commissioner, District G",,,"Gibson, Jim",114
Clark,7523,"Justice of the Peace Las Vegas Township, Department 6",,,"Gonzalez, Bill",46
Clark,7523,"Justice of the Peace Las Vegas Township, Department 6",,,"Goodey, Jessica",101
Clark,7523,County Clerk,,,"Goya, Lynn Marie",115
Clark,7523,Secretary of State,,IAP,"Hansen, Janine",2
Clark,7523,State Treasurer,,IAP,"Hendrickson, Margaret",2
Clark,7523,Lieutenant Governor,,IAP,"Hoge, William",2
Clark,7523,"District Court Judge, Family Division, Department A",,,"Hughes, Lynn",22
Clark,7523,"District Court Judge, Family Division, Department A",,,"Jacks, David",15
Clark,7523,County Assessor,,,"Johnson, Briana",119
Clark,7523,"District Court Judge, Family Division, Department A",,,"Keels, Stephanie M.",32
Clark,7523,"District Court Judge, Family Division, Department A",,,"Kurth, Robert",9
Clark,7523,U.S. Senate,,REP,"Laxalt, Adam Paul",75
Clark,7523,"District Court Judge, Department  9",,,"Leavitt, James Dean",55
Clark,7523,U.S. Senate,,NPP,"Lindemann, Barry",0
Clark,7523,Governor,,REP,"Lombardo, Joe",74
Clark,7523,Secretary of State,,REP,"Marchant, Jim",74
Clark,7523,State Controller,,REP,"Matthews, Andy",81
Clark,7523,County Assessor,,,"Menesini, Brandon",4
Clark,7523,"County Commissioner, District G",,,"Mitchell, Billy",76
Clark,7523,"District Court Judge, Department 17",,,"Moors, Lindsey D.",37
Clark,7523,State Treasurer,,,None Of These Candidates,2
Clark,7523,Secretary of State,,,None Of These Candidates,1
Clark,7523,Attorney General,,,None Of These Candidates,5
Clark,7523,U.S. Senate,,,None Of These Candidates,5
Clark,7523,State Controller,,,None Of These Candidates,2
Clark,7523,"Court of Appeals Judge, Department 2",,,None Of These Candidates,52
Clark,7523,"Supreme Court Justice, Seat A",,,None Of These Candidates,53
Clark,7523,Governor,,,None Of These Candidates,5
Clark,7523,"Court of Appeals Judge, Department 1",,,None Of These Candidates,58
Clark,7523,"Court of Appeals Judge, Department 3",,,None Of These Candidates,58
Clark,7523,"Supreme Court Justice, Seat E",,,None Of These Candidates,60
Clark,7523,Lieutenant Governor,,,None Of These Candidates,2
Clark,7523,County Assessor,,,"Oseguera, Helen ""Ms. OS""",76
Clark,7523,"District Court Judge, Family Division, Department A",,,"Parlade, Maria D.",24
Clark,7523,"Supreme Court Justice, Seat E",,,"Parraguirre, Ron D.",110
Clark,7523,State Controller,,LIB,"Profeta, Jed W.",1
Clark,7523,Public Administrator,,,"Reid, Rita Page",117
Clark,7523,U.S. House,1,REP,"Robertson, Mark",75
Clark,7523,"District Court Judge, Department 11",,,"ROOHANI, ELLIE",60
Clark,7523,U.S. Senate,,IAP,"RUBINSON, BARRY",1
Clark,7523,"Justice of the Peace Las Vegas Township, Department 13",,,"Saxe, Rebecca",69
Clark,7523,"District Court Judge, Department 17",,,"Schwartz, Jennifer",56
Clark,7523,U.S. Senate,,LIB,"Scott, Neil",2
Clark,7523,Governor,,DEM,"SISOLAK, Steve",117
Clark,7523,State Controller,,DEM,"Spiegel, Ellen",117
Clark,7523,Lieutenant Governor,,LIB,"Tachiquin, Javi ""Trujillo""",4
Clark,7523,U.S. House,1,DEM,"Titus, Dina",121
Clark,7523,County Treasurer,,,"Tracy, Mitchell T.",80
Clark,7523,District Attorney,,,"Treffinger, Timothy",72
Clark,7523,"County Commissioner, District G",,,"Welsh, Jesse James",6
Clark,7523,"Court of Appeals Judge, Department 1",,,"Westbrook, Deborah",68
Clark,7523,Trustee Clark County School District G,,,"Wieman, Greg",57
Clark,7523,"Justice of the Peace Las Vegas Township, Department 7",,,"Wilson, Amy",92
Clark,7523,District Attorney,,,"Wolfson, Steve",118
Clark,7523,County Clerk,,,"Young, Bill",83
Clark,7524,Secretary of State,,DEM,"Aguilar, Francisco ""Cisco""",211
Clark,7524,"District Court Judge, Department 11",,,"Albertson, Anna",166
Clark,7524,Public Administrator,,,"Aldabbagh, Tabatha",19
Clark,7524,Lieutenant Governor,,REP,"Anthony, Stavros",117
Clark,7524,"Justice of the Peace Las Vegas Township, Department 13",,,"Baucam, Suzan",120
Clark,7524,"Supreme Court Justice, Seat A",,,"Bell, Linda",212
Clark,7524,"Justice of the Peace Las Vegas Township, Department 7",,,"Berkley, Max",132
Clark,7524,"Justice of the Peace Las Vegas Township, Department 9",,,"Bonaventure, Joseph",165
Clark,7524,"District Court Judge, Family Division, Department A",,,"Brewer, Kristine",61
Clark,7524,Governor,,IAP,"Bridges, Ed",3
Clark,7524,Public Administrator,,,"Brown, Patsy",122
Clark,7524,"Court of Appeals Judge, Department 3",,,"Bulla, Bonnie",216
Clark,7524,Lieutenant Governor,,DEM,"Cano Burkhead, Elizabeth ""Lisa""",195
Clark,7524,U.S. House,1,LIB,"Cavanaugh, Ken",11
Clark,7524,Trustee Clark County School District G,,,"Cavazos, Linda P.",203
Clark,7524,Attorney General,,REP,"Chattah, Sigal",106
Clark,7524,"Justice of the Peace Las Vegas Township, Department 9",,,"Chio, Danielle ""Pieper""",128
Clark,7524,State Treasurer,,DEM,"Conine, Zach",200
Clark,7524,State Assembly,18,DEM,"Considine, Venicia",210
Clark,7524,County Recorder,,,"Conway, Debbie",220
Clark,7524,U.S. Senate,,DEM,"Cortez Masto, Catherine",212
Clark,7524,Secretary of State,,LIB,"Crane, Ross",4
Clark,7524,Governor,,LIB,"Davis, Brandon",7
Clark,7524,State Assembly,18,REP,"DeCorte, Christine",133
Clark,7524,Lieutenant Governor,,NPP,"Delap, John ""Trey""",6
Clark,7524,"Justice of the Peace Las Vegas Township, Department 10",,,"Demonte, Noreen",163
Clark,7524,County Treasurer,,,"Diaz, J. ""Ken""",212
Clark,7524,"Justice of the Peace Las Vegas Township, Department 10",,,"Dotson, Cybill",128
Clark,7524,State Treasurer,,LIB,"Elliott, Bryan",4
Clark,7524,County Recorder,,,"Evans, John",122
Clark,7524,State Treasurer,,REP,"Fiore, Michele",112
Clark,7524,Attorney General,,DEM,"Ford, Aaron D.",204
Clark,7524,"Court of Appeals Judge, Department 1",,,"Forsberg, Rhonda K.",74
Clark,7524,"District Court Judge, Department  9",,,"Gall, Maria",179
Clark,7524,"District Court Judge, Department 17",,,"Ganz, Adam",101
Clark,7524,"Court of Appeals Judge, Department 2",,,"Gibbons, Michael",217
Clark,7524,"County Commissioner, District G",,,"Gibson, Jim",221
Clark,7524,"Justice of the Peace Las Vegas Township, Department 6",,,"Gonzalez, Bill",125
Clark,7524,"Justice of the Peace Las Vegas Township, Department 6",,,"Goodey, Jessica",168
Clark,7524,County Clerk,,,"Goya, Lynn Marie",219
Clark,7524,Secretary of State,,IAP,"Hansen, Janine",6
Clark,7524,State Treasurer,,IAP,"Hendrickson, Margaret",12
Clark,7524,Lieutenant Governor,,IAP,"Hoge, William",3
Clark,7524,"District Court Judge, Family Division, Department A",,,"Hughes, Lynn",47
Clark,7524,"District Court Judge, Family Division, Department A",,,"Jacks, David",41
Clark,7524,County Assessor,,,"Johnson, Briana",214
Clark,7524,"District Court Judge, Family Division, Department A",,,"Keels, Stephanie M.",47
Clark,7524,"District Court Judge, Family Division, Department A",,,"Kurth, Robert",33
Clark,7524,U.S. Senate,,REP,"Laxalt, Adam Paul",117
Clark,7524,"District Court Judge, Department  9",,,"Leavitt, James Dean",116
Clark,7524,U.S. Senate,,NPP,"Lindemann, Barry",2
Clark,7524,Governor,,REP,"Lombardo, Joe",122
Clark,7524,Secretary of State,,REP,"Marchant, Jim",114
Clark,7524,State Controller,,REP,"Matthews, Andy",122
Clark,7524,County Assessor,,,"Menesini, Brandon",14
Clark,7524,"County Commissioner, District G",,,"Mitchell, Billy",111
Clark,7524,"District Court Judge, Department 17",,,"Moors, Lindsey D.",80
Clark,7524,Governor,,,None Of These Candidates,5
Clark,7524,"Supreme Court Justice, Seat E",,,None Of These Candidates,107
Clark,7524,State Treasurer,,,None Of These Candidates,19
Clark,7524,"Court of Appeals Judge, Department 3",,,None Of These Candidates,93
Clark,7524,"Court of Appeals Judge, Department 1",,,None Of These Candidates,95
Clark,7524,Secretary of State,,,None Of These Candidates,13
Clark,7524,U.S. Senate,,,None Of These Candidates,9
Clark,7524,Attorney General,,,None Of These Candidates,18
Clark,7524,"Supreme Court Justice, Seat A",,,None Of These Candidates,103
Clark,7524,State Controller,,,None Of These Candidates,16
Clark,7524,Lieutenant Governor,,,None Of These Candidates,18
Clark,7524,"Court of Appeals Judge, Department 2",,,None Of These Candidates,96
Clark,7524,County Assessor,,,"Oseguera, Helen ""Ms. OS""",110
Clark,7524,"District Court Judge, Family Division, Department A",,,"Parlade, Maria D.",62
Clark,7524,"Supreme Court Justice, Seat E",,,"Parraguirre, Ron D.",201
Clark,7524,State Controller,,LIB,"Profeta, Jed W.",9
Clark,7524,Public Administrator,,,"Reid, Rita Page",199
Clark,7524,U.S. House,1,REP,"Robertson, Mark",120
Clark,7524,"District Court Judge, Department 11",,,"ROOHANI, ELLIE",122
Clark,7524,U.S. Senate,,IAP,"RUBINSON, BARRY",7
Clark,7524,"Justice of the Peace Las Vegas Township, Department 13",,,"Saxe, Rebecca",172
Clark,7524,"District Court Judge, Department 17",,,"Schwartz, Jennifer",113
Clark,7524,U.S. Senate,,LIB,"Scott, Neil",2
Clark,7524,Governor,,DEM,"SISOLAK, Steve",208
Clark,7524,State Controller,,DEM,"Spiegel, Ellen",198
Clark,7524,Lieutenant Governor,,LIB,"Tachiquin, Javi ""Trujillo""",9
Clark,7524,U.S. House,1,DEM,"Titus, Dina",215
Clark,7524,County Treasurer,,,"Tracy, Mitchell T.",128
Clark,7524,District Attorney,,,"Treffinger, Timothy",117
Clark,7524,"County Commissioner, District G",,,"Welsh, Jesse James",12
Clark,7524,"Court of Appeals Judge, Department 1",,,"Westbrook, Deborah",150
Clark,7524,Trustee Clark County School District G,,,"Wieman, Greg",90
Clark,7524,"Justice of the Peace Las Vegas Township, Department 7",,,"Wilson, Amy",161
Clark,7524,District Attorney,,,"Wolfson, Steve",223
Clark,7524,County Clerk,,,"Young, Bill",122
Clark,7526,Secretary of State,,DEM,"Aguilar, Francisco ""Cisco""",191
Clark,7526,"District Court Judge, Department 11",,,"Albertson, Anna",133
Clark,7526,Public Administrator,,,"Aldabbagh, Tabatha",6
Clark,7526,Lieutenant Governor,,REP,"Anthony, Stavros",97
Clark,7526,"Justice of the Peace Las Vegas Township, Department 13",,,"Baucam, Suzan",111
Clark,7526,"Supreme Court Justice, Seat A",,,"Bell, Linda",197
Clark,7526,"Justice of the Peace Las Vegas Township, Department 7",,,"Berkley, Max",93
Clark,7526,"Justice of the Peace Las Vegas Township, Department 9",,,"Bonaventure, Joseph",130
Clark,7526,"District Court Judge, Family Division, Department A",,,"Brewer, Kristine",55
Clark,7526,Governor,,IAP,"Bridges, Ed",3
Clark,7526,"University Board of Regents, District  6",,,"Brown, Heather",157
Clark,7526,Public Administrator,,,"Brown, Patsy",96
Clark,7526,"Court of Appeals Judge, Department 3",,,"Bulla, Bonnie",188
Clark,7526,Lieutenant Governor,,DEM,"Cano Burkhead, Elizabeth ""Lisa""",185
Clark,7526,U.S. House,1,LIB,"Cavanaugh, Ken",7
Clark,7526,Trustee Clark County School District G,,,"Cavazos, Linda P.",164
Clark,7526,Attorney General,,REP,"Chattah, Sigal",89
Clark,7526,"Justice of the Peace Las Vegas Township, Department 9",,,"Chio, Danielle ""Pieper""",102
Clark,7526,State Treasurer,,DEM,"Conine, Zach",191
Clark,7526,State Assembly,18,DEM,"Considine, Venicia",190
Clark,7526,County Recorder,,,"Conway, Debbie",196
Clark,7526,U.S. Senate,,DEM,"Cortez Masto, Catherine",192
Clark,7526,Secretary of State,,LIB,"Crane, Ross",4
Clark,7526,"University Board of Regents, District  6",,,"Dakduk, Jeanine",78
Clark,7526,Governor,,LIB,"Davis, Brandon",4
Clark,7526,State Assembly,18,REP,"DeCorte, Christine",100
Clark,7526,Lieutenant Governor,,NPP,"Delap, John ""Trey""",0
Clark,7526,"Justice of the Peace Las Vegas Township, Department 10",,,"Demonte, Noreen",121
Clark,7526,County Treasurer,,,"Diaz, J. ""Ken""",192
Clark,7526,"Justice of the Peace Las Vegas Township, Department 10",,,"Dotson, Cybill",110
Clark,7526,State Treasurer,,LIB,"Elliott, Bryan",1
Clark,7526,County Recorder,,,"Evans, John",95
Clark,7526,State Treasurer,,REP,"Fiore, Michele",89
Clark,7526,Attorney General,,DEM,"Ford, Aaron D.",189
Clark,7526,"Court of Appeals Judge, Department 1",,,"Forsberg, Rhonda K.",63
Clark,7526,"District Court Judge, Department  9",,,"Gall, Maria",164
Clark,7526,"District Court Judge, Department 17",,,"Ganz, Adam",69
Clark,7526,"Court of Appeals Judge, Department 2",,,"Gibbons, Michael",196
Clark,7526,"County Commissioner, District G",,,"Gibson, Jim",196
Clark,7526,"Justice of the Peace Las Vegas Township, Department 6",,,"Gonzalez, Bill",91
Clark,7526,"Justice of the Peace Las Vegas Township, Department 6",,,"Goodey, Jessica",137
Clark,7526,County Clerk,,,"Goya, Lynn Marie",197
Clark,7526,Secretary of State,,IAP,"Hansen, Janine",4
Clark,7526,State Treasurer,,IAP,"Hendrickson, Margaret",8
Clark,7526,Lieutenant Governor,,IAP,"Hoge, William",2
Clark,7526,"District Court Judge, Family Division, Department A",,,"Hughes, Lynn",37
Clark,7526,"District Court Judge, Family Division, Department A",,,"Jacks, David",24
Clark,7526,County Assessor,,,"Johnson, Briana",191
Clark,7526,"District Court Judge, Family Division, Department A",,,"Keels, Stephanie M.",41
Clark,7526,"District Court Judge, Family Division, Department A",,,"Kurth, Robert",15
Clark,7526,U.S. Senate,,REP,"Laxalt, Adam Paul",96
Clark,7526,"District Court Judge, Department  9",,,"Leavitt, James Dean",76
Clark,7526,U.S. Senate,,NPP,"Lindemann, Barry",3
Clark,7526,Governor,,REP,"Lombardo, Joe",99
Clark,7526,Secretary of State,,REP,"Marchant, Jim",92
Clark,7526,State Controller,,REP,"Matthews, Andy",98
Clark,7526,County Assessor,,,"Menesini, Brandon",10
Clark,7526,"County Commissioner, District G",,,"Mitchell, Billy",90
Clark,7526,"District Court Judge, Department 17",,,"Moors, Lindsey D.",70
Clark,7526,"Supreme Court Justice, Seat E",,,None Of These Candidates,69
Clark,7526,"Court of Appeals Judge, Department 3",,,None Of These Candidates,66
Clark,7526,Governor,,,None Of These Candidates,4
Clark,7526,"Court of Appeals Judge, Department 1",,,None Of These Candidates,60
Clark,7526,State Treasurer,,,None Of These Candidates,4
Clark,7526,"Court of Appeals Judge, Department 2",,,None Of These Candidates,63
Clark,7526,"Supreme Court Justice, Seat A",,,None Of These Candidates,60
Clark,7526,U.S. Senate,,,None Of These Candidates,3
Clark,7526,Secretary of State,,,None Of These Candidates,3
Clark,7526,Attorney General,,,None Of These Candidates,6
Clark,7526,Lieutenant Governor,,,None Of These Candidates,3
Clark,7526,State Controller,,,None Of These Candidates,2
Clark,7526,County Assessor,,,"Oseguera, Helen ""Ms. OS""",88
Clark,7526,"District Court Judge, Family Division, Department A",,,"Parlade, Maria D.",57
Clark,7526,"Supreme Court Justice, Seat E",,,"Parraguirre, Ron D.",185
Clark,7526,State Controller,,LIB,"Profeta, Jed W.",4
Clark,7526,Public Administrator,,,"Reid, Rita Page",185
Clark,7526,U.S. House,1,REP,"Robertson, Mark",90
Clark,7526,"District Court Judge, Department 11",,,"ROOHANI, ELLIE",111
Clark,7526,U.S. Senate,,IAP,"RUBINSON, BARRY",2
Clark,7526,"Justice of the Peace Las Vegas Township, Department 13",,,"Saxe, Rebecca",118
Clark,7526,"District Court Judge, Department 17",,,"Schwartz, Jennifer",95
Clark,7526,U.S. Senate,,LIB,"Scott, Neil",2
Clark,7526,Governor,,DEM,"SISOLAK, Steve",188
Clark,7526,State Controller,,DEM,"Spiegel, Ellen",189
Clark,7526,Lieutenant Governor,,LIB,"Tachiquin, Javi ""Trujillo""",7
Clark,7526,U.S. House,1,DEM,"Titus, Dina",197
Clark,7526,County Treasurer,,,"Tracy, Mitchell T.",99
Clark,7526,District Attorney,,,"Treffinger, Timothy",100
Clark,7526,"County Commissioner, District G",,,"Welsh, Jesse James",6
Clark,7526,"Court of Appeals Judge, Department 1",,,"Westbrook, Deborah",136
Clark,7526,Trustee Clark County School District G,,,"Wieman, Greg",70
Clark,7526,"Justice of the Peace Las Vegas Township, Department 7",,,"Wilson, Amy",142
Clark,7526,District Attorney,,,"Wolfson, Steve",190
Clark,7526,County Clerk,,,"Young, Bill",93
Clark,7527,Secretary of State,,DEM,"Aguilar, Francisco ""Cisco""",196
Clark,7527,"District Court Judge, Department 11",,,"Albertson, Anna",138
Clark,7527,Public Administrator,,,"Aldabbagh, Tabatha",5
Clark,7527,Lieutenant Governor,,REP,"Anthony, Stavros",110
Clark,7527,"Justice of the Peace Las Vegas Township, Department 13",,,"Baucam, Suzan",119
Clark,7527,"Supreme Court Justice, Seat A",,,"Bell, Linda",207
Clark,7527,"Justice of the Peace Las Vegas Township, Department 7",,,"Berkley, Max",100
Clark,7527,"Justice of the Peace Las Vegas Township, Department 9",,,"Bonaventure, Joseph",136
Clark,7527,"District Court Judge, Family Division, Department A",,,"Brewer, Kristine",66
Clark,7527,Governor,,IAP,"Bridges, Ed",3
