town,ward,precinct,office,district,party,candidate,votes
Plymouth,,14,State House,1st Plymouth,Democratic,Total Votes Cast,650
Westfield,6,A,State Senate,2nd Hampden and Hampshire,Republican,Blanks,81
Cambridge,11,1,U.S. Senate,,Democratic,Total Votes Cast,1004
Quincy,5,4,U.S. Senate,,Democratic,Blanks,17
Peabody,1,3,U.S. Senate,,Republican,Shiva Ayyadurai,94
Danvers,,6,Governor's Council,5th,Democratic,All Others,0
Ludlow,,5,U.S. Senate,,Libertarian,Blanks,0
Boston,20,17,U.S. House,8th,Democratic,All Others,1
Granville,,1,State House,3rd Hampden,Democratic,Kerri A. O'Connor,204
Dedham,,3,U.S. Senate,,Democratic,Edward J. Markey,454
Boston,15,8,U.S. Senate,,Libertarian,Blanks,0
Fall River,1,C,State House,7th Bristol,Democratic,Blanks,65
Longmeadow,,D,U.S. Senate,,Libertarian,Total Votes Cast,2
Watertown,,3,State House,29th Middlesex,Democratic,Total Votes Cast,943
Sherborn,,1,U.S. House,5th,Libertarian,Blanks,2
Longmeadow,,D,Governor's Council,8th,Democratic,Mary E. Hurley,706
Medford,2,1,U.S. House,5th,Republican,All Others,3
Belchertown,,C,U.S. Senate,,Republican,All Others,3
Lincoln,,2,U.S. House,5th,Libertarian,Blanks,0
Amherst,,9,State Senate,"Hampshire, Franklin and Worcester",Democratic,Blanks,89
Cambridge,7,2,U.S. House,5th,Democratic,Katherine M. Clark,443
Sharon,,2,U.S. Senate,,Republican,All Others,1
Springfield,1,B,Governor's Council,8th,Democratic,Total Votes Cast,374
Boxborough,,1,U.S. Senate,,Libertarian,Total Votes Cast,1
Natick,,10,U.S. House,5th,Libertarian,Total Votes Cast,2
Agawam,,4,Governor's Council,8th,Democratic,All Others,0
Chicopee,8,B,U.S. Senate,,Democratic,Blanks,9
Springfield,2,H,U.S. Senate,,Democratic,Blanks,14
Holyoke,1,B,U.S. Senate,,Republican,All Others,0
Cambridge,5,1,U.S. Senate,,Democratic,Total Votes Cast,1093
Quincy,4,2,U.S. Senate,,Democratic,All Others,3
Boston,14,14,U.S. Senate,,Libertarian,Vermin Love Supreme,0
Deerfield,,1,U.S. House,2nd,Democratic,James P. McGovern,1470
Westfield,6,A,State House,4th Hampden,Democratic,All Others,8
TOTALS,,,State House,12th Essex,Democratic,Blanks,1107
Belchertown,,C,U.S. House,2nd,Democratic,James P. McGovern,691
Somerville,5,3,U.S. Senate,,Republican,Shiva Ayyadurai,18
Halifax,,1,Governor's Council,4th,Democratic,Total Votes Cast,665
Ayer,,2,U.S. House,3rd,Democratic,Lori Loureiro Trahan,743
Lynn,2,2,State Senate,3rd Essex,Republican,All Others,16
Bridgewater,,7,U.S. Senate,,Democratic,Total Votes Cast,669
Barnstable,,9,State Senate,Cape and Islands,Democratic,Julian Andre Cyr,269
Boston,20,19,U.S. Senate,,Republican,Kevin J. O'Connor,22
Watertown,,5,Governor's Council,3rd,Democratic,Marilyn Petitto Devaney,724
Methuen,,7,U.S. House,3rd,Democratic,Lori Loureiro Trahan,611
Blackstone,,2,U.S. Senate,,Democratic,Edward J. Markey,174
Fitchburg,4,B,State Senate,Worcester and Middlesex,Republican,All Others,2
Bridgewater,,2,State House,8th Plymouth,Republican,All Others,1
Boston,16,12,State House,13th Suffolk,Democratic,Total Votes Cast,558
Worcester,1,4,Governor's Council,7th,Democratic,Paul M. Depalo,672
Lowell,5,3,U.S. Senate,,Republican,Shiva Ayyadurai,47
Boston,21,10,U.S. Senate,,Libertarian,All Others,0
Fall River,4,B,State House,7th Bristol,Democratic,Blanks,53
Westborough,,1,Governor's Council,3rd,Democratic,All Others,1
Springfield,2,E,State Senate,Hampden,Democratic,All Others,1
Hingham,,1,State Senate,Plymouth and Norfolk,Democratic,All Others,8
Waltham,8,2,U.S. Senate,,Libertarian,Blanks,1
New Bedford,6,F,State Senate,2nd Bristol and Plymouth,Democratic,Total Votes Cast,267
Winchendon,,2,State House,2nd Worcester,Democratic,All Others,3
Framingham,,2,U.S. House,5th,Democratic,Katherine M. Clark,1212
Lawrence,D,4,U.S. Senate,,Libertarian,Total Votes Cast,0
E. Longmeadow,,3,U.S. House,1st,Democratic,Blanks,2
Marblehead,,5,U.S. Senate,,Libertarian,All Others,2
Northbridge,,1,State Senate,Worcester and Norfolk,Republican,All Others,0
Springfield,5,A,U.S. Senate,,Republican,Total Votes Cast,14
Peabody,1,1,Governor's Council,5th,Democratic,Blanks,89
Fitchburg,3,A,Governor's Council,7th,Democratic,Total Votes Cast,691
Cambridge,4,1,U.S. Senate,,Democratic,Total Votes Cast,1200
Lowell,11,2,U.S. Senate,,Democratic,"Joseph P. Kennedy, III",215
Revere,2,3A,U.S. House,5th,Libertarian,"Walter J. Ziobro, Jr",0
Acton,,1,U.S. House,3rd,Democratic,Lori Loureiro Trahan,890
Chelmsford,,4,U.S. House,3rd,Democratic,Lori Loureiro Trahan,710
Saugus,,10,State House,16th Suffolk,Republican,Total Votes Cast,159
N. Reading,,4,State House,20th Middlesex,Democratic,All Others,4
Amesbury,,1,U.S. Senate,,Republican,All Others,2
Marshfield,,5,U.S. Senate,,Democratic,Total Votes Cast,778
Hudson,,3,U.S. House,3rd,Democratic,All Others,3
Needham,,B,U.S. House,4th,Republican,Julie A. Hall,72
Boston,22,10,State House,17th Suffolk,Democratic,Total Votes Cast,653
Boston,1,11,U.S. Senate,,Libertarian,All Others,0
Somerville,6,1,U.S. Senate,,Democratic,Total Votes Cast,1657
Sandwich,,4,State Senate,Plymouth and Barnstable,Democratic,Blanks,113
Montague,,4,State House,1st Franklin,Democratic,All Others,2
Chicopee,9,A,U.S. Senate,,Democratic,Total Votes Cast,581
Revere,1,3,U.S. House,5th,Democratic,Total Votes Cast,398
Cambridge,7,3,Governor's Council,6th,Democratic,Helina Fontes,149
Boston,22,3,Governor's Council,3rd,Democratic,Total Votes Cast,703
Tyngsborough,,1,U.S. Senate,,Republican,All Others,0
Freetown,,1,State House,6th Bristol,Democratic,Blanks,94
Pittsfield,5,A,U.S. Senate,,Libertarian,Vermin Love Supreme,0
Natick,,9,Governor's Council,2nd,Democratic,Total Votes Cast,1024
Newton,3,3,State House,11th Middlesex,Democratic,Blanks,235
Tyngsborough,,3,Governor's Council,5th,Democratic,Total Votes Cast,603
Worcester,5,4,Governor's Council,7th,Democratic,Paul M. Depalo,352
Boston,15,7,U.S. Senate,,Democratic,Total Votes Cast,302
W. Springfield,,3,U.S. Senate,,Democratic,Total Votes Cast,505
Franklin,,4,U.S. House,,Democratic,Becky Grossman,151
Dalton,,2,Governor's Council,8th,Democratic,Blanks,98
Easton,,4,U.S. Senate,,Libertarian,Blanks,1
Raynham,,1,U.S. House,8th,Democratic,Blanks,21
Holyoke,2,A,U.S. Senate,,Republican,All Others,0
Boston,17,4,U.S. Senate,,Libertarian,All Others,3
Marblehead,,6,U.S. Senate,,Libertarian,Blanks,5
Shirley,,1,State House,37th Middlesex,Republican,Catherine J. Clark,340
New Bedford,4,E,State Senate,2nd Bristol and Plymouth,Democratic,All Others,3
Ludlow,,1,U.S. Senate,,Libertarian,Total Votes Cast,1
Lawrence,E,1,U.S. Senate,,Democratic,All Others,2
Beverly,6,1,U.S. Senate,,Republican,Shiva Ayyadurai,74
Millis,,1,U.S. House,4th,Republican,Total Votes Cast,183
Revere,5,1,U.S. Senate,,Libertarian,Vermin Love Supreme,0
Weymouth,,10,State Senate,Plymouth and Norfolk,Democratic,All Others,0
Arlington,,20,State House,23rd Middlesex,Democratic,All Others,1
Greenfield,,4,U.S. Senate,,Republican,All Others,0
Boston,20,16,U.S. Senate,,Republican,Total Votes Cast,100
Milton,,7,U.S. House,8th,Democratic,Total Votes Cast,798
Shrewsbury,,6,Governor's Council,7th,Democratic,Paul M. Depalo,542
Fall River,6,C,U.S. Senate,,Libertarian,Vermin Love Supreme,0
Shrewsbury,,9,U.S. House,2nd,Democratic,All Others,3
Natick,,5,U.S. Senate,,Democratic,Total Votes Cast,973
Wakefield,,1,U.S. House,6th,Democratic,Angus G. McQuilken,61
Attleboro,6,A,U.S. House,,Democratic,Becky Grossman,134
Leominster,5,C,Governor's Council,7th,Democratic,Blanks,39
Harwich,,2,U.S. Senate,,Libertarian,All Others,0
Everett,1,1,Governor's Council,6th,Democratic,Blanks,57
Newton,1,2,U.S. House,,Democratic,Total Votes Cast,903
Greenfield,,3,U.S. Senate,,Democratic,Blanks,2
Wilmington,,6,U.S. Senate,,Republican,Kevin J. O'Connor,161
Quincy,6,1,State Senate,Norfolk and Plymouth,Democratic,Total Votes Cast,590
Salem,6,1,Governor's Council,5th,Democratic,Blanks,186
New Bedford,4,C,State House,13th Bristol,Democratic,Blanks,72
Boxborough,,1,State House,37th Middlesex,Democratic,Blanks,192
Lexington,,3,Governor's Council,3rd,Democratic,All Others,5
