town,ward,precinct,office,district,party,candidate,votes
Ludlow,,6,U.S. Senate,,Republican,Kevin J. O'Connor,154
Sharon,,2,State Senate,"Norfolk, Bristol and Plymouth",Democratic,All Others,1
Lynn,4,4,U.S. House,6th,Democratic,Total Votes Cast,505
Barnstable,,2,U.S. Senate,,Republican,Total Votes Cast,338
Hopkinton,,1,U.S. Senate,,Republican,Blanks,1
Boston,9,2,U.S. House,7th,Republican,Blanks,15
Amesbury,,4,U.S. Senate,,Libertarian,All Others,6
Medford,8,2,State House,34th Middlesex,Democratic,Anna Callahan,312
Melrose,3,1,U.S. House,5th,Democratic,Katherine M. Clark,623
Boston,1,13,U.S. Senate,,Libertarian,All Others,1
Boston,19,7,U.S. House,7th,Republican,Total Votes Cast,19
Carlisle,,1,U.S. Senate,,Libertarian,All Others,1
Newton,3,3,Governor's Council,3rd,Democratic,All Others,7
Brockton,7,B,U.S. Senate,,Republican,Total Votes Cast,53
Fall River,3,C,U.S. House,9th,Democratic,Bill Keating,311
Melrose,2,1,State House,32nd Middlesex,Special Democratic,All Others,0
Salem,3,2,U.S. Senate,,Libertarian,All Others,2
Brookline,,8,U.S. House,4th,Republican,All Others,2
Somerville,4,3,U.S. Senate,,Republican,Total Votes Cast,55
Boston,18,11,State Senate,2nd Suffolk,Democratic,Sonia Rosa Chang-D?az,377
New Bedford,3,D,State Senate,2nd Bristol and Plymouth,Democratic,Mark C. Montigny,278
Marlborough,1,2,State House,13th Middlesex,Republican,Ingrid I. Centurion,133
Dracut,,1,State House,36th Middlesex,Democratic,All Others,0
Beverly,6,2,State Senate,2nd Essex,Democratic,Blanks,131
Newton,1,2,U.S. Senate,,Republican,Total Votes Cast,39
Foxborough,,1,U.S. House,4th,Republican,Julie A. Hall,104
Hanover,,4,U.S. House,9th,Republican,Helen Brady,214
Lynn,3,2,U.S. Senate,,Democratic,Blanks,2
Fall River,4,A,State House,7th Bristol,Democratic,Alan Silvia,229
Plymouth,,4,State House,1st Plymouth,Democratic,Blanks,202
Lexington,,8,U.S. House,5th,Democratic,Katherine M. Clark,968
Boston,1,6,Governor's Council,6th,Democratic,Blanks,39
Wellesley,,C,State House,14th Norfolk,Democratic,Alice Hanlon Peisch,743
Springfield,3,F,State Senate,Hampden,Democratic,Adam Gomez,119
Dedham,,2,U.S. Senate,,Democratic,"Joseph P. Kennedy, III",470
Boston,18,4,U.S. Senate,,Democratic,"Joseph P. Kennedy, III",405
Methuen,,2,U.S. House,3rd,Democratic,Blanks,51
Lynn,7,3,U.S. Senate,,Democratic,Total Votes Cast,353
Lunenburg,,D,U.S. House,3rd,Democratic,Blanks,70
Boston,14,7,U.S. House,7th,Republican,All Others,1
Wilmington,,6,U.S. Senate,,Libertarian,Total Votes Cast,3
Lowell,1,3,State Senate,1st Middlesex,Democratic,Total Votes Cast,942
Revere,5,2,State Senate,1st Suffolk and Middlesex,Democratic,All Others,5
Northampton,7,B,U.S. Senate,,Republican,Total Votes Cast,47
New Bedford,6,D,U.S. Senate,,Democratic,Edward J. Markey,30
Sturbridge,,2,U.S. Senate,,Republican,Total Votes Cast,217
Randolph,,6,U.S. Senate,,Republican,Shiva Ayyadurai,31
Stoneham,,7,State Senate,5th Middlesex,Democratic,Blanks,114
TOTALS,,,U.S. Senate,,Democratic,"Joseph P. Kennedy, III",629359
New Bedford,1,C,U.S. Senate,,Democratic,All Others,0
New Bedford,2,F,U.S. Senate,,Republican,Shiva Ayyadurai,33
Boston,5,10,State House,9th Suffolk,Democratic,Blanks,61
Granville,,1,State Senate,2nd Hampden and Hampshire,Democratic,Blanks,13
Cambridge,1,3,U.S. Senate,,Republican,Kevin J. O'Connor,28
Weymouth,,17,U.S. Senate,,Libertarian,Blanks,0
Lowell,7,2,U.S. House,3rd,Democratic,Blanks,59
Easton,,2,U.S. House,,Democratic,Jake Auchincloss,213
Plainfield,,1,U.S. House,1st,Democratic,Richard E. Neal,105
Plymouth,,5,U.S. House,9th,Republican,All Others,9
Pepperell,,2,U.S. Senate,,Republican,Kevin J. O'Connor,185
Springfield,4,B,State House,11th Hampden,Republican,Total Votes Cast,20
Needham,,I,U.S. Senate,,Democratic,All Others,2
Springfield,4,H,Governor's Council,8th,Democratic,Blanks,65
Easton,,6,U.S. House,,Democratic,All Others,0
Scituate,,3,U.S. Senate,,Libertarian,Total Votes Cast,2
Spencer,,3,U.S. Senate,,Libertarian,All Others,6
Westfield,5,A,U.S. House,1st,Democratic,Alex B. Morse,273
Groveland,,1,State House,2nd Essex,Republican,Blanks,18
Montague,,3,Governor's Council,8th,Democratic,Mary E. Hurley,302
Salem,7,1,Governor's Council,5th,Democratic,All Others,1
Salem,6,2,U.S. House,6th,Democratic,Total Votes Cast,829
Wrentham,,1,U.S. Senate,,Republican,Total Votes Cast,289
Lunenburg,,A,State House,37th Middlesex,Democratic,Danillo A. Sena,153
Boston,21,7,U.S. House,7th,Republican,Total Votes Cast,20
Chicopee,1,A,U.S. Senate,,Democratic,Edward J. Markey,219
Mansfield,,1,State Senate,Bristol and Norfolk,Democratic,Paul R. Feeney,635
Sandwich,,2,State House,5th Barnstable,Democratic,James J. Dever,711
Worcester,10,2,U.S. Senate,,Libertarian,Vermin Love Supreme,0
Stoneham,,6,U.S. House,5th,Libertarian,All Others,0
Norwood,,3,U.S. Senate,,Democratic,Blanks,17
Ipswich,,1,U.S. House,6th,Democratic,Seth W. Moulton,707
Watertown,,1,U.S. House,5th,Democratic,All Others,1
Boston,2,6,U.S. House,7th,Republican,All Others,16
Bedford,,2,U.S. House,6th,Republican,Blanks,21
N. Andover,,3,State Senate,1st Essex,Democratic,Blanks,77
TOTALS,,,State House,1st Middlesex,Republican,All Others,17
Andover,,9,State Senate,2nd Essex and Middlesex,Democratic,Total Votes Cast,852
Groton,,2,U.S. House,3rd,Democratic,Blanks,84
Dracut,,9,State Senate,2nd Essex and Middlesex,Democratic,Total Votes Cast,581
Boston,11,8,U.S. Senate,,Democratic,All Others,0
Brockton,3,D,U.S. House,8th,Democratic,Total Votes Cast,697
Melrose,6,1,U.S. House,5th,Republican,All Others,3
Newburyport,5,1,State Senate,1st Essex,Democratic,Total Votes Cast,691
Chelsea,1,1,U.S. Senate,,Democratic,Total Votes Cast,203
Millbury,,4,Governor's Council,7th,Democratic,Blanks,53
Norton,,5,U.S. Senate,,Democratic,Total Votes Cast,436
Springfield,4,A,Governor's Council,8th,Democratic,Total Votes Cast,413
Hadley,,1,U.S. Senate,,Libertarian,Blanks,0
Gardner,5,B,State Senate,Worcester and Middlesex,Republican,All Others,0
Stoneham,,1,U.S. House,5th,Democratic,Total Votes Cast,764
Chester,,1,U.S. House,1st,Democratic,Total Votes Cast,218
Reading,,6,U.S. Senate,,Libertarian,All Others,5
Wellesley,,D,U.S. House,,Democratic,Natalia Linos,235
Dunstable,,1,U.S. Senate,,Republican,Kevin J. O'Connor,135
Methuen,,1,U.S. House,3rd,Democratic,Total Votes Cast,599
Pittsfield,2,B,Governor's Council,8th,Democratic,Mary E. Hurley,544
Boston,17,10,U.S. Senate,,Libertarian,Blanks,0
Watertown,,8,U.S. House,5th,Democratic,Blanks,128
Palmer,,2,U.S. Senate,,Democratic,"Joseph P. Kennedy, III",309
Woburn,2,1,State House,30th Middlesex,Democratic,Blanks,108
Westfield,4,B,U.S. Senate,,Democratic,Blanks,7
Needham,,A,U.S. Senate,,Republican,Kevin J. O'Connor,63
Somerville,7,1,Governor's Council,6th,Democratic,All Others,1
Lawrence,B,1,U.S. House,3rd,Democratic,Total Votes Cast,356
W. Springfield,,5,U.S. Senate,,Democratic,Total Votes Cast,840
New Bedford,1,F,State House,8th Bristol,Republican,Blanks,30
Fall River,4,B,U.S. Senate,,Libertarian,Vermin Love Supreme,0
Fall River,2,A,U.S. Senate,,Libertarian,Blanks,0
Revere,5,2,U.S. House,5th,Libertarian,Total Votes Cast,2
Chicopee,9,A,Governor's Council,8th,Democratic,Mary E. Hurley,502
Amesbury,,5,U.S. House,6th,Democratic,All Others,1
Lowell,11,2,State Senate,1st Middlesex,Democratic,Blanks,85
Woburn,7,2,State Senate,4th Middlesex,Democratic,Total Votes Cast,648
Worcester,2,5,U.S. Senate,,Democratic,Edward J. Markey,113
Oxford,,4,U.S. House,2nd,Republican,Tracy Lyn Lovvorn,161
Marshfield,,6,State Senate,Plymouth and Norfolk,Republican,Blanks,26
Gosnold,,1,U.S. Senate,,Republican,Total Votes Cast,8
Falmouth,,1,Governor's Council,1st,Democratic,Blanks,439
Marlborough,7,2,U.S. Senate,,Democratic,Edward J. Markey,231
Boston,20,7,Governor's Council,2nd,Democratic,Total Votes Cast,525
N. Andover,,8,U.S. Senate,,Republican,Kevin J. O'Connor,124
Somerville,4,2,U.S. Senate,,Democratic,"Joseph P. Kennedy, III",211
Melrose,3,2,State House,32nd Middlesex,Special Republican,All Others,6
Reading,,6,U.S. Senate,,Libertarian,Blanks,1
Springfield,8,E,U.S. Senate,,Libertarian,Vermin Love Supreme,0
Randolph,,3,Governor's Council,2nd,Democratic,Blanks,165
Natick,,1,State House,5th Middlesex,Democratic,Jaymin A. Patel,122
Duxbury,,4,State House,6th Plymouth,Republican,Tatyana Medvedev Semyrog,159
Southwick,,3,State Senate,2nd Hampden and Hampshire,Democratic,All Others,3
Chelmsford,,8,U.S. Senate,,Libertarian,Vermin Love Supreme,0
Fitchburg,6,A,Governor's Council,7th,Democratic,All Others,1
Boston,11,9,U.S. House,8th,Democratic,Robbie H. Goldstein,421
Stoughton,,8,U.S. Senate,,Democratic,Total Votes Cast,522
Holliston,,3,U.S. Senate,,Libertarian,Total Votes Cast,4
Boston,7,7,State House,4th Suffolk,Democratic,David Biele,195
Quincy,6,5,U.S. Senate,,Democratic,"Joseph P. Kennedy, III",590
Milford,,1,U.S. Senate,,Republican,Kevin J. O'Connor,50
Boston,14,12,U.S. Senate,,Libertarian,Vermin Love Supreme,0
Great Barrington,,A,U.S. Senate,,Democratic,Blanks,2
Wareham,,6,Governor's Council,1st,Democratic,Total Votes Cast,535
Easton,,5,State House,11th Plymouth,Democratic,Claire D. Cronin,887
Brockton,5,A,Governor's Council,4th,Democratic,Blanks,92
Chesterfield,,1,State House,1st Franklin,Democratic,Natalie M. Blais,343
Dudley,,3,State Senate,Worcester and Norfolk,Democratic,Christine Crean,30
Monterey,,1,State Senate,"Berkshire, Hampshire, Franklin & Hampden",Democratic,Adam G. Hinds,273
Williamstown,,2,U.S. Senate,,Libertarian,Total Votes Cast,0
Bolton,,1,U.S. House,3rd,Democratic,Lori Loureiro Trahan,1254
Brookline,,4,Governor's Council,3rd,Democratic,Total Votes Cast,965
Springfield,8,E,U.S. House,1st,Democratic,Alex B. Morse,100
Medfield,,3,U.S. House,,Democratic,Christopher Z. Zannetos,33
Waltham,5,1,U.S. House,5th,Republican,Caroline Colarusso,107
Taunton,6,A,State House,5th Bristol,Democratic,Blanks,60
Dracut,,9,U.S. Senate,,Libertarian,Blanks,1
Beverly,1,2,State Senate,2nd Essex,Democratic,Total Votes Cast,831
Billerica,,7,State House,22nd Middlesex,Democratic,Teresa Nicole English,82
Holyoke,6,A,U.S. House,1st,Democratic,All Others,0
N. Andover,,2,U.S. House,6th,Republican,John Paul Moran,163
Chelsea,4,2,U.S. Senate,,Libertarian,Blanks,1
Worcester,6,4,U.S. Senate,,Libertarian,Vermin Love Supreme,0
Newton,8,4,U.S. House,,Democratic,Total Votes Cast,586
New Bedford,6,B,State Senate,2nd Bristol and Plymouth,Democratic,Mark C. Montigny,290
Norwood,,5,U.S. House,8th,Democratic,Total Votes Cast,622
Chelmsford,,9,State House,14th Middlesex,Democratic,Total Votes Cast,960
Boston,1,3,U.S. Senate,,Republican,Kevin J. O'Connor,32
Sharon,,1,Governor's Council,2nd,Democratic,Blanks,430
Rochester,,1,State House,10th Bristol,Democratic,Blanks,158
New Bedford,6,E,State Senate,2nd Bristol and Plymouth,Democratic,Total Votes Cast,195
Haverhill,3,2,Governor's Council,5th,Democratic,All Others,2
Lexington,,2,State Senate,4th Middlesex,Democratic,All Others,2
Seekonk,,4,U.S. Senate,,Democratic,Edward J. Markey,187
Holliston,,4,U.S. Senate,,Republican,Total Votes Cast,166
Melrose,7,2,U.S. Senate,,Libertarian,Vermin Love Supreme,0
Pepperell,,2,U.S. House,3rd,Democratic,All Others,6
Gloucester,3,1,State Senate,1st Essex and Middlesex,Republican,All Others,3
Agawam,,7,State House,3rd Hampden,Republican,Dino R. Mercadante,115
Sudbury,,1A,Governor's Council,3rd,Democratic,Marilyn Petitto Devaney,202
Winthrop,,5,U.S. House,5th,Democratic,Katherine M. Clark,570
Northbridge,,4,U.S. Senate,,Republican,Shiva Ayyadurai,104
Newton,5,4,U.S. House,4th,Republican,All Others,1
Boston,17,1,U.S. Senate,,Democratic,Edward J. Markey,117
Brockton,5,D,U.S. Senate,,Democratic,"Joseph P. Kennedy, III",381
Brookline,,1,U.S. House,,Democratic,Natalia Linos,143
Waltham,3,1,U.S. House,5th,Democratic,Katherine M. Clark,637
Arlington,,2,U.S. House,5th,Republican,All Others,0
Amherst,,3,State Senate,"Hampshire, Franklin and Worcester",Democratic,Blanks,28
Holyoke,4,A,U.S. Senate,,Libertarian,Total Votes Cast,1
Lakeville,,1,U.S. Senate,,Libertarian,All Others,1
Burlington,,1,U.S. Senate,,Democratic,All Others,2
Marshfield,,1,Governor's Council,4th,Democratic,Total Votes Cast,849
Leominster,4,A,U.S. House,2nd,Democratic,Blanks,61
Haverhill,3,2,U.S. Senate,,Libertarian,Total Votes Cast,5
Auburn,,3,U.S. House,2nd,Republican,Blanks,49
Boston,18,8,U.S. Senate,,Democratic,All Others,0
Chicopee,6,AN,U.S. House,1st,Democratic,Richard E. Neal,120
Boston,1,15,State House,4th Suffolk,Democratic,Blanks,0
Lynn,2,1,State House,10th Essex,Democratic,Blanks,111
Shelburne,,1,U.S. Senate,,Libertarian,Total Votes Cast,7
Malden,2,2,U.S. House,5th,Democratic,Blanks,117
Plymouth,,12,State Senate,Plymouth and Barnstable,Special Democratic,All Others,2
Quincy,6,4,State House,1st Norfolk,Democratic,Blanks,103
Boston,11,4,U.S. House,7th,Democratic,Blanks,33
Marion,,1,State Senate,1st Plymouth and Bristol,Democratic,Marc R. Pacheco,1105
Newton,5,1,U.S. House,,Democratic,Blanks,16
Bourne,,6,U.S. House,9th,Democratic,All Others,1
Springfield,6,C,U.S. Senate,,Democratic,Blanks,9
Springfield,4,B,U.S. Senate,,Democratic,"Joseph P. Kennedy, III",234
S. Hadley,,E,State Senate,"Hampshire, Franklin and Worcester",Democratic,All Others,5
Chelsea,1,4,U.S. Senate,,Democratic,Edward J. Markey,85
Clarksburg,,1,Governor's Council,8th,Democratic,All Others,0
Worcester,3,3,U.S. House,2nd,Democratic,Blanks,36
Ware,,A,U.S. House,2nd,Republican,All Others,0
Winchester,,4,U.S. Senate,,Republican,Shiva Ayyadurai,51
Cohasset,,2,U.S. Senate,,Republican,Shiva Ayyadurai,68
Northampton,7,B,Governor's Council,8th,Democratic,Total Votes Cast,886
Boston,10,3,Governor's Council,4th,Democratic,Blanks,56
Greenfield,,8,U.S. Senate,,Republican,All Others,1
Boston,18,16,U.S. Senate,,Libertarian,Vermin Love Supreme,0
Fall River,8,C,U.S. House,4th,Republican,All Others,0
Winchester,,8,U.S. House,5th,Republican,Caroline Colarusso,76
Lawrence,D,4,Governor's Council,5th,Democratic,Blanks,110
Boston,1,8,Governor's Council,6th,Democratic,Total Votes Cast,459
Pittsfield,7,A,U.S. House,1st,Democratic,Total Votes Cast,386
Plympton,,1,U.S. Senate,,Republican,Total Votes Cast,234
Blackstone,,2,U.S. House,2nd,Republican,Total Votes Cast,175
Lowell,10,2,U.S. Senate,,Libertarian,Blanks,1
Marblehead,,2,U.S. House,6th,Democratic,Angus G. McQuilken,100
Ayer,,1,U.S. Senate,,Republican,Total Votes Cast,226
New Bedford,1,D,U.S. Senate,,Democratic,Edward J. Markey,134
Belchertown,,C,U.S. Senate,,Democratic,Edward J. Markey,383
Tewksbury,,4,U.S. Senate,,Republican,Blanks,4
Kingston,,2,U.S. Senate,,Libertarian,Blanks,2
Boston,18,20,U.S. House,7th,Republican,Blanks,65
Norwood,,7,State Senate,Norfolk and Suffolk,Democratic,Michael F. Rush,611
Hudson,,5,U.S. Senate,,Libertarian,Blanks,0
New Bedford,5,A,U.S. House,9th,Democratic,Total Votes Cast,214
Franklin,,1,U.S. Senate,,Republican,Shiva Ayyadurai,95
Mansfield,,1,U.S. Senate,,Republican,Shiva Ayyadurai,90
Dedham,,5,State House,11th Norfolk,Republican,Randall B. Gleason,13
Newton,8,1,U.S. House,,Democratic,Natalia Linos,69
Weymouth,,1,U.S. Senate,,Republican,Total Votes Cast,178
Westport,,A,U.S. House,9th,Republican,Helen Brady,137
Salem,1,2,U.S. Senate,,Democratic,Total Votes Cast,320
Cambridge,6,3,U.S. House,5th,Libertarian,Total Votes Cast,2
Chicopee,7,A,U.S. Senate,,Democratic,Edward J. Markey,142
Boston,16,11,U.S. House,7th,Democratic,Blanks,109
Brockton,6,C,U.S. House,8th,Democratic,Blanks,31
Hanson,,3,U.S. Senate,,Democratic,Total Votes Cast,551
Ludlow,,1,U.S. House,1st,Democratic,Total Votes Cast,661
Marblehead,,6,Governor's Council,6th,Democratic,Helina Fontes,325
Falmouth,,4,U.S. Senate,,Republican,Kevin J. O'Connor,206
Boston,12,9,U.S. House,7th,Republican,Total Votes Cast,6
Chelmsford,,8,U.S. Senate,,Republican,Kevin J. O'Connor,149
Worcester,5,2,U.S. Senate,,Republican,Blanks,3
Fitchburg,4,A,State House,3rd Worcester,Republican,Blanks,8
Medford,4,1,U.S. Senate,,Republican,Blanks,0
Lowell,3,3,State Senate,1st Middlesex,Democratic,Blanks,70
Kingston,,1,State Senate,Plymouth and Barnstable,Special Republican,Blanks,4
Barnstable,,9,U.S. Senate,,Democratic,"Joseph P. Kennedy, III",219
Boston,12,5,U.S. Senate,,Republican,Kevin J. O'Connor,3
Ashland,,4,U.S. House,5th,Libertarian,Blanks,4
Boston,18,2,U.S. Senate,,Libertarian,Blanks,0
Boston,3,4,State Senate,1st Suffolk and Middlesex,Democratic,Blanks,116
Quincy,2,2,State Senate,Norfolk and Plymouth,Democratic,Total Votes Cast,538
Springfield,7,B,U.S. House,1st,Democratic,Alex B. Morse,234
Boston,13,10,U.S. Senate,,Libertarian,All Others,2
Boston,1,6,U.S. Senate,,Libertarian,Vermin Love Supreme,0
Ipswich,,3,State Senate,1st Essex and Middlesex,Republican,All Others,0
Norwood,,5,State House,12th Norfolk,Democratic,All Others,2
Lynn,4,1,U.S. House,6th,Republican,All Others,2
Sturbridge,,2,U.S. Senate,,Libertarian,Blanks,0
Lowell,8,1,State Senate,1st Middlesex,Democratic,Blanks,70
Springfield,4,G,State House,11th Hampden,Republican,Total Votes Cast,16
Boston,16,9,U.S. Senate,,Libertarian,All Others,2
Springfield,8,F,U.S. House,1st,Democratic,Total Votes Cast,378
Salem,4,2,U.S. Senate,,Democratic,All Others,0
Salem,2,2,U.S. Senate,,Republican,All Others,0
Boston,6,7,State Senate,1st Suffolk,Democratic,All Others,4
Hampden,,1,State Senate,1st Hampden and Hampshire,Democratic,Eric P. Lesser,860
Falmouth,,5,State Senate,Plymouth and Barnstable,Special Republican,All Others,2
Malden,7,1,State House,35th Middlesex,Democratic,Blanks,32
Uxbridge,,2,U.S. Senate,,Libertarian,Total Votes Cast,6
N. Attleborough,,5,U.S. House,,Democratic,Ihssane Leckey,63
Chelmsford,,5,U.S. House,3rd,Democratic,Blanks,130
Worcester,2,5,U.S. House,2nd,Democratic,Total Votes Cast,246
Freetown,,2,Governor's Council,1st,Democratic,All Others,0
Framingham,,13,U.S. Senate,,Democratic,Total Votes Cast,650
Milford,,2,U.S. House,4th,Republican,Blanks,12
Somerville,3,3,State House,27th Middlesex,Democratic,Blanks,91
Plainville,,3,U.S. House,,Democratic,Jake Auchincloss,116
Boston,11,10,U.S. Senate,,Libertarian,Total Votes Cast,1
Dartmouth,,2,U.S. Senate,,Republican,Total Votes Cast,122
Chelsea,2,1,State Senate,Middlesex and Suffolk,Democratic,Blanks,127
Hudson,,2,State Senate,Middlesex and Worcester,Democratic,Total Votes Cast,501
Boston,21,9,State House,17th Suffolk,Democratic,Kevin G. Honan,344
N. Attleborough,,5,U.S. House,,Democratic,Total Votes Cast,485
Carver,,1,U.S. Senate,,Republican,Total Votes Cast,209
Attleboro,1,A,State Senate,"Norfolk, Bristol and Middlesex",Republican,Total Votes Cast,196
Fall River,1,A,State House,8th Bristol,Democratic,"Paul Schmid, III",396
Walpole,,5,State House,9th Norfolk,Democratic,All Others,4
Braintree,,6A,U.S. Senate,,Democratic,Edward J. Markey,370
Chelsea,4,2,U.S. Senate,,Republican,Total Votes Cast,52
Bridgewater,,6,U.S. Senate,,Republican,Kevin J. O'Connor,73
Boston,10,3,U.S. Senate,,Republican,All Others,0
Quincy,4,5,U.S. Senate,,Republican,Shiva Ayyadurai,31
N. Attleborough,,7,U.S. House,4th,Republican,All Others,1
TOTALS,,,State Senate,1st Suffolk and Middlesex,Democratic,Joseph A. Boncore,24370
Mendon,,1,State Senate,Worcester and Norfolk,Republican,Ryan C. Fattman,356
Greenfield,,1,U.S. Senate,,Republican,Kevin J. O'Connor,34
Boston,22,2,U.S. Senate,,Republican,Blanks,2
Mashpee,,2,State Senate,Cape and Islands,Democratic,Total Votes Cast,673
Lexington,,6,U.S. Senate,,Republican,Total Votes Cast,118
Boston,9,3,State House,9th Suffolk,Democratic,All Others,12
Weston,,3,U.S. House,5th,Republican,Total Votes Cast,102
Boston,15,8,State Senate,1st Suffolk,Democratic,Total Votes Cast,241
Cummington,,1,Governor's Council,8th,Democratic,All Others,0
Medford,3,1,Governor's Council,6th,Democratic,Blanks,177
Fall River,1,C,State Senate,1st Bristol and Plymouth,Democratic,Michael J. Rodrigues,286
Milton,,1,Governor's Council,2nd,Democratic,All Others,13
Boston,8,3,U.S. House,7th,Democratic,Blanks,22
Chelsea,1,3,U.S. Senate,,Democratic,Edward J. Markey,88
Revere,4,3,U.S. House,5th,Democratic,All Others,3
Lynnfield,,1,U.S. Senate,,Libertarian,Total Votes Cast,0
Townsend,,1,State House,1st Middlesex,Republican,Total Votes Cast,218
Cummington,,1,U.S. House,1st,Democratic,Richard E. Neal,124
Littleton,,1,U.S. Senate,,Libertarian,Blanks,3
Wellesley,,C,State House,14th Norfolk,Democratic,All Others,3
Athol,,1,U.S. Senate,,Democratic,Blanks,1
Douglas,,2,Governor's Council,7th,Democratic,Padraic Rafferty,138
New Bedford,4,E,U.S. Senate,,Libertarian,Vermin Love Supreme,0
Burlington,,3,U.S. Senate,,Democratic,"Joseph P. Kennedy, III",412
Easton,,3,U.S. House,4th,Republican,David A. Rosa,86
Worcester,1,2,U.S. Senate,,Democratic,"Joseph P. Kennedy, III",572
Stoughton,,4,U.S. Senate,,Republican,Shiva Ayyadurai,88
Gill,,1,U.S. Senate,,Libertarian,All Others,0
Swampscott,,5,U.S. House,6th,Republican,Total Votes Cast,98
Boston,18,22,State Senate,2nd Suffolk,Democratic,Sonia Rosa Chang-D?az,583
Bedford,,3,U.S. Senate,,Republican,Shiva Ayyadurai,58
Buckland,,1,U.S. Senate,,Republican,Kevin J. O'Connor,17
W. Brookfield,,1,U.S. Senate,,Republican,Shiva Ayyadurai,107
Tewksbury,,3,U.S. Senate,,Republican,Blanks,7
Winchester,,6,State Senate,2nd Middlesex,Democratic,Patricia D. Jehlen,527
Charlton,,3,Governor's Council,7th,Democratic,Blanks,60
Randolph,,3,U.S. Senate,,Libertarian,Total Votes Cast,0
Easton,,5,State Senate,"Norfolk, Bristol and Plymouth",Democratic,"Walter F. Timilty, Jr.",628
Worcester,5,1,U.S. House,2nd,Democratic,James P. McGovern,361
Needham,,D,State House,13th Norfolk,Democratic,Denise C. Garlick,821
Waltham,8,2,U.S. Senate,,Democratic,Blanks,3
Leominster,1,A,State Senate,Worcester and Middlesex,Democratic,Blanks,67
S. Hadley,,D,Governor's Council,8th,Democratic,Blanks,150
Newbury,,1,U.S. Senate,,Republican,Blanks,12
Watertown,,12,State House,10th Middlesex,Democratic,"John J. Lawn, Jr.",488
N. Adams,5,5,U.S. Senate,,Democratic,All Others,0
Barnstable,,11,Governor's Council,1st,Democratic,All Others,5
Mashpee,,2,U.S. Senate,,Republican,Kevin J. O'Connor,151
Marshfield,,3,Governor's Council,4th,Democratic,Blanks,165
Lenox,,1,Governor's Council,8th,Democratic,All Others,19
Dover,,1,U.S. House,,Democratic,Ihssane Leckey,113
Auburn,,3,U.S. Senate,,Libertarian,Vermin Love Supreme,0
Framingham,,12,U.S. Senate,,Libertarian,All Others,2
Melrose,5,2,U.S. House,5th,Libertarian,Total Votes Cast,2
Brockton,7,C,State Senate,2nd Plymouth and Bristol,Democratic,All Others,0
Watertown,,3,State House,29th Middlesex,Democratic,Steven C. Owens,577
Greenfield,,6,U.S. Senate,,Republican,Kevin J. O'Connor,29
Westminster,,1,U.S. Senate,,Democratic,Edward J. Markey,374
Worcester,2,2,Governor's Council,7th,Democratic,Padraic Rafferty,309
Bourne,,1,State Senate,Plymouth and Barnstable,Special Democratic,Rebecca W. Coletta,54
Lancaster,,2,State Senate,Worcester and Middlesex,Republican,All Others,1
Waltham,7,2,State Senate,3rd Middlesex,Democratic,Michael J. Barrett,234
Belmont,,5,State House,24th Middlesex,Democratic,All Others,0
Cambridge,9,2,State Senate,2nd Middlesex,Democratic,Patricia D. Jehlen,1017
Boston,16,8,U.S. Senate,,Republican,All Others,1
Boston,21,13,Governor's Council,3rd,Democratic,Total Votes Cast,637
Chelsea,1,1,U.S. House,7th,Republican,Rayla Campbell,0
Haverhill,7,2,U.S. Senate,,Libertarian,Vermin Love Supreme,0
Plymouth,,3,Governor's Council,1st,Democratic,Joseph C. Ferreira,499
Lawrence,A,1,U.S. Senate,,Libertarian,All Others,0
Colrain,,1,Governor's Council,8th,Democratic,Mary E. Hurley,381
Billerica,,8,State Senate,4th Middlesex,Democratic,Total Votes Cast,773
Belchertown,,A,State House,2nd Franklin,Democratic,William E. Larose,746
Easton,,4,U.S. House,,Democratic,Natalia Linos,149
Melrose,7,2,State House,32nd Middlesex,Special Republican,All Others,6
Cambridge,4,2,Governor's Council,6th,Democratic,Total Votes Cast,1198
Weymouth,,9,State House,3rd Norfolk,Democratic,Total Votes Cast,758
Woburn,1,2,State Senate,4th Middlesex,Democratic,All Others,1
Weymouth,,4,U.S. Senate,,Republican,Total Votes Cast,208
Cambridge,6,1,State House,26th Middlesex,Democratic,All Others,7
Charlemont,,1,U.S. Senate,,Democratic,Edward J. Markey,167
Boston,16,10,U.S. Senate,,Democratic,Total Votes Cast,423
Newton,6,3,U.S. House,,Democratic,Alan A. Khazei,80
Melrose,1,1,U.S. House,5th,Democratic,Total Votes Cast,757
Boston,14,14,U.S. House,7th,Democratic,All Others,3
Boston,1,12,U.S. House,7th,Democratic,Total Votes Cast,455
Nahant,,1,State Senate,3rd Essex,Democratic,Total Votes Cast,1138
Sharon,,3,U.S. House,,Democratic,Ihssane Leckey,105
Fitchburg,5,B,U.S. Senate,,Republican,All Others,0
Belmont,,4,State Senate,2nd Suffolk and Middlesex,Democratic,William N. Brownsberger,693
Sudbury,,1A,U.S. House,5th,Libertarian,"Walter J. Ziobro, Jr",0
Wilbraham,,C,U.S. Senate,,Republican,Blanks,0
Medford,8,1,U.S. Senate,,Libertarian,Vermin Love Supreme,0
Douglas,,3,U.S. Senate,,Democratic,All Others,0
Lawrence,A,2,U.S. Senate,,Republican,All Others,0
Salem,6,1,U.S. Senate,,Libertarian,Blanks,0
Springfield,1,C,U.S. Senate,,Libertarian,Vermin Love Supreme,0
