county,precinct_code,precinct,office,district,party,candidate,votes
Adams,211,Benge,President,,Democratic Party,Tom Steyer,0
Adams,211,Benge,President,,Democratic Party,Elizabeth Warren,0
Adams,211,Benge,President,,Democratic Party,Andrew Yang,0
Adams,211,Benge,President,,Democratic Party,Uncommitted Delegates,0
Adams,211,Benge,President,,Democratic Party,Joseph R. Biden,2
Adams,211,Benge,President,,Democratic Party,Michael Bloomberg,0
Adams,211,Benge,President,,Democratic Party,Cory Booker,0
Adams,211,Benge,President,,Democratic Party,Pete Buttigieg,0
Adams,211,Benge,President,,Democratic Party,Write-in,0
Adams,211,Benge,President,,Democratic Party,John Delaney,0
Adams,211,Benge,President,,Democratic Party,Tulsi Gabbard,0
Adams,211,Benge,President,,Democratic Party,Amy Klobuchar,0
Adams,211,Benge,President,,Democratic Party,Deval Patrick,0
Adams,212,Washtucna City #1,President,,Democratic Party,Michael Bennet,0
Adams,212,Washtucna City #1,President,,Democratic Party,Bernie Sanders,7
Adams,212,Washtucna City #1,President,,Democratic Party,Tom Steyer,0
Adams,212,Washtucna City #1,President,,Democratic Party,Elizabeth Warren,0
Adams,212,Washtucna City #1,President,,Democratic Party,Andrew Yang,0
Adams,212,Washtucna City #1,President,,Democratic Party,Uncommitted Delegates,2
Adams,212,Washtucna City #1,President,,Democratic Party,Joseph R. Biden,8
Adams,212,Washtucna City #1,President,,Democratic Party,Michael Bloomberg,2
Adams,212,Washtucna City #1,President,,Democratic Party,Cory Booker,0
Adams,212,Washtucna City #1,President,,Democratic Party,Pete Buttigieg,1
Adams,212,Washtucna City #1,President,,Democratic Party,Write-in,0
Adams,212,Washtucna City #1,President,,Democratic Party,John Delaney,0
Adams,212,Washtucna City #1,President,,Democratic Party,Tulsi Gabbard,0
Adams,212,Washtucna City #1,President,,Democratic Party,Amy Klobuchar,0
Adams,212,Washtucna City #1,President,,Democratic Party,Deval Patrick,0
Adams,221,Washtucna Rural,President,,Democratic Party,Michael Bennet,0
Adams,221,Washtucna Rural,President,,Democratic Party,Bernie Sanders,1
Adams,221,Washtucna Rural,President,,Democratic Party,Tom Steyer,0
Adams,221,Washtucna Rural,President,,Democratic Party,Elizabeth Warren,1
Adams,221,Washtucna Rural,President,,Democratic Party,Andrew Yang,0
Adams,221,Washtucna Rural,President,,Democratic Party,Uncommitted Delegates,0
Adams,221,Washtucna Rural,President,,Democratic Party,Joseph R. Biden,4
Adams,221,Washtucna Rural,President,,Democratic Party,Michael Bloomberg,0
Adams,221,Washtucna Rural,President,,Democratic Party,Cory Booker,0
Adams,221,Washtucna Rural,President,,Democratic Party,Pete Buttigieg,0
Adams,221,Washtucna Rural,President,,Democratic Party,Write-in,0
Adams,221,Washtucna Rural,President,,Democratic Party,John Delaney,0
Adams,221,Washtucna Rural,President,,Democratic Party,Tulsi Gabbard,0
Adams,221,Washtucna Rural,President,,Democratic Party,Amy Klobuchar,1
Adams,221,Washtucna Rural,President,,Democratic Party,Deval Patrick,0
Adams,222,Ralston,President,,Democratic Party,Michael Bennet,0
Adams,222,Ralston,President,,Democratic Party,Bernie Sanders,0
Adams,222,Ralston,President,,Democratic Party,Tom Steyer,0
Adams,222,Ralston,President,,Democratic Party,Elizabeth Warren,1
Adams,222,Ralston,President,,Democratic Party,Andrew Yang,0
Adams,222,Ralston,President,,Democratic Party,Uncommitted Delegates,0
Adams,222,Ralston,President,,Democratic Party,Joseph R. Biden,2
Adams,222,Ralston,President,,Democratic Party,Michael Bloomberg,0
Adams,222,Ralston,President,,Democratic Party,Cory Booker,0
Adams,222,Ralston,President,,Democratic Party,Pete Buttigieg,0
Adams,222,Ralston,President,,Democratic Party,Write-in,0
Adams,222,Ralston,President,,Democratic Party,John Delaney,0
Adams,222,Ralston,President,,Democratic Party,Tulsi Gabbard,0
Adams,222,Ralston,President,,Democratic Party,Amy Klobuchar,0
Adams,222,Ralston,President,,Democratic Party,Deval Patrick,0
Adams,311,Lind #1,President,,Democratic Party,Michael Bennet,0
Adams,311,Lind #1,President,,Democratic Party,Bernie Sanders,13
Adams,311,Lind #1,President,,Democratic Party,Tom Steyer,0
Adams,311,Lind #1,President,,Democratic Party,Elizabeth Warren,3
Adams,311,Lind #1,President,,Democratic Party,Andrew Yang,1
Adams,311,Lind #1,President,,Democratic Party,Uncommitted Delegates,1
Adams,311,Lind #1,President,,Democratic Party,Joseph R. Biden,15
Adams,311,Lind #1,President,,Democratic Party,Michael Bloomberg,6
Adams,311,Lind #1,President,,Democratic Party,Cory Booker,0
